type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7615958,0,28,0,0,7.7766,128,[28 -64 1 0 0 0 0 0 0 0 0 0 23 10 22 10 23 11 21 13 22 13 21 12 20 15 20 14 21 16 19 15 21 17 18 16 18 18 17 18 16 18 17 19 15 18 14 17 15 17 15 17 15 15 13 15 14 17 14 15 12 13 14 16 0 0 13 13 13 14 13 11 14 13 14 11 15 10 14 10 14 8 14 10 13 9 14 9 15 7 15 9 16 6 16 6 17 5 17 5 17 4 18 3 18 3 20 3 20 3 19 2 21 2 20 1 21 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7616410,0,157,0,0,7.78285,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 55 -19 47 -9 57 -21 59 -17 49 -3 53 -17 64 -8 54 -8 51 -10 46 -8 55 -8 58 -5 63 -7 56 -5 56 -7 53 -10 50 -2 45 -8 49 -5 47 -4 51 -2 45 -7 45 -3 49 -5 43 -10 42 -7 0 0 36 -5 48 -12 41 -5 35 -18 37 -17 28 -28 45 -15 25 -17 42 -42 44 -12 26 -10 16 -21 25 -33 29 -30 28 -33 21 -33 24 -31 27 -31 18 -35 20 -35 24 -39 15 -44 21 -40 20 -44 14 -47 15 -49 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7645389,0,135,0,0,7.80584,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -15 -8 -16 -12 -16 -11 -18 -12 -15 -12 -15 -14 -15 -12 -16 -13 -13 -15 -15 -12 -16 -15 -15 -13 -13 -14 -14 -15 -13 -15 -12 -15 -13 -16 -11 -13 -12 -15 -11 -14 -13 -14 -10 -13 -11 -11 -10 -13 -11 -13 -11 -13 0 0 -11 -11 -10 -11 -11 -12 -11 -10 -11 -10 -11 -9 -11 -9 -12 -8 -11 -8 -11 -7 -11 -8 -12 -6 -12 -7 -13 -6 -11 -6 -13 -8 -11 -4 -13 -5 -14 -3 -12 -4 -13 -2 -14 -3 -13 -2 -15 -2 -14 -2 -15 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-73,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7660162,0,390,0,0,7.82049,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 18 -8 18 -6 18 -5 20 -4 20 -4 21 -4 19 -4 20 -2 21 -1 20 -1 21 -1 20 0 18 -2 20 -1 18 -1 20 1 19 1 19 2 20 2 17 2 19 2 18 1 17 3 18 2 16 0 16 1 0 0 17 2 15 2 18 2 16 0 16 2 16 0 15 -1 15 -1 14 0 15 -2 14 -2 13 -2 14 -4 13 -4 13 -4 13 -4 14 -4 13 -5 13 -7 13 -6 13 -6 13 -7 12 -7 13 -9 12 -8 12 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7687307,0,390,0,0,7.84744,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -12 -10 -14 -11 -11 -11 -12 -12 -11 -14 -12 -12 -11 -15 -10 -14 -11 -14 -10 -14 -9 -14 -10 -15 -8 -16 -9 -16 -9 -13 -8 -15 -8 -16 -6 -16 -7 -15 -5 -14 -5 -16 -7 -15 -6 -14 -6 -15 -4 -13 -7 -14 0 0 -6 -13 -7 -13 -6 -14 -6 -11 -6 -11 -7 -11 -7 -11 -6 -11 -6 -11 -7 -10 -7 -9 -8 -8 -8 -10 -7 -9 -8 -9 -9 -8 -9 -7 -10 -8 -10 -8 -11 -7 -11 -7 -12 -6 -10 -7 -12 -7 -11 -5 -13 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7705435,0,82,0,0,7.8656,384,[82 -96 4 0 0 0 0 0 0 0 0 0 5 17 3 18 3 17 3 17 2 18 3 17 1 17 1 18 2 18 1 19 2 20 1 18 0 18 -1 18 -1 18 -2 17 -1 19 -1 18 -2 18 -2 17 -2 17 -3 14 -2 15 -2 15 0 12 -3 17 0 0 -2 13 -1 13 -2 12 -1 15 0 13 -1 13 -1 12 1 12 0 13 2 11 0 12 1 11 2 11 3 11 4 12 4 12 4 11 5 10 5 10 6 11 6 10 6 11 7 10 7 10 8 10 9 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-77,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,8158030,0,82,0,0,8.31825,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 6 12 7 15 7 15 11 14 10 12 11 13 13 15 12 15 13 16 13 14 12 12 13 12 15 13 15 11 15 12 14 11 15 10 16 9 13 9 14 9 14 8 15 8 13 9 13 9 11 10 11 0 0 7 10 9 9 7 9 7 7 7 8 9 6 7 6 7 5 7 4 7 3 5 3 6 2 4 1 5 2 5 -1 6 -2 7 -2 7 -3 7 -2 6 -6 5 -4 6 -6 6 -6 7 -9 6 -9 5 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8172181,0,82,0,0,8.33237,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 -22 -7 -25 -7 -26 -6 -27 -6 -28 -6 -28 -3 -29 -4 -29 -3 -30 -4 -29 -3 -31 -1 -30 -1 -31 -2 -30 0 -29 1 -32 1 -30 0 -30 1 -28 2 -28 2 -27 1 -27 2 -27 3 -25 -1 -24 0 -23 0 0 1 -21 0 -21 0 -21 -3 -19 -1 -17 -1 -17 -2 -15 -2 -15 -3 -15 -3 -13 -4 -11 -5 -10 -6 -10 -5 -7 -7 -7 -8 -5 -7 -5 -9 -3 -9 -1 -10 -1 -10 1 -11 3 -10 3 -12 5 -13 6 -14 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-78,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,8427432,0,82,0,0,8.58752,384,[82 -96 4 0 0 0 0 0 0 0 0 0 3 -21 2 -20 1 -20 4 -20 3 -22 4 -23 4 -22 3 -23 5 -24 6 -25 4 -24 5 -24 4 -22 5 -23 6 -21 5 -23 6 -22 5 -23 5 -24 5 -23 5 -22 5 -21 4 -21 3 -18 2 -19 3 -19 0 0 0 -18 1 -16 1 -15 1 -16 2 -15 0 -12 2 -14 -3 -11 0 -13 -3 -11 -4 -10 -1 -9 2 -9 -1 -6 0 -5 0 -4 0 -5 -2 -1 0 -1 0 0 2 -1 1 2 3 2 6 3 4 2 4 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8663765,0,82,0,0,8.82404,128,[82 -96 4 0 0 0 0 0 0 0 0 0 16 7 16 10 18 8 17 9 19 10 18 10 19 11 19 11 19 11 19 13 22 15 21 12 23 13 23 14 19 14 21 15 19 15 21 13 19 15 21 15 22 15 20 13 22 13 19 14 20 15 18 13 0 0 18 13 18 13 18 11 18 11 15 9 14 9 15 10 13 8 14 7 13 8 12 7 10 6 11 5 8 3 9 4 8 3 7 2 6 1 5 0 5 0 3 -1 2 -2 3 -2 0 -2 -1 -1 -2 -2 0 0 0 0 0 0 0 0 0 0 ]
