type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,20:1E:88:EC:E6:E0,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,3036341,0,135,0,0,3.19718,128,[-121 112 8 0 0 0 0 0 0 0 0 0 7 19 11 8 8 25 16 15 7 22 12 14 4 17 4 15 0 8 9 20 9 18 14 21 12 30 8 23 7 27 11 25 6 25 7 21 8 21 5 21 6 22 5 23 4 14 8 19 2 15 8 17 0 0 11 18 9 17 8 22 11 19 12 20 9 18 11 19 9 19 9 17 10 16 9 16 7 16 8 15 8 12 7 10 7 13 8 9 8 7 8 5 5 7 6 8 7 7 6 6 7 6 8 5 6 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9585924,0,28,0,0,9.74647,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -11 -33 -9 -32 -9 -34 -8 -34 -7 -34 -5 -33 -4 -33 -4 -33 -3 -32 -3 -33 -3 -33 -4 -33 -3 -32 -1 -32 -1 -29 -1 -33 0 -30 0 -31 0 -29 0 -29 0 -27 1 -27 0 -26 0 -26 -3 -26 -1 -25 0 0 -2 -24 -1 -26 -2 -23 -3 -23 -4 -21 -3 -22 -4 -21 -5 -21 -5 -20 -6 -19 -5 -18 -5 -17 -6 -18 -7 -18 -8 -18 -9 -17 -10 -18 -9 -16 -9 -16 -10 -16 -10 -15 -10 -15 -11 -15 -11 -15 -11 -15 -13 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9587549,0,157,0,0,9.75343,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -16 -22 -17 -25 -14 -21 -17 -25 -12 -21 -12 -24 -11 -22 -11 -23 -12 -23 -12 -22 -12 -22 -11 -25 -11 -22 -13 -21 -10 -24 -11 -23 -10 -22 -9 -19 -11 -21 -9 -19 -9 -19 -9 -19 -10 -17 -10 -18 -9 -16 -8 -18 0 0 -10 -16 -10 -15 -11 -14 -10 -14 -11 -13 -9 -12 -13 -11 -6 -14 -14 -6 -14 -12 -12 -13 -9 -9 -14 -7 -14 -8 -12 -7 -15 -6 -12 -7 -13 -5 -12 -7 -14 -6 -12 -5 -13 -4 -14 -4 -13 -4 -14 -3 -15 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9618941,0,135,0,0,9.77947,128,[-121 112 8 0 0 0 0 0 0 0 0 0 25 -17 27 -16 26 -16 28 -15 26 -13 27 -13 28 -12 26 -11 27 -11 27 -10 28 -10 28 -10 27 -8 27 -9 27 -9 26 -8 27 -8 24 -7 25 -7 23 -6 22 -6 22 -7 21 -6 22 -7 20 -8 21 -7 0 0 19 -7 18 -7 19 -8 17 -8 17 -8 15 -9 16 -9 14 -9 14 -9 14 -9 13 -9 12 -9 13 -10 12 -11 11 -10 11 -11 10 -12 10 -12 10 -12 8 -12 10 -12 8 -12 7 -12 9 -14 8 -13 7 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9633654,0,390,0,0,9.79452,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -2 30 -1 28 0 30 -2 30 -3 28 -6 29 -6 29 -4 27 -6 28 -7 26 -8 27 -7 27 -8 27 -9 26 -8 24 -10 25 -9 24 -8 23 -9 23 -9 23 -7 22 -7 21 -7 20 -7 20 -6 19 -5 20 0 0 -6 20 -6 19 -4 19 -4 18 -4 17 -4 17 -2 18 -1 16 -1 17 -2 16 0 16 -1 16 1 15 1 15 2 15 2 16 2 15 2 14 3 16 3 14 3 14 4 14 4 14 4 14 5 13 5 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9663453,0,390,0,0,9.8242,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 28 -4 28 -2 31 -4 29 -3 29 0 29 1 29 1 28 2 28 3 27 2 27 2 28 2 28 3 26 3 25 3 26 4 25 4 24 3 23 3 23 4 22 3 22 3 21 3 21 3 21 2 20 2 0 0 20 1 19 2 19 0 18 0 17 -1 18 -1 16 -2 15 -2 16 -3 15 -3 16 -3 15 -5 15 -5 14 -5 14 -6 15 -6 13 -6 13 -6 13 -7 13 -7 12 -7 12 -7 11 -9 12 -9 10 -10 12 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9683053,0,82,0,0,9.84331,128,[82 -96 4 0 0 0 0 0 0 0 0 0 28 22 26 23 26 24 26 25 24 25 22 26 21 26 20 27 21 26 19 26 21 27 20 26 18 25 18 26 18 25 17 24 17 25 15 23 14 24 14 22 14 23 14 21 14 20 15 19 15 19 15 18 0 0 13 19 13 17 14 17 14 15 13 14 12 14 12 13 13 12 14 12 13 10 15 10 14 10 14 8 14 9 14 7 15 7 15 6 15 5 15 5 15 4 15 5 15 3 15 3 16 3 16 3 15 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,10132114,0,82,0,0,10.2924,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 -17 -17 -16 -16 -18 -16 -19 -15 -18 -13 -20 -14 -17 -12 -20 -12 -20 -13 -20 -12 -19 -12 -20 -9 -17 -10 -17 -9 -16 -10 -18 -10 -16 -9 -17 -8 -15 -8 -15 -9 -15 -8 -15 -8 -15 -6 -14 -6 -13 -9 -13 0 0 -7 -11 -8 -12 -9 -10 -8 -11 -7 -9 -9 -12 -9 -9 -10 -8 -11 -8 -12 -6 -12 -8 -10 -7 -12 -6 -12 -7 -13 -6 -12 -6 -14 -5 -15 -6 -14 -4 -14 -5 -15 -5 -14 -4 -15 -4 -14 -4 -15 -4 -17 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,10420798,0,82,0,0,10.5812,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -82 -4 -80 -15 -93 -8 -103 -18 -91 -17 -78 -24 -86 -5 -80 -15 -85 -15 -76 -19 -76 -24 -76 -26 -83 -31 -72 -26 -73 -2 -63 -30 -63 -5 -67 6 -66 -20 -68 -1 -68 -40 -66 -15 -43 5 -38 -18 -54 -4 -53 -6 0 0 -32 -8 -45 2 -33 -8 -7 1 -24 13 -5 8 -52 23 -4 8 -1 -25 1 -15 -12 18 -1 24 -7 -7 0 -4 -15 4 -4 2 -4 -2 0 -1 0 -1 12 1 3 5 14 2 16 13 19 5 12 2 25 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,10634694,0,82,0,0,10.795,128,[82 -96 4 0 0 0 0 0 0 0 0 0 9 -17 7 -16 8 -16 7 -17 7 -17 8 -19 7 -16 8 -17 8 -18 6 -17 5 -19 6 -19 7 -18 6 -17 5 -16 7 -16 7 -15 3 -13 6 -13 5 -14 4 -10 4 -11 5 -12 3 -9 3 -11 4 -9 0 0 4 -8 3 -5 4 -7 1 -5 3 -7 4 -3 5 -5 5 -1 4 -1 3 -1 3 -1 4 -2 2 -2 4 1 3 1 5 0 4 1 6 0 5 1 4 2 4 1 6 1 8 3 9 2 7 2 9 1 0 0 0 0 0 0 0 0 0 0 ]
