type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,33499,0,30,0,0,0.226258,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -9 20 -10 20 -12 21 -12 21 -13 20 -14 19 -15 19 -15 18 -15 18 -15 18 -15 19 -15 19 -15 20 -15 19 -15 18 -16 20 -14 19 -14 19 -14 20 -14 20 -14 20 -14 21 -13 21 -14 23 -14 24 -14 24 0 0 -14 24 -15 25 -15 25 -14 25 -14 24 -15 24 -15 24 -15 22 -14 23 -14 22 -14 24 -12 22 -12 22 -12 22 -12 22 -13 22 -12 23 -11 21 -12 23 -11 21 -11 22 -11 21 -11 21 -11 23 -11 21 -11 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-59,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,97475,0,28,0,0,0.290053,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -22 7 -22 6 -24 6 -24 6 -25 4 -24 4 -26 3 -25 1 -26 1 -26 1 -28 1 -27 2 -27 0 -27 1 -25 -1 -28 -1 -26 -1 -25 -1 -25 -1 -26 -2 -25 -2 -26 -1 -25 -1 -26 0 -27 1 -27 0 0 0 -27 0 -28 0 -28 0 -28 1 -27 0 -29 -1 -28 -1 -28 -1 -28 -1 -27 -2 -28 -1 -25 -1 -26 0 -25 -1 -26 0 -26 0 -25 1 -24 1 -25 1 -23 1 -24 2 -24 3 -24 4 -25 6 -23 6 -24 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,99426,0,157,0,0,0.296616,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 4 -42 1 -42 20 -47 40 -58 21 -70 13 -48 40 -48 11 -43 30 -46 37 -50 59 -62 67 -58 54 -37 49 -62 19 -60 64 -59 43 -57 17 -68 26 -60 38 -53 32 -51 50 -65 29 -62 53 -63 66 -71 58 -62 0 0 53 -66 64 -74 61 -75 51 -94 52 -73 59 -85 54 -64 48 -65 65 -79 51 -44 61 -58 42 -57 47 -70 54 -57 54 -53 54 -63 54 -67 46 -57 52 -55 34 -60 38 -57 35 -62 36 -57 35 -67 21 -58 27 -59 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,134825,0,135,0,0,0.327276,384,[-121 112 8 0 0 0 0 0 0 0 0 0 7 13 5 15 5 15 5 16 4 16 4 17 3 16 3 16 3 17 2 17 2 19 1 18 2 18 0 17 0 17 0 18 0 18 0 18 1 16 0 17 -1 17 -1 17 0 17 -1 16 1 17 0 17 0 0 0 17 2 17 2 17 1 18 2 18 1 18 0 17 0 17 1 17 2 18 2 18 1 16 0 17 1 15 2 15 2 15 2 15 2 15 3 15 4 14 3 14 4 15 5 14 6 14 6 15 7 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,147124,0,390,0,0,0.339427,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -1 -18 0 -18 1 -18 0 -19 1 -19 2 -18 2 -18 3 -19 4 -19 5 -20 6 -21 6 -21 7 -19 6 -19 7 -18 6 -19 7 -20 7 -18 7 -19 6 -18 6 -18 6 -18 7 -18 6 -18 7 -18 5 -19 0 0 6 -19 6 -20 6 -18 5 -19 7 -20 5 -19 6 -19 6 -20 6 -19 7 -19 7 -19 7 -18 6 -16 6 -17 5 -19 4 -19 4 -17 3 -17 2 -16 2 -16 1 -17 1 -18 0 -18 0 -17 0 -19 -1 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,177111,0,390,0,0,0.369851,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 21 10 20 11 22 12 22 13 22 14 20 14 21 16 20 16 21 16 20 18 21 18 21 20 20 20 19 19 18 19 20 21 19 20 18 19 17 19 17 19 17 18 19 19 18 18 18 19 19 19 19 18 0 0 20 18 21 19 21 19 21 18 20 18 21 18 21 18 20 18 20 18 19 19 20 19 18 18 19 17 18 17 19 16 19 16 19 16 18 14 19 14 19 13 20 13 20 11 21 11 22 11 21 10 22 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,203337,0,82,0,0,0.395535,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -9 13 -10 13 -10 13 -11 15 -12 13 -11 14 -14 12 -14 12 -14 12 -15 12 -14 14 -14 13 -16 12 -15 11 -15 12 -15 11 -17 11 -15 10 -16 11 -15 11 -15 10 -15 11 -14 12 -15 10 -16 11 -15 11 0 0 -15 11 -15 10 -15 11 -14 11 -15 12 -15 12 -14 11 -16 11 -15 11 -15 11 -14 13 -13 11 -13 11 -13 11 -12 11 -13 11 -13 11 -13 12 -12 11 -11 11 -10 12 -10 13 -10 11 -9 14 -9 14 -9 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,598164,0,82,0,0,0.790381,384,[82 -96 4 0 0 0 0 0 0 0 0 0 15 2 15 3 14 4 16 4 15 4 15 5 15 5 16 5 15 6 15 6 16 7 16 7 16 7 14 7 15 8 15 8 16 10 15 7 15 8 16 8 16 8 15 8 15 9 15 9 16 8 16 8 0 0 16 9 16 8 17 10 15 9 16 10 17 9 16 8 16 10 16 10 16 9 16 9 16 9 15 10 16 8 15 8 16 9 15 8 16 8 15 7 16 6 15 6 16 5 16 5 16 6 17 5 18 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,643539,0,82,0,0,0.835755,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -15 -9 -15 -8 -13 -9 -14 -9 -15 -10 -15 -10 -14 -11 -13 -12 -14 -11 -15 -11 -14 -12 -14 -12 -13 -12 -14 -14 -13 -12 -13 -14 -13 -14 -12 -14 -13 -13 -12 -14 -12 -14 -13 -14 -12 -13 -13 -14 -13 -14 -14 -15 0 0 -13 -14 -13 -15 -13 -15 -14 -14 -13 -15 -13 -16 -13 -15 -14 -15 -14 -16 -13 -16 -14 -15 -13 -15 -13 -14 -14 -14 -14 -14 -15 -14 -13 -15 -14 -14 -14 -13 -14 -13 -13 -12 -14 -12 -14 -12 -15 -11 -15 -12 -16 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,1146852,0,82,0,0,1.33924,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 -15 8 -15 10 -16 11 -16 11 -14 11 -15 11 -16 10 -16 11 -16 11 -16 13 -16 13 -15 14 -15 13 -15 14 -14 13 -14 15 -14 14 -13 15 -14 14 -15 14 -14 14 -14 14 -14 15 -15 15 -14 15 -15 0 0 14 -14 14 -14 15 -14 14 -15 15 -15 14 -15 15 -15 15 -16 15 -15 15 -15 15 -15 14 -13 15 -14 14 -14 14 -15 13 -14 14 -14 13 -15 13 -14 11 -15 11 -15 10 -15 11 -15 12 -16 12 -16 12 -17 0 0 0 0 0 0 0 0 0 0 ]
