type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,34307,0,30,0,0,0.225009,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -21 -15 -22 -16 -22 -16 -23 -19 -21 -18 -20 -20 -21 -19 -18 -20 -19 -20 -16 -21 -17 -23 -17 -23 -15 -23 -16 -22 -16 -21 -19 -19 -18 -20 -17 -18 -18 -19 -19 -17 -19 -17 -21 -17 -17 -17 -19 -19 -20 -19 -21 -19 0 0 -23 -17 -24 -16 -26 -18 -25 -16 -25 -17 -26 -16 -26 -16 -25 -17 -26 -14 -23 -17 -25 -18 -22 -17 -23 -17 -24 -16 -25 -14 -26 -16 -24 -15 -24 -15 -25 -13 -23 -13 -23 -13 -24 -13 -22 -14 -23 -16 -22 -16 -22 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,37868,0,30,0,0,0.232666,128,[30 -32 1 0 0 0 0 0 0 0 0 0 7 -24 5 -26 8 -27 8 -27 12 -26 10 -26 14 -24 11 -23 14 -24 14 -23 16 -25 12 -26 12 -24 13 -25 13 -21 13 -24 12 -24 11 -21 11 -24 13 -21 10 -22 12 -24 8 -22 10 -26 8 -28 9 -27 0 0 9 -26 8 -28 6 -30 8 -30 6 -28 9 -26 5 -30 10 -33 10 -24 6 -28 6 -32 6 -28 5 -27 8 -25 7 -28 5 -28 8 -29 7 -28 9 -26 6 -25 7 -27 7 -26 7 -26 6 -26 5 -25 7 -26 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-59,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,97802,0,28,0,0,0.288311,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -14 -20 -15 -20 -14 -20 -15 -23 -13 -22 -13 -24 -13 -23 -11 -23 -12 -24 -11 -23 -11 -26 -11 -26 -9 -26 -9 -25 -9 -25 -8 -25 -8 -26 -7 -22 -8 -25 -8 -23 -9 -23 -10 -23 -8 -21 -10 -24 -10 -25 -11 -25 0 0 -12 -25 -11 -24 -13 -26 -13 -24 -13 -25 -13 -26 -13 -25 -12 -25 -13 -25 -11 -25 -12 -27 -11 -25 -12 -25 -12 -26 -11 -24 -12 -27 -12 -24 -12 -25 -13 -23 -13 -22 -13 -22 -14 -22 -13 -21 -15 -22 -14 -21 -15 -22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-59,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,101376,0,157,0,0,0.295791,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 18 13 18 15 18 15 19 17 17 16 17 19 17 19 16 19 16 20 15 19 17 21 16 21 16 21 15 21 14 21 14 21 15 22 12 19 13 20 13 20 13 19 14 19 14 17 15 19 17 19 16 20 0 0 17 19 17 19 19 21 18 18 18 20 19 19 18 20 18 20 18 20 17 19 19 21 18 20 19 19 19 20 16 19 19 20 18 18 18 18 17 18 17 16 18 17 18 16 18 14 20 15 19 14 20 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,129825,0,135,0,0,0.320393,128,[-121 112 8 0 0 0 0 0 0 0 0 0 3 7 3 8 3 8 3 9 2 8 2 8 2 8 2 8 2 8 2 8 1 9 1 9 1 9 1 8 1 9 1 8 1 9 0 8 0 8 1 8 1 8 1 8 1 8 1 8 1 8 1 8 0 0 2 8 2 8 2 9 3 8 2 8 2 8 2 8 2 9 2 9 2 9 2 9 1 8 1 8 2 8 2 8 2 9 2 8 2 8 2 8 2 7 3 8 3 8 3 7 3 8 3 7 3 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,140008,0,390,0,0,0.330248,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 15 7 16 5 15 6 17 5 17 5 18 5 18 5 19 4 18 3 18 4 18 4 18 3 19 2 18 3 19 2 18 2 19 1 17 1 17 3 17 3 17 3 16 3 16 3 16 4 17 4 18 0 0 6 17 5 16 6 18 6 16 6 18 6 18 7 19 6 18 6 18 6 17 7 18 6 18 7 18 8 18 6 17 7 18 7 16 8 17 8 16 9 15 9 16 8 14 9 15 9 14 10 15 10 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,160309,0,390,0,0,0.350474,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 -17 6 -17 7 -18 10 -17 9 -16 10 -16 10 -16 11 -16 11 -16 12 -15 12 -16 12 -14 12 -15 12 -14 12 -14 12 -13 11 -14 11 -14 13 -13 12 -14 11 -13 12 -13 12 -13 12 -14 12 -14 11 -15 0 0 11 -15 11 -15 11 -16 10 -16 12 -17 12 -17 12 -17 12 -16 12 -17 12 -17 12 -17 13 -16 12 -15 13 -17 12 -17 11 -16 11 -14 11 -17 11 -16 9 -15 11 -16 10 -16 9 -16 9 -17 9 -17 8 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,186816,0,82,0,0,0.376949,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 15 -8 16 -10 16 -10 16 -10 15 -11 15 -10 15 -11 16 -13 15 -12 15 -13 15 -13 15 -14 15 -13 14 -13 14 -13 13 -13 13 -13 13 -14 13 -14 13 -14 12 -13 13 -13 13 -13 14 -12 15 -12 15 0 0 -12 15 -11 15 -13 16 -12 15 -13 17 -12 16 -13 17 -15 16 -15 15 -15 16 -13 17 -15 15 -14 17 -13 15 -13 15 -13 16 -13 16 -13 14 -13 15 -12 15 -13 16 -12 15 -11 16 -10 16 -10 16 -12 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,640806,0,82,0,0,0.831121,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 -15 15 -12 16 -14 16 -13 16 -13 16 -12 17 -12 18 -11 18 -12 17 -12 18 -13 19 -11 19 -10 19 -11 19 -10 18 -10 19 -9 18 -9 17 -12 18 -8 17 -9 18 -10 18 -12 18 -12 19 -12 19 -13 0 0 18 -11 19 -13 18 -12 19 -13 21 -12 21 -11 21 -11 19 -11 20 -11 19 -11 19 -12 19 -10 19 -12 18 -11 19 -11 17 -12 17 -12 16 -12 16 -11 16 -10 16 -12 15 -11 15 -13 14 -12 15 -13 15 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,647563,0,82,0,0,0.837815,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -23 5 -23 4 -24 4 -25 3 -24 3 -24 2 -24 1 -23 0 -24 1 -24 0 -26 0 -26 0 -25 -1 -24 0 -23 -1 -25 0 -24 0 -23 0 -23 0 -23 1 -23 1 -23 1 -22 1 -24 2 -25 2 -25 1 0 0 -25 3 -26 3 -27 3 -26 3 -26 3 -26 3 -26 3 -26 2 -26 3 -27 1 -27 2 -25 2 -25 2 -25 2 -25 2 -25 2 -25 2 -23 2 -23 2 -23 3 -22 3 -22 4 -21 4 -22 5 -21 6 -22 6 0 0 0 0 0 0 0 0 0 0 ]
