type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,34531,0,30,0,0,0.227858,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -9 14 -13 15 -9 15 -14 16 -11 14 -13 15 -12 14 -13 16 -15 12 -9 14 -11 15 -11 16 -12 15 -12 14 -13 15 -12 14 -14 14 -9 13 -11 15 -10 15 -9 17 -11 17 -6 16 -7 18 -8 21 -8 22 0 0 -8 24 -10 21 -14 24 -7 20 -10 21 -9 25 -10 22 -8 24 -12 23 -7 22 -10 22 -9 22 -10 23 -11 24 -10 18 -14 21 -7 20 -9 20 -9 22 -8 20 -7 23 -10 21 -4 20 -7 20 -7 20 -9 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,37563,0,30,0,0,0.234605,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -5 -24 -2 -23 -2 -25 0 -26 -1 -25 1 -25 3 -24 2 -25 3 -25 0 -24 -1 -24 -2 -26 -1 -25 -1 -25 1 -24 1 -25 2 -25 -1 -23 0 -24 0 -24 -2 -24 -2 -26 -5 -25 -7 -25 -8 -28 -7 -28 0 0 -6 -31 -6 -32 -4 -33 -7 -31 -5 -30 -4 -34 -3 -33 -4 -33 -3 -34 -6 -31 -6 -31 -7 -30 -7 -31 -5 -31 -3 -30 -2 -31 -5 -29 -5 -27 -4 -30 -3 -28 -4 -30 -1 -29 -6 -29 -7 -28 -6 -28 -5 -29 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,97325,0,28,0,0,0.290465,128,[28 -64 1 0 0 0 0 0 0 0 0 0 0 -21 0 -20 1 -23 1 -22 2 -23 2 -21 3 -22 4 -21 4 -22 4 -21 5 -23 5 -22 5 -22 5 -22 5 -21 5 -23 4 -21 4 -21 4 -20 4 -21 4 -21 3 -22 3 -21 3 -23 2 -24 3 -24 0 0 2 -25 2 -27 2 -27 1 -27 3 -27 4 -28 3 -27 4 -28 4 -28 6 -27 6 -28 6 -26 5 -27 6 -26 6 -27 5 -26 5 -27 4 -25 4 -25 4 -25 3 -25 2 -24 2 -25 2 -25 1 -25 1 -25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,101023,0,157,0,0,0.296823,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 7 -17 7 -16 8 -17 8 -18 10 -17 8 -17 7 -18 9 -17 9 -17 12 -17 11 -18 11 -16 12 -17 11 -16 13 -16 12 -16 10 -17 10 -17 10 -17 10 -16 10 -18 10 -18 11 -17 11 -16 9 -18 10 -19 0 0 9 -21 10 -20 11 -22 11 -21 12 -22 11 -21 10 -24 12 -22 10 -21 13 -21 13 -20 14 -20 13 -19 13 -19 11 -21 10 -21 12 -20 9 -20 9 -21 8 -20 8 -20 7 -20 8 -21 8 -21 8 -21 8 -22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,131989,0,135,0,0,0.325006,384,[-121 112 8 0 0 0 0 0 0 0 0 0 3 -13 4 -16 5 -16 7 -16 7 -15 6 -17 8 -16 8 -16 8 -16 9 -15 9 -15 9 -15 9 -15 8 -15 10 -14 8 -15 8 -15 8 -15 9 -15 9 -14 8 -15 9 -15 9 -15 9 -15 8 -17 8 -17 0 0 9 -18 9 -18 9 -19 10 -18 10 -20 11 -20 11 -18 13 -19 12 -18 12 -16 11 -17 11 -17 11 -18 11 -17 11 -16 10 -18 11 -17 10 -17 10 -17 10 -15 9 -17 8 -17 9 -17 8 -18 8 -18 7 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,143982,0,390,0,0,0.336865,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -16 -6 -15 -6 -16 -8 -16 -7 -15 -9 -16 -8 -16 -9 -15 -9 -15 -9 -15 -10 -15 -10 -15 -12 -14 -10 -15 -12 -15 -9 -15 -11 -14 -10 -14 -9 -14 -10 -16 -9 -14 -9 -16 -9 -16 -9 -16 -9 -17 -9 -17 -9 0 0 -19 -9 -18 -9 -18 -11 -20 -11 -19 -12 -19 -9 -19 -11 -19 -11 -19 -11 -19 -11 -19 -12 -17 -13 -17 -13 -17 -12 -18 -11 -19 -11 -18 -12 -18 -10 -18 -10 -17 -9 -18 -8 -18 -7 -17 -9 -18 -9 -19 -8 -19 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,164849,0,390,0,0,0.357629,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -12 11 -13 11 -13 9 -13 12 -14 10 -12 9 -13 10 -13 9 -15 9 -14 9 -15 9 -14 8 -15 8 -14 9 -16 8 -15 9 -15 9 -15 8 -14 7 -15 8 -14 9 -14 9 -15 9 -15 10 -16 10 -16 10 0 0 -17 12 -16 10 -18 11 -17 11 -19 11 -18 11 -19 11 -20 11 -19 11 -19 11 -19 11 -19 9 -19 10 -18 9 -18 9 -17 10 -18 9 -18 10 -16 10 -18 10 -16 9 -17 11 -15 11 -15 11 -17 11 -16 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,189537,0,82,0,0,0.382302,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 -10 14 -10 15 -11 15 -11 16 -10 17 -9 17 -9 17 -8 17 -8 16 -7 18 -9 18 -8 17 -8 17 -8 17 -7 17 -7 17 -8 18 -8 16 -8 17 -7 16 -8 16 -9 17 -9 17 -9 17 -10 18 -11 0 0 17 -12 19 -11 19 -12 20 -11 20 -11 21 -13 20 -11 21 -12 20 -12 22 -10 21 -10 20 -11 20 -10 18 -9 20 -10 20 -10 19 -11 17 -11 19 -10 17 -11 17 -11 15 -11 17 -12 15 -14 17 -13 17 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,451920,0,82,0,0,0.644719,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 -9 14 -9 16 -8 17 -8 16 -6 16 -7 17 -7 17 -6 15 -6 17 -6 17 -6 17 -6 17 -4 17 -5 18 -4 17 -6 17 -6 16 -4 17 -5 16 -7 16 -6 15 -8 17 -7 16 -7 17 -7 17 -9 0 0 17 -10 18 -9 18 -11 18 -10 20 -9 20 -11 21 -9 21 -10 20 -9 19 -9 20 -10 20 -8 20 -7 19 -9 18 -9 18 -9 19 -9 18 -10 17 -10 16 -10 16 -10 15 -11 16 -11 17 -12 16 -11 16 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,641184,0,82,0,0,0.833969,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 -7 -17 -8 -17 -8 -18 -9 -17 -9 -17 -10 -18 -9 -18 -9 -17 -10 -17 -11 -17 -11 -19 -11 -16 -11 -16 -11 -16 -11 -17 -12 -15 -12 -16 -12 -16 -11 -16 -9 -16 -11 -17 -10 -18 -10 -18 -11 -19 -9 -18 -10 0 0 -21 -11 -21 -10 -20 -10 -22 -10 -20 -11 -21 -12 -20 -11 -21 -12 -20 -12 -22 -12 -22 -13 -20 -13 -19 -12 -19 -12 -20 -12 -18 -11 -19 -12 -18 -12 -20 -9 -20 -9 -19 -9 -18 -9 -21 -8 -20 -8 -20 -7 -20 -7 0 0 0 0 0 0 0 0 0 0 ]
