type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,34687,0,30,0,0,0.226404,128,[30 -32 1 0 0 0 0 0 0 0 0 0 4 19 4 18 3 20 4 20 2 21 2 19 2 21 1 21 2 21 1 21 1 22 2 23 1 23 1 21 2 21 2 23 3 21 4 21 4 22 5 23 6 23 7 24 7 23 7 25 8 26 7 27 0 0 9 26 10 30 9 29 10 29 9 29 8 29 9 29 7 29 9 28 7 29 7 29 6 27 7 27 7 26 8 28 7 27 8 28 7 26 7 25 7 25 7 25 8 25 6 26 6 26 5 25 5 25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,91045,0,28,0,0,0.282581,128,[28 -64 1 0 0 0 0 0 0 0 0 0 9 -18 7 -17 9 -19 9 -19 10 -18 10 -18 11 -19 11 -18 11 -19 12 -19 12 -21 12 -21 14 -20 12 -19 12 -18 13 -20 13 -20 12 -19 12 -20 13 -20 12 -20 12 -21 12 -20 13 -23 13 -23 13 -23 0 0 13 -25 13 -26 14 -25 14 -27 14 -26 15 -27 16 -26 17 -25 16 -25 17 -24 18 -25 16 -23 16 -24 16 -23 16 -25 16 -24 16 -24 15 -23 14 -23 13 -23 13 -23 12 -24 12 -24 12 -25 11 -24 11 -25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,93800,0,157,0,0,0.289483,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 17 5 18 5 18 6 19 6 18 6 19 7 19 8 19 8 20 8 19 9 22 9 21 9 20 10 20 10 20 10 21 10 21 10 19 9 20 9 21 10 21 10 22 10 20 9 23 10 24 9 24 11 0 0 25 10 26 10 27 11 26 10 26 12 27 12 26 12 26 13 26 12 25 14 26 14 24 13 25 13 24 13 24 13 25 14 25 12 23 12 23 12 23 11 24 10 24 9 24 9 25 10 24 8 25 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,125018,0,135,0,0,0.316437,384,[-121 112 8 0 0 0 0 0 0 0 0 0 14 -1 15 0 16 -1 14 0 17 0 17 0 18 2 17 0 17 0 18 1 17 3 17 3 18 2 16 4 18 3 17 2 17 4 17 3 18 3 18 2 19 3 19 2 19 3 18 3 20 2 22 2 0 0 21 3 22 3 22 3 22 4 22 5 22 6 21 6 23 6 22 4 22 6 22 6 20 6 20 5 20 6 21 6 21 6 20 6 20 6 20 5 21 4 21 4 20 3 20 3 20 3 21 3 21 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,135555,0,390,0,0,0.326838,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 16 -8 17 -8 16 -9 16 -7 18 -7 19 -6 19 -7 17 -7 18 -6 19 -8 19 -7 19 -6 22 -8 20 -6 19 -7 19 -6 21 -5 20 -5 20 -7 21 -6 20 -7 24 -6 21 -5 20 -7 18 -7 25 -9 0 0 23 -9 23 -10 24 -8 25 -8 28 -8 25 -8 26 -6 26 -6 25 -7 24 -6 25 -6 24 -4 23 -4 24 -3 25 -3 25 -5 23 -7 21 -5 22 -7 22 -6 20 -7 22 -7 23 -8 22 -10 23 -9 22 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,162765,0,390,0,0,0.353957,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -11 -9 -9 -9 -9 -10 -11 -10 -9 -11 -11 -11 -10 -12 -11 -12 -12 -13 -10 -12 -10 -12 -10 -13 -9 -12 -8 -13 -10 -11 -11 -13 -9 -14 -12 -12 -9 -12 -12 -13 -10 -13 -10 -12 -13 -15 -10 -14 -12 -13 -12 -14 0 0 -14 -14 -12 -15 -13 -15 -14 -17 -13 -17 -12 -17 -13 -16 -13 -18 -10 -17 -12 -16 -13 -18 -12 -16 -12 -17 -12 -16 -12 -17 -13 -15 -11 -15 -12 -15 -12 -15 -13 -13 -13 -14 -12 -14 -13 -13 -13 -13 -14 -13 -14 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,181789,0,82,0,0,0.372944,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -13 -7 -11 -8 -11 -9 -12 -9 -12 -8 -11 -8 -12 -9 -12 -9 -12 -9 -12 -10 -13 -11 -13 -11 -13 -10 -11 -11 -12 -10 -13 -11 -11 -10 -13 -11 -11 -10 -10 -11 -12 -11 -14 -11 -13 -12 -14 -11 -14 -12 -14 -13 0 0 -15 -13 -14 -12 -13 -13 -17 -15 -15 -14 -15 -13 -14 -14 -15 -15 -14 -15 -14 -17 -14 -14 -12 -14 -15 -15 -12 -14 -12 -15 -13 -13 -13 -14 -13 -13 -13 -13 -14 -12 -13 -14 -15 -13 -14 -13 -14 -12 -15 -12 -15 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,480620,0,82,0,0,0.671856,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 -15 -2 -15 -2 -17 -1 -16 0 -17 -1 -15 -1 -18 1 -17 0 -17 1 -17 1 -20 0 -17 0 -18 1 -17 2 -17 1 -17 1 -17 1 -17 0 -16 0 -19 0 -18 -1 -18 0 -19 -1 -20 0 -19 -1 -21 0 0 1 -22 0 -22 0 -22 0 -23 1 -23 2 -24 2 -23 2 -24 1 -22 2 -23 1 -23 3 -22 2 -21 2 -21 2 -23 2 -20 2 -21 1 -20 0 -20 0 -20 0 -20 -1 -19 -1 -20 -2 -20 -1 -20 -1 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,634299,0,82,0,0,0.825482,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 12 -8 11 -11 12 -10 13 -11 11 -12 12 -13 12 -10 10 -12 11 -13 12 -13 10 -12 11 -13 12 -14 11 -13 10 -13 11 -13 12 -13 10 -13 11 -12 11 -13 11 -13 11 -13 12 -13 13 -13 12 -14 14 0 0 -14 13 -15 13 -15 13 -15 13 -17 13 -17 12 -16 13 -16 14 -17 13 -17 13 -16 13 -16 12 -15 12 -15 12 -17 12 -16 13 -16 11 -14 12 -16 11 -14 13 -15 13 -14 13 -15 13 -13 14 -14 13 -14 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,1135893,0,82,0,0,1.32723,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -17 -1 -16 -1 -15 -1 -16 -1 -16 -2 -18 -3 -17 -3 -17 -2 -17 -4 -17 -2 -16 -3 -18 -3 -18 -3 -18 -3 -17 -3 -17 -5 -17 -4 -17 -3 -17 -4 -18 -3 -18 -3 -18 -2 -18 -2 -19 -2 -19 -2 -21 -2 0 0 -20 -1 -21 -1 -21 -3 -21 -3 -21 -3 -22 -5 -22 -4 -22 -3 -21 -5 -21 -4 -21 -5 -21 -5 -20 -3 -21 -4 -21 -4 -20 -3 -19 -2 -20 -4 -20 -3 -18 -1 -19 -1 -18 -1 -18 0 -19 2 -20 0 -20 1 0 0 0 0 0 0 0 0 0 0 ]
