type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,29962,0,30,0,0,0.223282,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -5 -26 -4 -22 -4 -28 -3 -23 -2 -28 -1 -22 0 -26 1 -24 -1 -25 1 -27 1 -26 0 -26 0 -25 0 -24 0 -21 -2 -28 -3 -21 -3 -27 -3 -21 -4 -25 -4 -24 -6 -26 -7 -28 -6 -27 -7 -28 -6 -27 0 0 -7 -27 -9 -33 -7 -26 -10 -34 -7 -27 -6 -30 -9 -30 -6 -30 -8 -28 -8 -33 -8 -30 -7 -27 -7 -27 -6 -23 -10 -31 -8 -24 -8 -32 -7 -25 -8 -27 -9 -27 -7 -27 -9 -25 -8 -29 -7 -27 -6 -25 -6 -24 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,30271,0,30,0,0,0.230196,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -18 -16 -18 -15 -17 -17 -16 -18 -14 -18 -16 -19 -14 -17 -14 -18 -15 -18 -14 -17 -15 -19 -15 -17 -13 -17 -13 -18 -14 -16 -17 -20 -16 -17 -14 -16 -16 -16 -16 -17 -15 -15 -20 -15 -19 -16 -20 -16 -21 -17 -21 -17 0 0 -22 -17 -20 -18 -21 -21 -22 -16 -21 -17 -23 -18 -21 -19 -19 -15 -26 -23 -17 -20 -17 -19 -19 -20 -22 -19 -22 -17 -20 -17 -21 -18 -21 -17 -21 -16 -19 -16 -19 -15 -18 -16 -19 -16 -19 -16 -20 -16 -19 -16 -19 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,97214,0,28,0,0,0.290329,128,[28 -64 1 0 0 0 0 0 0 0 0 0 20 10 20 10 22 11 22 11 21 12 19 13 21 13 19 13 20 12 19 14 20 15 19 16 19 17 18 16 18 15 20 15 18 15 18 15 17 14 19 14 19 14 20 13 18 14 20 15 21 15 20 15 0 0 22 14 23 16 23 16 23 16 22 15 23 16 23 16 22 16 23 16 21 18 21 19 20 18 20 17 20 16 21 16 21 16 21 16 20 15 19 14 21 14 20 13 21 12 21 13 21 13 21 12 21 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,100030,0,157,0,0,0.296697,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -23 -5 -23 -6 -25 -6 -25 -7 -24 -8 -23 -8 -24 -9 -23 -9 -23 -9 -23 -10 -24 -10 -24 -11 -23 -11 -23 -11 -22 -10 -24 -11 -23 -11 -22 -10 -23 -10 -23 -10 -23 -9 -24 -9 -22 -9 -24 -10 -26 -9 -25 -10 0 0 -26 -9 -27 -10 -28 -9 -28 -9 -26 -10 -28 -10 -28 -10 -26 -10 -28 -10 -26 -11 -27 -12 -25 -11 -25 -11 -25 -10 -25 -10 -26 -10 -25 -10 -24 -9 -25 -8 -24 -7 -24 -7 -25 -6 -24 -6 -26 -6 -25 -5 -25 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,130145,0,135,0,0,0.323135,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -11 15 -12 15 -12 16 -14 16 -14 15 -13 14 -14 14 -13 13 -14 14 -16 13 -16 14 -15 14 -16 12 -15 12 -15 13 -15 13 -14 13 -15 13 -14 12 -15 12 -16 13 -15 13 -16 13 -15 14 -16 14 -15 14 0 0 -15 15 -16 15 -15 14 -15 15 -15 16 -16 15 -16 15 -17 14 -16 15 -17 16 -16 16 -16 15 -16 14 -16 14 -15 13 -15 13 -14 15 -14 14 -14 13 -13 14 -14 14 -13 15 -13 15 -12 15 -13 15 -12 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,140643,0,390,0,0,0.333477,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -1 17 -2 16 -3 18 -4 17 -4 17 -5 17 -4 18 -4 17 -5 16 -5 18 -5 17 -5 17 -6 16 -6 17 -6 16 -7 17 -7 16 -7 16 -6 16 -6 16 -6 16 -6 17 -5 17 -6 17 -6 17 -6 18 0 0 -6 18 -6 18 -6 19 -5 18 -6 19 -5 18 -7 19 -6 19 -6 19 -6 19 -6 19 -7 19 -7 18 -5 17 -6 17 -5 17 -6 18 -5 17 -5 17 -3 17 -4 17 -3 17 -4 17 -3 16 -3 16 -3 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,161715,0,390,0,0,0.354987,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 20 11 20 11 21 12 22 13 20 13 19 14 20 14 19 14 19 14 18 15 19 17 19 17 19 17 18 16 17 15 19 17 18 16 17 16 17 16 18 15 18 15 19 15 18 14 20 15 20 16 20 16 0 0 21 16 22 16 22 16 22 15 22 17 22 17 23 16 21 17 22 16 20 18 21 18 19 18 19 16 19 17 20 16 21 16 20 16 19 15 20 14 20 13 20 13 20 12 20 13 21 12 21 12 21 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,180671,0,82,0,0,0.373414,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -19 8 -18 8 -19 8 -19 7 -19 9 -19 6 -19 6 -17 6 -19 4 -20 6 -20 5 -21 4 -20 4 -22 4 -21 3 -21 4 -19 3 -21 3 -21 3 -20 4 -20 3 -20 3 -21 3 -20 4 -21 3 -20 4 0 0 -21 3 -21 4 -22 3 -22 5 -21 3 -23 3 -23 4 -21 3 -24 2 -24 4 -23 4 -21 4 -22 3 -21 2 -23 2 -22 2 -22 3 -20 3 -21 3 -19 4 -20 4 -19 4 -20 4 -20 5 -19 4 -19 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,639520,0,82,0,0,0.832282,384,[82 -96 4 0 0 0 0 0 0 0 0 0 12 -15 14 -13 13 -13 14 -13 16 -13 15 -13 15 -12 15 -12 15 -12 15 -11 17 -11 18 -11 17 -11 17 -10 17 -9 17 -10 17 -9 16 -11 16 -10 16 -11 16 -12 16 -12 15 -11 17 -11 17 -11 18 -12 0 0 17 -13 17 -13 17 -13 18 -13 18 -13 18 -13 19 -12 18 -12 19 -13 18 -14 18 -12 17 -12 18 -11 17 -11 16 -14 16 -13 16 -12 15 -14 16 -13 13 -15 14 -14 14 -15 15 -14 14 -15 14 -16 14 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,1103431,0,82,0,0,1.29634,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -19 -4 -19 -6 -20 -5 -21 -6 -21 -7 -22 -8 -20 -9 -18 -7 -19 -8 -20 -8 -20 -11 -20 -10 -18 -10 -19 -9 -19 -9 -19 -9 -18 -9 -18 -8 -19 -9 -20 -8 -20 -8 -19 -10 -20 -10 -20 -8 -21 -8 -21 -9 0 0 -21 -9 -22 -8 -22 -8 -23 -8 -24 -10 -23 -10 -22 -8 -23 -10 -24 -10 -23 -9 -24 -10 -21 -10 -21 -9 -21 -10 -22 -10 -21 -9 -20 -7 -21 -8 -21 -6 -20 -6 -21 -6 -20 -5 -21 -4 -22 -5 -21 -4 -22 -4 0 0 0 0 0 0 0 0 0 0 ]
