type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,29737,0,30,0,0,0.222,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -11 15 -11 15 -12 15 -13 16 -13 15 -14 15 -15 14 -15 13 -14 14 -14 13 -15 14 -15 14 -15 13 -14 13 -13 13 -13 14 -13 14 -11 14 -11 15 -11 15 -11 16 -10 17 -9 17 -11 19 -10 21 -11 20 0 0 -10 22 -11 22 -11 23 -10 23 -11 23 -12 23 -12 23 -12 22 -11 23 -12 22 -12 23 -11 21 -12 22 -11 21 -11 21 -11 21 -10 21 -11 20 -10 21 -10 20 -10 20 -9 19 -9 19 -9 20 -9 19 -9 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,92768,0,28,0,0,0.284855,128,[28 -64 1 0 0 0 0 0 0 0 0 0 20 9 19 10 21 11 21 12 19 13 19 14 19 14 18 14 19 15 18 15 20 16 19 16 19 16 18 16 17 15 18 16 18 16 18 14 17 14 19 14 18 14 19 13 18 13 21 14 22 14 23 15 0 0 23 13 24 15 25 15 25 14 24 15 25 16 25 16 25 17 25 16 23 18 25 19 23 18 23 17 22 18 22 17 23 17 22 16 22 16 21 15 21 14 22 14 22 12 23 12 24 12 23 11 24 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,95304,0,157,0,0,0.291212,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 15 -13 16 -13 16 -14 16 -13 17 -13 18 -12 18 -12 18 -11 18 -11 19 -10 19 -11 20 -11 20 -10 19 -11 18 -9 19 -12 18 -10 17 -11 17 -11 17 -11 17 -11 17 -13 17 -12 19 -14 18 -15 19 -14 0 0 18 -16 19 -17 20 -18 19 -19 20 -17 20 -18 21 -18 21 -17 21 -17 22 -15 23 -17 21 -15 21 -15 21 -15 20 -16 20 -16 21 -16 19 -16 18 -15 17 -16 17 -16 16 -17 16 -17 16 -18 15 -18 16 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,135205,0,135,0,0,0.327158,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -16 -8 -15 -8 -15 -10 -16 -10 -16 -11 -15 -11 -15 -12 -14 -11 -15 -12 -16 -11 -15 -13 -14 -14 -14 -12 -13 -14 -13 -13 -15 -12 -13 -13 -13 -13 -13 -12 -13 -11 -14 -11 -15 -12 -15 -12 -15 -13 -15 -12 -16 -12 0 0 -17 -12 -17 -11 -17 -12 -17 -12 -17 -14 -18 -14 -18 -14 -19 -15 -18 -13 -18 -13 -18 -14 -17 -14 -17 -14 -16 -14 -16 -14 -17 -13 -17 -12 -16 -12 -16 -11 -16 -12 -17 -10 -17 -10 -17 -10 -18 -9 -17 -10 -18 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,167356,0,390,0,0,0.359236,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -19 4 -19 4 -20 5 -20 4 -19 3 -20 2 -20 1 -19 2 -21 1 -20 -1 -22 0 -21 -1 -21 -2 -21 -2 -20 -2 -21 0 -20 0 -20 -1 -20 -2 -19 -2 -20 1 -21 0 -21 0 -20 0 -22 -1 -22 0 0 0 -23 0 -23 1 -23 1 -24 1 -25 0 -25 1 -24 0 -25 -1 -25 -1 -27 0 -25 0 -24 -2 -22 -1 -24 -2 -23 -2 -22 -1 -23 -2 -23 0 -23 -1 -21 0 -21 1 -21 1 -22 1 -22 2 -21 1 -22 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,189457,0,390,0,0,0.381188,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 2 -15 2 -15 5 -16 5 -18 6 -17 5 -17 6 -17 8 -17 6 -17 8 -15 9 -16 8 -16 9 -16 9 -15 9 -14 8 -16 9 -16 7 -15 8 -15 8 -16 8 -16 7 -15 8 -16 8 -16 8 -17 7 -17 0 0 8 -18 7 -18 8 -18 9 -20 8 -18 9 -20 9 -19 9 -19 9 -19 11 -19 9 -20 11 -18 10 -17 9 -17 9 -18 9 -17 9 -17 9 -16 7 -17 7 -17 8 -16 6 -17 6 -16 7 -17 7 -17 5 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,208785,0,82,0,0,0.400502,384,[82 -96 4 0 0 0 0 0 0 0 0 0 2 16 2 17 1 16 1 17 0 17 0 18 -2 17 0 18 -3 19 -2 16 -2 18 -2 18 -2 17 -2 17 -2 16 -2 18 -2 17 -2 17 -3 17 -2 16 -2 16 -1 17 0 17 0 16 -1 18 1 19 0 0 2 19 3 20 2 20 1 20 1 20 0 20 0 21 0 20 0 22 0 20 1 20 -1 21 -1 20 0 19 0 19 1 19 0 19 0 19 1 18 2 17 2 18 3 17 3 16 5 17 5 18 4 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,646688,0,82,0,0,0.838427,384,[82 -96 4 0 0 0 0 0 0 0 0 0 17 -3 19 -3 19 -3 19 -3 19 -1 19 -2 20 -2 19 -1 20 0 20 0 22 2 23 2 19 0 20 2 19 3 20 2 17 2 17 3 19 2 19 2 17 2 19 1 20 1 19 1 20 1 19 2 0 0 19 1 18 0 21 0 21 1 21 2 21 1 22 2 22 1 22 2 23 0 22 2 22 2 20 2 20 3 20 3 20 2 18 2 19 1 18 1 17 0 18 1 17 -1 18 -2 18 -1 18 -2 18 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,952690,0,82,0,0,1.14467,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -13 16 -15 16 -15 17 -17 18 -16 16 -17 16 -18 16 -19 14 -19 15 -19 15 -20 16 -20 16 -20 15 -19 14 -20 15 -20 15 -20 14 -18 13 -19 14 -18 14 -18 15 -18 16 -17 14 -17 17 -18 18 -18 18 0 0 -18 19 -19 20 -20 21 -19 21 -19 21 -20 21 -21 21 -21 21 -21 21 -21 20 -23 21 -21 19 -21 19 -22 18 -21 18 -21 19 -21 18 -20 19 -19 17 -18 18 -18 18 -17 18 -16 18 -15 19 -14 20 -15 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,1152143,0,82,0,0,1.34389,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 13 -10 13 -12 13 -13 13 -13 13 -12 13 -13 11 -12 13 -13 13 -14 11 -15 12 -14 12 -15 12 -16 10 -14 11 -14 11 -14 11 -14 11 -12 10 -14 11 -14 10 -12 12 -14 12 -14 12 -13 12 -13 12 0 0 -12 15 -13 16 -13 15 -13 15 -14 15 -14 14 -14 17 -14 16 -14 17 -15 14 -15 15 -14 15 -14 14 -14 14 -13 14 -13 14 -13 14 -11 13 -11 15 -10 15 -9 13 -9 14 -9 16 -9 14 -10 17 -8 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,1951932,0,82,0,0,2.14369,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 -13 -9 -14 -10 -12 -8 -14 -8 -15 -6 -16 -8 -16 -7 -16 -8 -16 -6 -15 -7 -17 -7 -16 -5 -18 -7 -17 -5 -15 -6 -18 -5 -15 -6 -16 -7 -14 -7 -15 -5 -16 -7 -16 -7 -16 -7 -16 -7 -16 -9 -15 0 0 -10 -17 -9 -16 -10 -18 -10 -17 -10 -18 -10 -17 -10 -18 -9 -18 -11 -20 -10 -20 -9 -18 -9 -19 -9 -18 -8 -19 -8 -19 -9 -18 -7 -18 -10 -17 -8 -15 -8 -16 -9 -16 -9 -15 -10 -15 -12 -14 -11 -14 -11 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,2036649,0,82,0,0,2.22837,384,[82 -96 4 0 0 0 0 0 0 0 0 0 12 -8 13 -8 15 -8 16 -8 15 -8 16 -6 16 -7 17 -7 16 -7 18 -7 18 -6 17 -6 16 -4 18 -4 17 -4 18 -4 18 -5 18 -4 16 -4 18 -4 17 -4 16 -5 17 -6 17 -5 18 -5 18 -6 0 0 17 -7 18 -8 18 -7 18 -7 19 -7 20 -7 20 -6 20 -7 20 -7 21 -8 20 -8 20 -6 20 -6 19 -6 19 -6 20 -6 18 -6 19 -6 17 -6 17 -5 17 -6 17 -8 16 -8 15 -8 16 -8 16 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,2066439,0,37,0,0,2.25835,128,[37 80 2 0 0 0 0 0 0 0 0 0 -16 13 -16 13 -19 15 -19 15 -19 14 -19 12 -21 13 -20 12 -22 12 -22 12 -23 12 -24 11 -24 11 -22 10 -21 9 -23 11 -22 10 -21 10 -21 10 -22 10 -20 11 -21 11 -20 10 -22 12 -22 12 -22 13 0 0 -22 14 -23 16 -23 16 -23 17 -22 15 -23 16 -24 16 -24 15 -24 16 -25 13 -26 15 -25 13 -25 13 -24 13 -25 14 -25 13 -25 14 -23 12 -23 12 -21 14 -21 13 -20 14 -20 14 -20 15 -19 15 -19 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,2067920,0,37,0,0,2.26503,128,[37 80 2 0 0 0 0 0 0 0 0 0 10 13 10 16 13 17 11 15 13 18 9 13 12 19 6 19 10 17 9 21 10 21 9 21 9 21 8 19 6 16 11 21 9 17 10 19 8 17 9 20 7 19 9 17 10 20 11 19 10 17 10 17 0 0 11 18 16 19 14 18 19 19 16 20 18 23 18 22 14 26 6 17 9 18 17 28 14 20 11 19 11 18 15 19 12 16 16 22 14 17 14 19 14 17 13 19 15 15 16 17 16 15 14 14 14 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,2070173,0,84,0,0,2.27057,128,[84 -64 4 0 0 0 0 0 0 0 0 0 2 -20 3 -19 4 -21 4 -22 5 -21 6 -20 6 -21 7 -20 7 -20 6 -21 7 -22 8 -22 7 -22 8 -21 8 -19 9 -22 9 -20 8 -19 8 -20 8 -20 7 -19 7 -20 6 -19 6 -21 6 -22 6 -22 0 0 6 -23 6 -25 6 -25 6 -24 6 -24 7 -26 7 -26 8 -26 7 -25 8 -25 8 -26 8 -24 8 -25 9 -24 9 -23 9 -24 8 -23 7 -23 8 -22 6 -22 6 -22 5 -21 4 -22 4 -23 3 -22 3 -23 0 0 0 0 0 0 0 0 0 0 ]
