type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-59,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,35386,0,30,0,0,0.234485,128,[30 -32 1 0 0 0 0 0 0 0 0 0 12 23 11 23 11 25 11 25 10 26 9 25 9 26 8 25 8 25 7 25 7 27 7 26 7 26 7 25 7 24 8 26 8 24 9 24 9 23 10 23 10 22 12 23 12 23 12 25 14 25 13 25 0 0 14 25 15 26 15 26 16 26 15 25 15 25 15 25 15 25 16 24 15 24 14 25 14 22 14 24 14 22 15 23 15 23 16 23 14 21 14 21 14 20 14 21 14 20 14 21 14 21 13 21 12 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,36602,0,30,0,0,0.240736,128,[30 -32 1 0 0 0 0 0 0 0 0 0 21 -3 19 -2 22 -2 21 0 22 0 21 1 22 3 22 4 22 3 22 2 21 2 22 2 20 3 20 2 19 2 22 1 19 2 19 2 19 0 20 1 19 0 21 -2 21 -1 22 -3 23 -3 23 -3 0 0 22 -3 23 -4 23 -4 25 -3 23 -5 25 -2 21 -2 21 -4 22 0 19 -3 22 -6 20 -5 20 -4 19 -3 21 -5 21 -4 22 -5 20 -5 20 -6 20 -4 19 -4 19 -5 20 -5 21 -5 18 -5 19 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,99423,0,28,0,0,0.298318,128,[28 -64 1 0 0 0 0 0 0 0 0 0 27 -6 27 -5 29 -5 29 -5 29 -4 28 -2 29 -2 27 -2 27 -2 27 -1 30 -1 28 -1 28 0 28 0 26 1 28 -1 27 0 26 -1 26 -1 27 -1 26 -2 27 -2 26 -2 28 -3 28 -3 28 -3 0 0 29 -4 31 -4 30 -4 31 -4 30 -4 31 -3 30 -3 30 -2 30 -3 29 -2 30 -2 28 -1 28 -2 27 -1 28 -3 27 -3 28 -4 26 -3 25 -4 25 -5 25 -5 24 -6 24 -6 25 -6 24 -6 24 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,102529,0,157,0,0,0.304641,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -14 -18 -16 -18 -14 -20 -14 -20 -14 -19 -11 -20 -10 -20 -10 -20 -10 -20 -10 -20 -12 -21 -11 -22 -11 -23 -10 -21 -9 -20 -9 -22 -9 -20 -9 -19 -10 -21 -9 -20 -9 -19 -9 -20 -10 -19 -11 -19 -12 -21 -11 -21 0 0 -11 -21 -11 -22 -11 -24 -12 -21 -12 -22 -13 -20 -11 -24 -10 -24 -17 -23 -9 -23 -10 -25 -8 -22 -11 -22 -9 -21 -8 -21 -9 -22 -9 -19 -9 -20 -9 -18 -8 -19 -9 -19 -10 -18 -10 -17 -11 -18 -12 -17 -13 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,137650,0,135,0,0,0.336424,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -19 10 -21 11 -22 10 -22 9 -22 10 -23 8 -21 9 -22 8 -22 7 -22 6 -24 6 -23 5 -23 6 -23 5 -22 6 -23 7 -22 6 -21 6 -21 6 -21 7 -22 7 -21 8 -21 8 -22 7 -22 8 -23 8 0 0 -23 10 -24 8 -23 10 -23 10 -23 9 -24 9 -24 10 -24 9 -23 9 -22 9 -23 7 -22 7 -22 7 -20 8 -20 8 -20 8 -20 9 -19 9 -18 9 -17 10 -18 10 -17 12 -18 11 -17 11 -17 11 -16 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,150622,0,390,0,0,0.349748,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -7 24 -7 23 -8 24 -9 25 -10 23 -10 23 -10 23 -10 23 -11 23 -11 22 -11 24 -11 24 -12 23 -12 22 -12 21 -12 23 -11 22 -11 21 -10 21 -10 21 -9 21 -9 22 -9 22 -9 23 -9 25 -9 24 0 0 -9 25 -9 26 -9 26 -9 26 -10 25 -10 25 -10 25 -11 24 -10 25 -11 24 -11 25 -10 23 -9 23 -10 22 -9 22 -9 22 -8 23 -8 21 -7 22 -7 21 -6 21 -5 21 -5 21 -4 22 -4 21 -3 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,175401,0,390,0,0,0.373956,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 4 -22 5 -24 5 -23 6 -22 7 -23 8 -24 8 -22 8 -22 9 -22 10 -21 9 -22 10 -22 10 -21 9 -21 9 -20 11 -20 10 -20 9 -20 9 -19 10 -20 10 -21 9 -20 8 -21 7 -21 10 -21 8 -21 0 0 10 -23 10 -23 9 -23 10 -23 11 -23 11 -22 11 -22 10 -22 11 -23 10 -22 10 -21 12 -20 10 -20 10 -19 8 -19 9 -18 9 -19 8 -20 6 -20 7 -19 7 -19 7 -20 5 -19 6 -20 5 -20 5 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,193958,0,82,0,0,0.392481,384,[82 -96 4 0 0 0 0 0 0 0 0 0 20 -11 20 -10 22 -10 20 -9 22 -8 22 -7 23 -8 23 -7 21 -6 24 -6 22 -6 22 -5 23 -4 23 -5 21 -5 22 -5 22 -4 21 -3 22 -5 21 -6 22 -5 22 -6 22 -5 22 -6 22 -6 23 -6 0 0 24 -5 23 -6 24 -5 23 -7 24 -4 22 -5 22 -5 23 -4 25 -5 23 -4 22 -5 22 -4 22 -2 22 -4 20 -4 20 -5 20 -5 20 -6 19 -5 19 -5 19 -5 18 -6 18 -7 18 -8 18 -8 17 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-59,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,650285,0,82,0,0,0.848943,128,[82 -96 4 0 0 0 0 0 0 0 0 0 16 17 15 17 16 19 16 20 15 20 13 20 13 21 12 20 13 21 13 21 15 22 14 22 13 22 12 22 11 21 12 23 11 22 11 21 11 21 10 21 11 21 12 21 12 20 15 21 15 21 15 22 0 0 15 22 16 23 16 23 16 23 15 23 15 24 14 24 13 24 14 24 13 24 15 24 13 23 14 23 12 23 12 23 13 22 13 23 13 21 12 22 12 20 12 20 13 19 14 19 15 19 15 17 16 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,805554,0,82,0,0,1.00409,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 -19 -7 -19 -5 -19 -7 -20 -5 -20 -5 -21 -4 -22 -3 -20 -4 -21 -4 -20 -3 -22 -4 -21 -4 -21 -2 -21 -3 -21 -3 -22 -3 -21 -2 -20 -3 -22 -3 -20 -2 -21 -3 -21 -2 -22 -3 -21 -3 -21 -4 -21 0 0 -4 -22 -4 -22 -4 -23 -4 -23 -4 -24 -2 -24 -3 -25 -2 -25 -3 -23 -3 -24 -4 -23 -4 -23 -3 -23 -2 -22 -3 -22 -4 -22 -1 -23 -4 -22 -4 -20 -4 -21 -5 -21 -4 -19 -4 -19 -5 -19 -8 -19 -7 -20 0 0 0 0 0 0 0 0 0 0 ]
