type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,1536051,0,28,0,0,1.93299,128,[28 -64 1 0 0 0 0 0 0 0 0 0 33 3 34 5 34 5 35 5 33 6 34 7 33 7 33 9 32 8 32 9 33 9 33 10 32 10 31 10 31 11 32 10 31 10 28 11 29 11 29 10 28 10 29 10 27 10 28 9 28 8 27 8 0 0 27 7 27 7 27 7 26 6 26 6 26 6 25 5 25 4 25 4 24 3 25 3 24 3 24 2 23 1 23 1 24 1 23 0 23 -1 22 0 21 -2 21 -1 20 -2 21 -3 20 -4 20 -4 19 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,1539312,0,28,0,0,1.96248,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -12 32 -14 31 -14 32 -15 32 -16 31 -17 30 -18 30 -19 28 -18 28 -18 28 -19 30 -19 29 -19 28 -19 28 -20 25 -20 28 -20 26 -20 25 -20 25 -20 24 -20 23 -19 23 -18 23 -18 24 -18 24 -18 24 0 0 -17 23 -16 23 -16 24 -15 23 -15 22 -15 22 -14 22 -14 22 -14 22 -13 22 -12 23 -12 21 -11 21 -10 21 -10 22 -10 22 -9 21 -9 21 -9 21 -8 20 -8 20 -7 20 -6 19 -5 20 -4 20 -5 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,2496233,0,28,0,0,2.89298,128,[28 -64 1 0 0 0 0 0 0 0 0 0 16 -19 17 -18 18 -17 19 -18 19 -16 20 -15 20 -15 19 -15 20 -15 19 -14 21 -15 21 -14 20 -15 20 -14 19 -13 21 -13 20 -12 18 -11 18 -12 19 -12 18 -12 18 -12 17 -11 18 -12 18 -12 18 -12 0 0 17 -13 16 -13 17 -13 15 -13 16 -13 15 -14 15 -13 14 -13 13 -13 13 -12 13 -13 12 -12 12 -13 12 -13 11 -13 12 -13 11 -14 10 -13 10 -13 9 -13 9 -13 9 -13 8 -13 8 -14 7 -13 7 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,3459716,0,28,0,0,3.85646,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -13 27 -15 27 -15 27 -16 28 -16 26 -18 26 -17 25 -18 25 -18 24 -18 23 -19 25 -19 24 -19 24 -19 23 -20 22 -20 23 -20 23 -19 21 -20 21 -18 21 -19 20 -18 21 -17 19 -18 20 -17 21 -17 20 0 0 -16 20 -16 20 -16 21 -15 19 -15 20 -14 20 -14 19 -13 19 -13 20 -12 18 -13 19 -12 18 -11 19 -11 20 -10 19 -10 20 -9 19 -9 19 -9 19 -8 17 -7 18 -7 17 -7 17 -6 18 -5 17 -5 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,3462412,0,157,0,0,3.89365,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 16 17 16 19 15 17 15 19 14 19 14 21 12 20 12 21 12 21 11 20 12 21 12 21 12 21 11 21 11 22 10 21 10 21 9 21 9 22 10 20 10 21 9 20 9 18 10 19 9 19 9 18 0 0 9 18 9 17 8 17 9 18 9 17 9 16 9 15 10 15 9 16 10 14 10 15 10 14 11 14 11 14 10 14 11 13 11 12 12 11 10 12 10 11 11 10 10 10 11 9 11 9 11 9 12 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,4414966,0,28,0,0,4.81177,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -26 11 -25 9 -28 10 -27 8 -28 9 -26 6 -27 6 -27 4 -27 4 -28 5 -28 6 -28 5 -27 5 -27 4 -26 1 -28 3 -25 1 -26 2 -25 1 -25 1 -24 0 -24 0 -24 1 -24 3 -24 3 -24 2 0 0 -23 1 -24 3 -22 2 -23 3 -21 2 -22 2 -21 3 -21 2 -21 3 -21 4 -20 5 -19 5 -19 5 -19 4 -19 6 -18 5 -20 6 -17 5 -18 6 -17 5 -16 5 -15 6 -16 7 -17 7 -15 9 -15 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,5371724,0,28,0,0,5.76849,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -15 -4 -15 -5 -15 -5 -16 -6 -15 -6 -15 -7 -15 -7 -15 -7 -15 -7 -14 -7 -15 -8 -14 -8 -14 -8 -14 -8 -13 -8 -14 -8 -14 -8 -12 -7 -13 -8 -13 -8 -12 -7 -13 -7 -11 -7 -12 -7 -12 -7 -12 -7 0 0 -12 -6 -12 -6 -12 -6 -12 -5 -12 -5 -12 -5 -12 -5 -11 -5 -11 -4 -11 -5 -11 -5 -11 -4 -11 -4 -11 -4 -11 -4 -11 -4 -11 -3 -11 -3 -11 -3 -10 -2 -10 -2 -10 -2 -10 -2 -10 -1 -10 -1 -9 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,5375648,0,157,0,0,5.8046,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -23 -20 -22 -21 -22 -21 -22 -23 -21 -22 -21 -24 -20 -24 -19 -24 -19 -24 -18 -24 -20 -25 -19 -24 -18 -24 -18 -24 -17 -25 -18 -25 -16 -25 -16 -23 -15 -25 -15 -24 -14 -23 -15 -24 -14 -22 -16 -22 -16 -22 -16 -22 0 0 -15 -21 -15 -21 -16 -21 -15 -20 -15 -20 -15 -19 -15 -19 -15 -18 -15 -18 -15 -17 -16 -17 -15 -16 -16 -15 -16 -15 -16 -15 -16 -15 -17 -14 -16 -14 -16 -14 -15 -13 -16 -13 -16 -12 -15 -11 -16 -11 -16 -10 -16 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,6335957,0,28,0,0,6.73271,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -13 28 -14 28 -14 29 -15 29 -16 28 -16 26 -16 26 -18 25 -18 26 -18 26 -18 27 -18 26 -18 25 -18 25 -18 23 -19 26 -19 24 -18 23 -18 22 -18 22 -18 22 -18 22 -17 21 -17 23 -17 23 -16 21 0 0 -15 21 -16 21 -15 22 -14 21 -14 20 -14 21 -12 20 -13 20 -11 20 -12 20 -11 21 -11 20 -10 20 -9 20 -9 20 -9 20 -8 21 -7 19 -8 19 -7 19 -6 19 -5 19 -5 19 -4 19 -3 18 -3 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,9209462,0,28,0,0,9.60624,128,[28 -64 1 0 0 0 0 0 0 0 0 0 25 -9 26 -9 26 -9 27 -9 26 -7 27 -6 26 -7 26 -5 27 -6 26 -5 28 -6 27 -6 27 -5 27 -5 26 -4 28 -4 27 -4 25 -3 26 -3 25 -3 24 -3 25 -3 23 -3 25 -3 25 -4 25 -4 0 0 24 -4 24 -4 24 -5 23 -6 22 -5 23 -5 22 -5 21 -5 21 -6 21 -6 21 -6 20 -6 20 -7 20 -6 20 -6 20 -7 19 -8 19 -7 18 -8 18 -8 18 -8 17 -8 16 -8 17 -9 16 -8 15 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,12078978,0,28,0,0,12.4757,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -23 17 -28 17 -24 15 -29 18 -25 15 -30 15 -27 12 -29 13 -29 9 -23 15 -25 19 -25 17 -26 16 -26 17 -29 15 -28 12 -30 13 -23 11 -29 12 -27 10 -28 10 -28 8 -22 12 -23 15 -24 16 -26 15 0 0 -25 15 -24 11 -27 14 -19 12 -23 12 -24 13 -24 11 -21 12 -24 12 -17 13 -18 16 -18 15 -19 17 -21 17 -18 11 -21 14 -14 15 -17 15 -19 15 -17 12 -17 14 -18 12 -12 14 -11 16 -11 15 -12 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,13990237,0,28,0,0,14.387,128,[28 -64 1 0 0 0 0 0 0 0 0 0 4 -27 4 -25 4 -27 4 -26 5 -27 6 -25 7 -26 7 -25 7 -26 8 -26 8 -26 8 -26 9 -26 8 -25 8 -24 8 -27 8 -24 8 -24 8 -23 8 -24 8 -23 8 -24 8 -23 8 -24 8 -23 8 -23 0 0 7 -22 7 -24 6 -22 6 -24 5 -22 6 -23 6 -22 5 -21 3 -22 4 -22 4 -22 4 -20 3 -21 3 -19 3 -21 2 -19 2 -22 2 -20 -2 -20 1 -21 0 -18 1 -15 1 -14 0 -18 3 -16 1 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,13996507,0,28,0,0,14.42,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -17 23 -18 24 -18 23 -19 25 -19 21 -21 23 -20 21 -21 20 -21 20 -20 20 -21 23 -21 22 -21 21 -21 21 -22 20 -22 21 -23 21 -20 18 -23 19 -21 18 -21 18 -21 18 -20 17 -20 19 -20 20 -20 19 0 0 -19 19 -19 18 -19 20 -17 18 -18 19 -17 18 -17 18 -16 17 -16 18 -16 17 -15 19 -15 18 -14 19 -14 19 -13 17 -14 19 -12 18 -13 18 -12 18 -12 16 -11 18 -10 17 -9 16 -9 17 -8 16 -8 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,15899223,0,28,0,0,16.296,128,[28 -64 1 0 0 0 0 0 0 0 0 0 27 -14 27 -13 28 -13 29 -12 28 -11 29 -10 29 -11 28 -9 29 -9 28 -9 30 -9 30 -9 29 -8 30 -8 28 -6 30 -7 30 -6 28 -6 28 -6 29 -6 27 -6 28 -6 26 -5 28 -6 28 -6 26 -6 0 0 26 -6 26 -6 27 -6 25 -7 25 -7 25 -7 24 -7 23 -7 23 -8 23 -7 24 -8 22 -7 22 -8 22 -8 22 -8 22 -9 22 -9 21 -9 20 -9 20 -9 20 -9 19 -9 18 -9 18 -10 17 -10 17 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,16852330,0,28,0,0,17.2491,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -12 27 -13 25 -14 27 -14 27 -15 27 -15 25 -16 26 -17 24 -15 25 -17 25 -18 26 -18 25 -18 25 -17 24 -18 22 -18 26 -18 23 -18 23 -18 22 -18 22 -18 21 -17 22 -17 21 -17 23 -17 22 -17 21 0 0 -15 21 -16 22 -15 22 -15 22 -14 21 -15 21 -14 21 -13 20 -13 21 -13 20 -13 22 -12 20 -11 20 -11 20 -11 21 -10 21 -10 21 -9 19 -10 19 -9 19 -9 19 -7 18 -7 19 -7 19 -6 18 -6 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,16858003,0,157,0,0,17.2866,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 3 -21 4 -20 4 -21 5 -21 6 -21 6 -21 5 -20 6 -20 6 -20 7 -19 8 -21 6 -21 7 -21 7 -19 8 -20 8 -19 9 -20 8 -19 8 -19 9 -19 9 -20 8 -18 7 -19 7 -19 8 -19 7 -19 0 0 7 -19 6 -18 7 -17 6 -17 6 -18 6 -18 6 -17 5 -18 5 -17 4 -16 4 -17 4 -16 4 -17 4 -17 3 -16 3 -18 2 -16 2 -16 2 -16 2 -15 1 -15 1 -14 1 -14 1 -14 0 -16 0 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,18766939,0,28,0,0,19.1637,128,[28 -64 1 0 0 0 0 0 0 0 0 0 25 15 24 17 25 18 25 18 24 19 22 19 22 21 20 21 20 21 21 20 25 19 24 20 23 20 22 20 19 20 21 22 20 22 19 21 19 21 18 22 17 22 17 21 17 20 20 19 21 19 19 19 0 0 18 19 19 19 19 18 19 18 18 17 17 18 17 17 16 17 17 16 18 15 20 14 18 13 19 13 17 13 18 14 18 12 19 13 17 13 18 15 16 14 16 12 20 12 18 14 17 9 18 11 21 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-97,0,6,1,18769940,0,157,0,0,19.1967,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 10 -23 12 -22 11 -21 13 -21 13 -20 13 -20 14 -20 15 -21 14 -20 14 -19 14 -20 15 -20 16 -19 16 -20 16 -18 14 -18 17 -19 14 -18 16 -18 17 -18 17 -17 15 -18 15 -18 15 -17 15 -17 14 -18 0 0 14 -18 13 -17 13 -17 13 -18 14 -17 12 -18 13 -17 12 -17 11 -17 11 -16 10 -16 10 -16 10 -16 10 -16 10 -17 9 -17 9 -16 8 -17 8 -17 8 -15 8 -15 7 -16 7 -16 5 -15 5 -16 5 -15 0 0 0 0 0 0 0 0 0 0 ]
