type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-59,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,9328575,0,30,0,0,9.51439,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -16 13 -16 12 -17 12 -18 12 -18 11 -18 10 -18 10 -18 10 -18 9 -17 9 -18 10 -18 10 -19 10 -18 10 -17 10 -18 11 -18 11 -17 11 -17 11 -17 12 -17 12 -17 13 -16 12 -18 14 -18 14 -18 14 0 0 -17 15 -18 15 -18 16 -16 16 -16 16 -17 16 -17 17 -16 16 -16 18 -16 17 -16 19 -15 19 -15 20 -15 20 -16 20 -17 22 -17 23 -17 22 -18 23 -18 22 -19 23 -20 22 -20 22 -22 23 -21 22 -23 22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-59,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,9329614,0,30,0,0,9.52141,128,[30 -32 1 0 0 0 0 0 0 0 0 0 3 -18 9 -16 9 -18 10 -17 12 -14 12 -15 9 -14 12 -15 11 -14 10 -14 10 -15 10 -15 9 -16 14 -17 8 -14 7 -21 8 -17 8 -16 12 -16 9 -16 7 -19 9 -17 8 -17 7 -19 7 -19 7 -19 0 0 6 -20 6 -20 6 -20 3 -21 3 -19 6 -20 5 -20 6 -21 0 -22 2 -18 2 -21 2 -20 1 -23 -1 -22 1 -24 0 -25 0 -26 0 -25 1 -25 1 -27 2 -26 2 -27 1 -27 1 -29 1 -28 4 -29 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11783427,0,28,0,0,11.9691,128,[28 -64 1 0 0 0 0 0 0 0 0 0 29 -8 29 -7 29 -6 30 -5 28 -4 28 -3 27 -2 26 -1 26 -1 25 -1 27 -1 27 -1 26 0 25 1 25 1 25 0 24 1 23 1 23 1 23 1 22 0 23 0 21 0 22 -1 23 -1 23 -1 0 0 22 -2 23 -2 23 -3 22 -4 21 -3 23 -3 21 -4 22 -4 22 -5 22 -5 23 -6 22 -6 24 -7 25 -7 24 -7 25 -8 25 -8 25 -9 25 -8 25 -9 26 -9 27 -10 27 -9 29 -10 28 -10 29 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11786105,0,157,0,0,11.9755,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 20 22 17 22 17 24 17 24 16 24 14 23 14 24 12 23 12 23 11 23 12 24 12 23 11 23 10 23 9 20 10 24 9 22 9 21 9 21 9 21 8 20 9 20 9 19 9 20 10 20 11 20 0 0 11 19 11 19 12 19 12 18 12 17 12 18 13 18 13 18 14 17 14 18 15 19 14 17 16 18 16 18 17 19 18 19 19 19 19 18 19 19 19 19 19 20 20 20 21 20 21 21 21 20 21 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,11817755,0,135,0,0,12.0032,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -11 -13 -11 -13 -9 -13 -9 -13 -9 -13 -8 -12 -7 -14 -8 -12 -7 -12 -7 -13 -7 -13 -7 -12 -6 -13 -6 -12 -5 -13 -7 -11 -6 -12 -7 -11 -5 -11 -6 -11 -6 -11 -6 -11 -6 -12 -6 -11 -6 -11 -6 -11 0 0 -7 -10 -7 -10 -7 -10 -8 -10 -7 -10 -7 -10 -7 -9 -8 -10 -9 -10 -9 -11 -10 -9 -9 -10 -10 -10 -9 -10 -11 -10 -11 -9 -11 -10 -11 -11 -12 -10 -12 -10 -12 -11 -12 -10 -12 -11 -13 -11 -13 -11 -12 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,11831148,0,390,0,0,12.0165,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -16 0 -17 -2 -16 -2 -15 -1 -15 -2 -15 -3 -16 -3 -15 -4 -14 -5 -14 -3 -14 -4 -13 -4 -13 -3 -12 -4 -14 -4 -13 -4 -13 -4 -13 -4 -12 -4 -13 -4 -12 -3 -13 -4 -12 -3 -12 -3 -12 -3 -13 -3 0 0 -13 -2 -13 -2 -12 -1 -13 -1 -12 0 -13 -1 -13 0 -13 0 -13 -1 -13 0 -14 0 -14 0 -14 1 -14 1 -14 0 -15 1 -15 2 -16 1 -15 2 -15 1 -16 2 -16 2 -16 3 -17 2 -18 2 -18 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,11851072,0,390,0,0,12.0364,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 8 -14 9 -14 8 -14 9 -13 9 -12 10 -11 10 -10 10 -11 9 -11 10 -11 10 -11 10 -10 9 -10 10 -10 10 -10 10 -10 10 -9 8 -8 9 -9 9 -9 10 -9 9 -9 8 -8 8 -10 8 -9 8 -9 0 0 8 -9 7 -10 7 -10 7 -9 8 -10 7 -10 7 -11 7 -11 7 -11 7 -11 6 -11 7 -12 6 -12 6 -12 7 -12 6 -13 6 -13 6 -13 7 -13 6 -13 7 -14 8 -14 7 -15 7 -15 8 -14 7 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,11869281,0,82,0,0,12.0546,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 6 -16 5 -16 5 -16 4 -16 3 -16 3 -16 2 -15 1 -16 2 -16 2 -16 1 -15 0 -14 1 -15 1 -15 0 -14 0 -14 1 -14 -1 -13 0 -14 1 -13 0 -13 0 -13 -1 -13 1 -13 1 -13 0 0 0 -13 1 -12 1 -13 2 -12 3 -12 3 -12 2 -12 3 -13 3 -12 3 -12 2 -13 4 -13 5 -13 6 -13 5 -14 5 -13 6 -13 6 -14 6 -14 6 -14 6 -15 7 -15 7 -14 7 -15 7 -15 7 -16 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,11964206,0,82,0,0,12.1495,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 -16 -8 -15 -8 -16 -7 -16 -6 -16 -6 -17 -6 -17 -6 -16 -6 -16 -3 -16 -4 -15 -3 -16 -3 -16 -2 -15 -3 -15 -3 -14 -4 -15 -4 -15 -2 -14 -3 -15 -3 -14 -2 -14 -3 -13 -2 -13 -2 -14 -3 -14 0 0 -3 -13 -3 -13 -3 -12 -4 -12 -4 -13 -4 -12 -5 -12 -5 -12 -5 -11 -6 -12 -6 -12 -6 -12 -6 -11 -6 -12 -9 -12 -9 -12 -8 -12 -8 -13 -8 -12 -9 -13 -10 -13 -8 -12 -10 -14 -10 -13 -10 -13 -10 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,12327085,0,82,0,0,12.5124,384,[82 -96 4 0 0 0 0 0 0 0 0 0 15 6 15 7 13 8 14 7 14 7 12 10 13 10 12 9 12 10 9 10 10 9 10 10 10 9 10 9 9 9 10 10 9 10 9 10 9 10 8 8 8 9 8 8 9 10 8 8 9 7 8 7 0 0 8 7 9 7 8 6 9 6 8 5 9 6 9 5 8 4 10 5 10 5 10 4 10 4 9 3 11 3 11 3 11 3 12 2 12 2 13 2 13 1 14 2 14 1 13 1 15 2 15 2 16 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,12828924,0,82,0,0,13.0142,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 -12 -6 -12 -6 -12 -6 -14 -4 -13 -5 -13 -5 -13 -4 -13 -3 -14 -3 -14 -4 -14 -3 -13 -3 -14 -3 -13 -2 -13 -3 -13 -3 -14 -3 -13 -2 -13 -2 -12 -2 -12 -2 -12 -2 -13 -3 -13 -2 -12 -3 -12 0 0 -3 -11 -3 -12 -3 -12 -4 -11 -4 -12 -4 -12 -4 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -11 -5 -12 -6 -11 -7 -13 -7 -12 -8 -13 -7 -13 -8 -13 -7 -13 -7 -13 -8 -13 -8 -13 -9 -14 -9 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,12963641,0,82,0,0,13.149,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 -8 -13 -8 -13 -8 -12 -9 -11 -10 -12 -8 -13 -9 -11 -9 -11 -9 -10 -10 -11 -9 -11 -9 -9 -9 -10 -9 -9 -9 -10 -8 -10 -9 -10 -10 -10 -9 -10 -9 -9 -7 -9 -8 -10 -8 -10 -8 -9 -8 -10 -8 0 0 -10 -7 -10 -7 -10 -7 -11 -7 -10 -7 -11 -7 -11 -7 -11 -7 -12 -7 -12 -7 -12 -6 -13 -6 -12 -6 -12 -6 -14 -6 -13 -7 -13 -6 -14 -6 -14 -6 -15 -7 -15 -6 -14 -7 -14 -7 -15 -7 -15 -8 -16 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13281825,0,82,0,0,13.4671,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 -13 13 -11 13 -12 13 -12 15 -11 14 -10 15 -9 14 -9 14 -9 15 -8 14 -8 15 -8 16 -8 14 -8 14 -8 14 -7 15 -7 15 -7 14 -7 14 -7 13 -7 14 -7 14 -6 13 -7 14 -6 13 -8 0 0 13 -7 13 -8 12 -7 13 -8 13 -8 12 -8 12 -9 12 -10 12 -8 12 -9 12 -10 13 -9 12 -10 12 -11 13 -11 12 -11 12 -13 12 -12 13 -12 12 -12 13 -13 12 -13 13 -13 13 -14 15 -13 14 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,13307408,0,37,0,0,13.4929,128,[37 80 2 0 0 0 0 0 0 0 0 0 0 -24 -2 -19 -4 -23 -4 -22 -1 -23 0 -22 1 -22 0 -21 2 -22 1 -21 1 -21 2 -20 3 -21 5 -16 2 -19 7 -20 4 -21 3 -19 7 -21 5 -20 5 -19 3 -17 4 -17 3 -19 2 -19 3 -19 0 0 2 -19 2 -18 2 -19 1 -19 2 -19 2 -19 2 -18 2 -18 1 -19 1 -19 0 -19 0 -18 -1 -19 0 -19 -1 -20 -1 -21 -1 -22 -1 -21 0 -21 -1 -21 0 -22 -1 -21 -1 -22 -2 -24 -2 -22 -2 -23 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-58,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,13308811,0,37,0,0,13.4991,128,[37 80 2 0 0 0 0 0 0 0 0 0 10 24 11 24 12 25 10 26 8 24 7 25 8 25 6 25 5 25 6 24 6 26 7 26 6 24 6 25 5 26 4 25 4 25 3 22 3 23 2 23 1 24 4 23 4 20 4 22 5 23 4 23 0 0 5 22 5 23 6 24 5 20 5 20 6 21 6 22 7 22 8 17 9 22 10 25 9 22 10 22 11 22 10 21 12 23 11 22 12 22 11 24 11 22 13 24 13 24 13 22 14 24 14 23 14 25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13310654,0,84,0,0,13.5045,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 -11 -13 -12 -12 -13 -13 -13 -13 -12 -13 -13 -15 -12 -12 -13 -12 -13 -10 -14 -13 -14 -11 -14 -10 -14 -9 -13 -8 -13 -9 -14 -10 -15 -9 -14 -11 -14 -10 -13 -9 -13 -9 -12 -6 -11 -8 -13 -9 -12 -9 -13 0 0 -9 -12 -8 -12 -9 -12 -11 -13 -10 -12 -10 -11 -10 -11 -11 -13 -11 -11 -11 -11 -11 -12 -10 -8 -12 -10 -12 -11 -12 -11 -15 -14 -13 -11 -13 -12 -14 -11 -13 -9 -14 -11 -14 -10 -14 -12 -15 -11 -15 -13 -16 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13311987,0,84,0,0,13.5112,384,[84 -64 4 0 0 0 0 0 0 0 0 0 5 15 4 13 4 14 3 14 4 15 3 14 3 15 2 14 2 15 1 15 1 15 1 15 0 14 1 13 1 13 1 14 1 13 1 13 0 12 0 13 0 13 0 12 0 13 0 13 0 13 1 12 0 0 1 11 1 13 1 12 2 13 2 12 2 11 2 12 2 12 3 12 4 13 4 12 3 12 4 12 4 12 5 13 5 12 5 13 5 12 6 13 7 13 7 13 6 13 6 14 6 14 7 14 7 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13313682,0,84,0,0,13.5164,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -10 -13 -10 -13 -11 -12 -9 -11 -11 -11 -11 -11 -11 -10 -12 -11 -11 -9 -12 -11 -12 -8 -11 -7 -13 -9 -13 -9 -13 -9 -13 -8 -11 -8 -12 -7 -12 -7 -10 -7 -12 -8 -12 -8 -12 -8 -12 -7 -11 -7 -12 0 0 -6 -11 -8 -13 -9 -11 -9 -11 -8 -10 -7 -10 -8 -11 -8 -10 -9 -11 -10 -12 -10 -10 -7 -10 -8 -11 -9 -11 -10 -11 -9 -10 -11 -12 -10 -11 -10 -10 -11 -10 -12 -11 -11 -12 -12 -11 -11 -12 -12 -12 -11 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13313842,0,84,0,0,13.5229,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 2 -16 1 -15 0 -15 0 -16 0 -16 -1 -15 -1 -15 -1 -15 -2 -15 -2 -15 -2 -14 -2 -15 -2 -15 -2 -15 -3 -14 -3 -15 -3 -14 -3 -14 -2 -14 -2 -13 -3 -14 -3 -14 -3 -13 -3 -13 -2 -14 -2 0 0 -14 -2 -13 -2 -14 -1 -13 -2 -12 -1 -13 -1 -13 0 -13 -1 -14 -1 -14 0 -14 1 -14 1 -14 1 -14 1 -14 1 -15 2 -14 1 -15 2 -15 2 -15 3 -15 2 -16 2 -15 3 -16 3 -17 3 -17 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13320896,0,84,0,0,13.5289,384,[84 -64 4 0 0 0 0 0 0 0 0 0 2 -16 3 -15 3 -17 5 -16 5 -17 4 -15 5 -16 5 -15 5 -14 6 -15 6 -15 5 -15 6 -14 6 -14 7 -13 6 -14 6 -14 7 -14 6 -13 6 -14 7 -13 6 -13 6 -13 6 -13 6 -14 5 -14 0 0 6 -13 6 -14 6 -13 6 -13 5 -14 5 -13 5 -14 5 -14 4 -14 4 -14 4 -14 4 -15 3 -14 3 -14 4 -16 3 -15 4 -16 3 -16 3 -16 3 -17 3 -17 3 -17 2 -17 2 -18 3 -17 3 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,13322190,0,84,0,0,13.5346,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 8 12 8 12 10 11 9 11 10 10 10 10 11 10 10 10 11 9 11 10 11 10 11 9 11 9 11 8 10 9 12 9 11 8 11 7 10 8 11 8 11 8 11 8 11 8 11 8 10 8 10 0 0 8 10 9 10 8 9 9 10 9 9 9 9 9 9 9 9 9 9 10 9 10 9 10 9 10 8 11 8 12 8 11 8 13 9 12 8 12 8 13 8 13 8 13 8 14 9 13 9 14 9 14 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13337687,0,84,0,0,13.5397,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -3 12 -2 12 -2 11 -2 11 0 13 0 13 0 13 0 13 0 12 0 12 1 13 1 12 0 12 0 12 1 13 1 13 2 12 1 12 1 13 1 13 0 12 1 13 2 12 1 12 2 13 1 0 0 13 1 13 1 12 1 13 0 13 0 14 1 12 0 13 0 13 0 13 1 13 0 13 -1 14 -1 14 -2 14 0 15 -2 15 -2 16 -2 16 -1 16 -2 16 -2 17 -2 16 -3 17 -3 17 -2 18 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13340887,0,84,0,0,13.5454,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 -1 -11 -1 -12 -2 -11 -2 -11 -1 -11 -3 -12 -3 -12 -3 -11 -3 -11 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -4 -12 -5 -12 -6 -11 -5 -11 -4 -12 -4 -11 -6 -12 -5 -13 -4 -12 -4 -12 -5 0 0 -12 -4 -12 -4 -11 -5 -12 -4 -12 -5 -12 -5 -11 -4 -12 -5 -13 -5 -13 -4 -14 -3 -14 -4 -13 -3 -13 -3 -15 -4 -15 -3 -14 -3 -15 -3 -15 -3 -16 -3 -15 -4 -16 -3 -16 -3 -17 -4 -16 -3 -18 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,13353613,0,84,0,0,13.5517,384,[84 -64 4 0 0 0 0 0 0 0 0 0 10 8 10 10 8 14 11 10 8 9 8 10 5 13 7 7 7 12 6 10 6 3 6 8 6 9 6 10 9 7 6 11 6 9 5 9 6 14 5 9 8 7 3 8 4 10 5 9 5 6 7 8 0 0 6 5 6 8 6 6 7 7 7 6 7 6 4 6 6 1 8 4 7 4 10 4 9 5 9 5 9 3 11 2 10 -1 11 3 9 1 11 2 11 1 12 3 12 2 14 2 12 -1 13 3 14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-73,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,13362219,0,84,0,0,13.5566,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 -19 -3 -18 0 -12 0 -19 0 -20 0 -18 -6 -16 2 -18 1 -17 3 -19 7 -13 3 -18 3 -18 5 -16 2 -14 3 -17 3 -16 4 -15 3 -11 6 -16 5 -16 5 -16 -3 -15 3 -14 4 -16 3 -14 0 0 4 -14 4 -14 2 -13 2 -11 2 -13 3 -13 3 -13 4 -14 1 -13 1 -14 0 -14 6 -12 0 -14 0 -12 -1 -13 3 -8 -2 -13 -1 -13 -2 -13 -4 -7 -3 -14 -1 -14 -4 -14 -4 -13 -3 -14 -4 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,13363354,0,84,0,0,13.5624,128,[84 -64 4 0 0 0 0 0 0 0 0 0 27 -7 28 -7 27 -6 29 -5 27 -3 27 -3 27 -1 26 -1 26 0 25 0 27 -1 26 -1 25 0 25 1 25 3 26 2 25 1 23 2 23 2 23 3 23 3 23 3 20 3 22 2 22 2 21 1 0 0 22 1 21 1 21 2 19 0 20 1 20 1 20 0 19 -1 19 -2 18 -1 18 -2 18 -2 18 -4 19 -3 18 -3 19 -4 18 -5 19 -6 18 -6 18 -6 19 -7 19 -7 19 -7 20 -9 19 -9 20 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,13363771,0,84,0,0,13.5679,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 -32 -8 -31 -8 -33 -7 -32 -4 -32 -5 -30 -3 -31 -2 -31 -1 -31 -1 -30 -1 -31 -1 -31 -1 -30 0 -30 1 -28 0 -31 1 -29 1 -28 1 -27 2 -26 2 -26 2 -26 2 -26 0 -26 1 -26 1 -25 0 0 1 -24 -1 -26 0 -25 -1 -24 -1 -22 0 -25 -2 -23 -1 -22 -2 -22 -2 -22 -3 -23 -4 -22 -5 -21 -4 -21 -5 -22 -6 -22 -7 -23 -8 -21 -7 -22 -8 -22 -8 -21 -9 -22 -11 -23 -11 -23 -11 -22 -11 -23 0 0 0 0 0 0 0 0 0 0 ]
