type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,35324,0,30,0,0,0.223807,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -12 -27 -10 -29 -10 -30 -9 -30 -8 -30 -6 -29 -5 -28 -4 -27 -3 -26 -3 -28 -4 -27 -4 -25 -4 -26 -4 -25 -2 -22 -4 -24 -4 -22 -4 -23 -4 -22 -5 -24 -5 -21 -5 -23 -5 -21 -5 -22 -6 -23 -5 -22 0 0 -6 -21 -7 -20 -5 -21 -6 -21 -7 -20 -7 -20 -6 -18 -7 -19 -6 -19 -7 -18 -8 -19 -8 -18 -8 -17 -9 -16 -10 -17 -9 -16 -10 -17 -10 -16 -11 -16 -10 -16 -11 -16 -11 -14 -11 -15 -12 -15 -10 -13 -11 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,77508,0,28,0,0,0.265816,128,[28 -64 1 0 0 0 0 0 0 0 0 0 31 5 29 7 31 6 30 6 31 8 29 8 28 9 26 10 26 8 26 10 28 11 26 9 25 9 24 10 21 8 25 10 23 9 22 8 20 10 21 9 19 8 21 6 20 6 19 6 20 6 19 6 0 0 18 6 18 5 17 3 20 3 17 5 17 4 17 3 16 5 18 2 17 2 17 2 14 1 16 1 16 1 17 0 18 -2 16 -1 16 -1 15 -1 16 -2 16 -1 15 -3 16 -2 15 -4 15 -4 16 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,2,1,1,1,0,0,0,0,-98,0,6,1,80930,0,157,0,0,0.271776,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 10 -16 12 -14 11 -15 12 -15 11 -13 14 -13 11 -15 12 -13 12 -13 13 -12 12 -12 13 -12 12 -11 11 -11 11 -11 11 -10 11 -10 10 -11 11 -10 10 -10 10 -9 9 -10 9 -10 8 -10 8 -9 9 -10 0 0 7 -11 6 -8 7 -9 6 -9 6 -9 6 -9 6 -9 5 -10 4 -9 5 -11 5 -10 4 -9 4 -9 4 -9 4 -9 2 -10 2 -10 1 -11 2 -11 1 -11 1 -10 1 -10 1 -10 0 -12 1 -10 0 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,2,1,1,1,0,0,0,0,-98,0,6,1,115393,0,135,0,0,0.303596,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -14 -16 -13 -19 -16 -16 -10 -15 -12 -19 -14 -18 -6 -21 -12 -19 -11 -20 -10 -19 -11 -23 -6 -14 -9 -16 -5 -19 -6 -15 -8 -15 -7 -13 -4 -15 -8 -17 -9 -14 -8 -10 -4 -17 -7 -11 -3 -12 -5 -7 -8 -10 0 0 -3 -11 -3 -9 -4 -10 -6 -12 -6 -10 -5 -9 -6 -9 -7 -10 -7 -10 -8 -9 -8 -11 -9 -13 -6 -5 -5 -11 -2 -8 -5 -9 -10 -7 -7 -8 -6 -7 -5 -9 -7 -7 -6 -8 -6 -8 -8 -8 -7 -9 -7 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,2,1,1,1,0,0,0,0,-98,0,6,1,125942,0,390,0,0,0.314028,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 20 -12 19 -10 20 -9 21 -11 20 -8 18 -9 19 -10 19 -7 17 -7 18 -7 20 -8 18 -7 17 -7 18 -7 15 -8 17 -8 16 -6 13 -7 14 -5 11 -5 11 -6 11 -7 13 -8 11 -9 10 -6 11 -6 0 0 10 -5 10 -8 10 -7 9 -7 10 -7 9 -6 8 -8 9 -9 8 -6 9 -8 8 -9 6 -6 7 -7 7 -7 6 -5 8 -6 5 -6 7 -6 5 -8 6 -8 6 -7 5 -8 5 -7 5 -9 5 -8 6 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,2,1,1,1,0,0,0,0,-98,0,6,1,145528,0,390,0,0,0.333541,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 27 7 27 8 27 7 28 7 27 5 27 5 26 4 25 5 25 4 26 3 25 2 24 4 24 3 24 3 22 4 23 3 21 3 19 4 20 3 17 4 18 3 17 3 16 3 16 4 16 4 15 0 0 3 14 4 15 5 14 4 15 3 12 5 10 3 9 4 9 3 11 4 10 2 11 4 9 5 9 4 7 5 8 5 8 4 6 3 7 3 8 2 7 3 10 3 7 3 6 4 7 4 6 3 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,162572,0,82,0,0,0.350496,384,[82 -96 4 0 0 0 0 0 0 0 0 0 12 -29 13 -28 12 -29 13 -28 14 -28 14 -27 13 -26 14 -25 15 -27 15 -25 14 -24 15 -25 12 -24 13 -24 14 -21 13 -23 12 -21 11 -20 11 -19 9 -19 10 -18 9 -18 9 -18 8 -18 8 -17 6 -17 0 0 6 -17 6 -15 5 -15 4 -15 4 -14 5 -14 4 -13 4 -13 3 -11 1 -12 2 -10 2 -11 1 -11 2 -11 3 -10 1 -10 1 -9 0 -10 -1 -9 -1 -9 0 -7 0 -9 1 -8 -1 -8 1 -7 -1 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-63,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,247650,0,82,0,0,0.4357,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -5 -33 -3 -32 -4 -34 -4 -34 -3 -33 -1 -31 -2 -33 0 -31 0 -30 -1 -30 0 -31 0 -30 0 -29 0 -28 0 -26 -1 -29 -1 -27 0 -26 0 -25 -1 -25 -1 -23 -1 -22 -1 -22 -2 -22 -2 -21 -3 -20 0 0 -3 -19 -3 -19 -3 -18 -4 -18 -4 -16 -4 -16 -5 -15 -5 -14 -4 -14 -4 -13 -5 -13 -4 -12 -5 -11 -4 -10 -5 -10 -6 -9 -5 -9 -5 -8 -6 -8 -5 -8 -5 -7 -5 -5 -5 -6 -5 -5 -6 -5 -5 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-63,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,248980,0,82,0,0,0.442081,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -24 -20 -25 -22 -21 -23 -24 -23 -24 -21 -25 -23 -24 -21 -21 -21 -23 -23 -22 -22 -20 -20 -18 -23 -19 -21 -19 -21 -20 -22 -18 -21 -18 -20 -17 -17 -24 -15 -18 -18 -15 -16 -18 -14 -13 -16 -15 -16 -16 -15 -14 -14 0 0 -16 -14 -14 -11 -16 -11 -14 -9 -14 -8 -14 -11 -12 -7 -19 0 -5 -23 -13 -19 -12 -8 -10 0 -15 -2 -15 -4 -8 -6 -9 -2 -9 -4 -9 0 -9 -2 -7 -3 -9 -2 -8 -2 -8 2 -7 -3 -7 -1 -7 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,3,1,1,1,0,0,0,0,-98,0,6,1,627389,0,82,0,0,0.815343,384,[82 -96 4 0 0 0 0 0 0 0 0 0 20 -23 20 -22 21 -22 21 -21 21 -20 21 -19 22 -20 22 -18 20 -19 22 -19 22 -18 21 -18 22 -18 21 -16 20 -16 21 -18 19 -16 20 -16 19 -15 19 -15 19 -13 17 -13 17 -15 17 -14 16 -13 15 -13 0 0 14 -12 15 -14 14 -13 14 -13 13 -13 13 -13 12 -13 11 -13 10 -14 10 -14 9 -13 9 -12 10 -14 8 -14 8 -13 7 -14 10 -13 7 -12 7 -12 7 -11 7 -13 6 -12 6 -11 6 -13 4 -11 5 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-63,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,1126016,0,82,0,0,1.31421,128,[82 -96 4 0 0 0 0 0 0 0 0 0 20 3 19 3 21 3 20 4 20 4 20 5 20 5 19 5 19 5 19 5 19 5 19 4 18 5 17 5 16 5 18 4 16 4 16 4 16 3 16 4 14 3 15 3 14 3 14 2 14 1 14 2 0 0 13 1 13 1 12 1 12 0 11 0 12 0 10 0 10 0 10 0 9 0 9 0 8 -1 8 -1 8 -1 8 -1 7 -1 7 -1 6 -1 7 -1 6 -1 6 -1 5 -1 5 -1 5 -1 4 -2 4 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-64,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,1250402,0,82,0,0,1.43846,128,[82 -96 4 0 0 0 0 0 0 0 0 0 29 -13 30 -12 30 -11 32 -11 29 -10 31 -8 30 -7 29 -6 28 -6 27 -7 29 -8 28 -7 28 -7 26 -5 26 -4 27 -5 27 -5 24 -4 26 -4 24 -3 23 -4 24 -2 20 -4 20 -4 22 -4 20 -4 0 0 20 -3 19 -4 19 -3 20 -4 19 -4 18 -5 13 -4 16 -2 12 -3 21 -2 14 -5 14 -3 16 -2 12 -6 11 -1 18 -1 5 -1 14 -2 20 2 6 -8 7 -2 -3 -12 -1 8 7 -3 -3 -5 15 -14 0 0 0 0 0 0 0 0 0 0 ]
