type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-57,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,9355462,0,30,0,0,9.54026,128,[30 -32 1 0 0 0 0 0 0 0 0 0 20 18 19 19 19 19 19 22 16 21 16 22 16 22 14 21 14 21 13 20 15 22 14 21 14 20 14 20 13 19 14 19 15 20 14 17 15 19 15 18 14 18 16 18 15 17 17 18 18 18 17 18 0 0 18 17 18 17 20 17 18 15 19 16 20 15 19 15 19 14 19 13 19 13 22 13 20 12 22 12 23 12 23 12 25 13 25 12 26 12 25 13 25 12 25 14 25 14 24 14 26 15 24 15 24 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11807148,0,28,0,0,11.9918,128,[28 -64 1 0 0 0 0 0 0 0 0 0 23 9 22 10 24 11 23 11 23 12 21 12 22 13 19 14 20 13 19 14 21 15 20 14 20 15 19 14 17 14 20 15 18 14 18 14 18 14 17 15 16 14 18 14 17 14 18 14 18 14 18 14 0 0 18 13 19 13 19 12 20 12 19 12 20 12 19 12 19 12 20 11 20 12 21 11 20 10 21 10 20 10 22 11 22 10 24 10 23 10 23 11 23 10 23 11 24 9 25 10 26 10 24 9 25 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11809768,0,157,0,0,11.9982,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 18 -17 18 -17 19 -17 20 -18 20 -16 20 -14 21 -14 20 -13 20 -14 21 -12 22 -13 22 -12 22 -12 21 -12 20 -11 22 -12 21 -11 20 -11 20 -10 20 -10 20 -10 20 -11 19 -10 21 -11 20 -11 20 -11 0 0 19 -12 20 -12 20 -13 19 -13 19 -12 19 -13 19 -13 19 -14 18 -14 19 -13 19 -15 18 -14 18 -15 19 -15 19 -16 20 -17 19 -18 19 -17 19 -18 19 -17 19 -18 19 -19 19 -19 20 -19 19 -19 19 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,11835929,0,135,0,0,12.0204,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -9 14 -10 14 -10 13 -11 13 -11 12 -11 11 -12 11 -13 11 -12 11 -11 10 -13 10 -11 10 -13 10 -12 11 -12 10 -11 10 -13 10 -12 10 -12 9 -13 9 -12 9 -12 9 -12 9 -13 10 -12 10 -12 10 0 0 -12 10 -11 9 -11 10 -11 10 -12 10 -11 10 -11 11 -11 10 -11 11 -11 11 -10 12 -10 12 -10 11 -11 12 -10 12 -11 13 -10 12 -10 13 -9 13 -10 13 -10 13 -11 14 -10 14 -10 14 -10 15 -10 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-56,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11849717,0,390,0,0,12.0346,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 8 21 7 20 7 23 6 22 5 22 4 21 4 22 3 21 3 22 2 22 1 23 0 23 0 22 0 21 0 19 1 23 0 21 -1 21 -1 20 -1 20 -1 20 0 20 -1 20 -2 20 -1 21 -2 19 0 0 -1 19 0 21 0 20 1 21 1 19 1 20 2 20 1 20 2 19 2 21 -1 22 -1 20 0 19 2 19 3 23 1 23 4 25 4 24 7 25 1 22 7 23 7 26 5 24 0 17 1 21 9 24 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,11870437,0,390,0,0,12.0548,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 -13 8 -13 9 -13 9 -11 9 -12 9 -11 10 -11 10 -10 10 -10 11 -10 10 -10 10 -9 10 -9 10 -9 10 -8 10 -8 10 -8 11 -8 10 -8 11 -8 11 -8 10 -8 10 -8 11 -9 10 -9 10 -8 0 0 10 -8 10 -9 9 -8 10 -10 9 -9 10 -9 10 -9 9 -9 9 -9 9 -10 8 -10 9 -10 8 -10 9 -10 8 -11 8 -11 9 -12 8 -11 9 -11 8 -12 9 -12 9 -11 9 -13 9 -13 9 -13 9 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,11891746,0,82,0,0,12.076,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 3 14 4 13 4 13 5 13 4 13 5 12 6 11 6 12 7 12 5 12 6 12 6 12 6 12 6 12 6 11 7 11 7 10 7 11 6 11 6 11 6 10 6 10 6 11 6 11 6 12 6 0 0 11 6 11 6 11 5 11 5 11 6 11 5 11 5 12 4 11 5 12 4 12 4 12 5 12 4 13 4 12 4 13 4 13 4 13 3 14 3 14 3 14 4 13 3 14 3 14 2 15 3 15 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,12131540,0,82,0,0,12.3158,384,[82 -96 4 0 0 0 0 0 0 0 0 0 3 15 2 14 2 16 1 15 1 16 0 15 0 15 -1 15 -2 16 -1 16 -1 16 -2 15 -3 15 -2 15 -3 14 -2 16 -2 15 -3 15 -3 15 -3 15 -4 14 -3 14 -3 14 -3 14 -3 14 -2 15 0 0 -2 14 -2 15 -1 14 -1 14 -2 14 -1 14 -1 14 -1 15 -1 15 -1 15 0 15 -1 15 0 15 0 16 0 16 1 15 1 16 1 16 2 17 3 17 2 17 2 17 2 17 2 17 2 17 2 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,12344941,0,82,0,0,12.5292,384,[82 -96 4 0 0 0 0 0 0 0 0 0 3 -14 3 -13 4 -14 3 -13 5 -13 4 -14 6 -14 6 -13 6 -13 6 -13 6 -14 6 -14 7 -13 7 -14 7 -13 6 -14 7 -13 8 -13 7 -12 7 -13 8 -12 8 -13 8 -13 7 -12 8 -12 8 -12 0 0 7 -12 7 -13 6 -13 6 -14 5 -12 7 -13 7 -14 6 -13 5 -13 6 -14 5 -14 5 -14 4 -14 5 -14 4 -15 4 -14 5 -16 5 -15 5 -15 4 -16 5 -16 4 -17 4 -18 5 -17 3 -17 4 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,12845706,0,82,0,0,13.03,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -12 9 -14 8 -13 8 -14 8 -13 7 -15 7 -14 6 -13 5 -15 5 -14 5 -14 6 -14 5 -14 6 -15 5 -15 4 -14 4 -15 4 -14 4 -15 4 -14 3 -14 3 -14 3 -13 3 -14 4 -14 4 -14 4 0 0 -14 3 -13 4 -13 5 -12 5 -14 5 -13 4 -13 5 -13 5 -13 5 -13 6 -12 7 -13 7 -13 8 -14 6 -12 7 -13 8 -13 8 -14 8 -13 8 -14 8 -14 7 -14 9 -13 9 -13 10 -14 10 -15 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13130661,0,82,0,0,13.315,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -5 15 -5 15 -7 14 -7 14 -7 14 -7 14 -7 13 -8 14 -9 12 -9 13 -8 12 -9 13 -9 13 -9 12 -9 12 -9 13 -9 12 -9 12 -9 12 -9 11 -9 12 -9 11 -8 12 -9 11 -8 12 -8 12 0 0 -8 12 -7 12 -7 12 -7 13 -8 13 -7 11 -7 12 -7 13 -7 13 -7 12 -6 13 -6 14 -6 14 -6 14 -6 14 -5 14 -6 14 -5 15 -6 15 -5 15 -5 16 -6 16 -5 16 -5 16 -5 16 -5 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13312039,0,82,0,0,13.4963,384,[82 -96 4 0 0 0 0 0 0 0 0 0 12 6 13 7 13 7 12 7 11 7 11 8 12 9 11 9 11 9 10 10 11 9 11 10 10 9 11 9 10 8 10 9 10 10 11 9 9 9 9 9 10 9 10 8 10 9 10 9 10 9 11 9 0 0 10 9 11 9 10 7 10 9 10 8 11 7 10 8 11 7 10 7 12 7 12 7 12 7 12 6 11 7 13 7 12 6 13 7 13 6 13 6 13 6 13 7 14 7 14 6 14 6 14 7 15 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-57,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,13339140,0,37,0,0,13.5236,128,[37 80 2 0 0 0 0 0 0 0 0 0 23 -13 23 -12 25 -12 24 -11 25 -10 23 -9 25 -9 23 -7 24 -8 24 -7 25 -7 25 -7 25 -7 24 -7 23 -5 25 -7 24 -6 23 -6 23 -5 23 -6 23 -4 23 -6 22 -5 24 -6 23 -6 23 -6 0 0 23 -7 23 -7 23 -8 23 -9 22 -8 23 -8 23 -9 22 -8 21 -10 23 -9 23 -11 22 -10 23 -11 22 -11 23 -12 23 -12 24 -13 23 -13 23 -13 23 -14 24 -14 23 -15 24 -15 25 -16 24 -15 24 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-57,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,13346296,0,37,0,0,13.5305,128,[37 80 2 0 0 0 0 0 0 0 0 0 13 19 11 18 13 20 13 19 12 19 9 19 10 20 9 19 10 19 8 21 8 21 7 21 8 21 7 20 8 19 9 21 8 19 8 20 7 19 8 19 8 17 9 18 6 18 7 19 7 20 7 19 0 0 10 18 10 19 10 17 10 19 10 16 11 18 12 16 12 15 9 16 11 16 11 18 12 15 13 18 13 17 14 17 15 17 15 18 14 18 15 18 16 17 16 17 17 16 17 19 17 20 16 19 16 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,13347760,0,37,0,0,13.5362,128,[37 80 2 0 0 0 0 0 0 0 0 0 -29 18 -26 19 -56 18 -64 17 -55 15 -51 15 -54 5 -40 20 -63 11 -69 2 -85 -4 -98 1 -76 -1 -78 7 -57 9 -87 -1 -74 4 -65 13 -73 1 -70 8 -64 7 -73 4 -56 14 -83 14 -83 4 -66 0 0 0 -86 -2 -105 8 -92 5 -107 12 -69 15 -94 20 -91 0 -74 13 -97 20 -67 -4 -85 3 -59 18 -80 16 -84 5 -94 11 -95 11 -110 10 -79 17 -98 9 -80 14 -82 11 -91 23 -87 18 -101 12 -80 23 -80 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13348283,0,84,0,0,13.5423,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 12 8 11 7 12 6 11 7 12 6 12 7 13 6 12 5 12 5 13 6 13 5 13 5 12 4 13 4 11 4 13 4 13 4 13 4 12 4 12 5 13 4 12 4 13 4 12 4 13 4 13 0 0 5 12 5 12 5 12 5 12 5 12 5 12 5 12 6 12 6 11 6 12 6 12 6 12 7 12 7 11 7 12 8 12 8 13 9 12 8 13 9 12 8 13 8 12 10 13 10 14 8 13 9 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13348975,0,84,0,0,13.5474,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 11 6 12 6 13 5 13 5 14 5 13 4 13 3 13 3 13 3 13 3 13 2 14 2 14 3 13 2 14 2 14 3 13 2 13 2 13 1 13 2 13 1 13 1 13 2 13 2 13 2 13 0 0 2 13 3 13 2 12 3 13 2 13 3 13 3 13 3 12 4 13 4 13 4 14 4 13 4 14 5 13 4 13 5 14 5 13 5 13 6 14 6 14 5 15 6 15 6 15 6 14 7 15 7 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13349308,0,84,0,0,13.5525,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 -5 -14 -4 -14 -5 -14 -5 -14 -5 -14 -7 -14 -7 -13 -7 -13 -7 -14 -7 -13 -8 -13 -8 -12 -9 -12 -8 -13 -7 -12 -8 -13 -8 -12 -8 -12 -8 -12 -8 -12 -8 -12 -8 -12 -9 -12 -8 -12 -8 -12 -8 0 0 -12 -8 -12 -8 -12 -6 -12 -7 -12 -8 -13 -7 -13 -6 -13 -7 -13 -7 -13 -7 -14 -7 -14 -7 -14 -6 -13 -5 -15 -7 -14 -6 -15 -7 -14 -6 -15 -6 -16 -7 -16 -6 -16 -6 -16 -6 -16 -7 -16 -7 -16 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13349548,0,84,0,0,13.5588,384,[84 -64 4 0 0 0 0 0 0 0 0 0 1 -13 2 -13 2 -13 2 -13 2 -13 2 -13 3 -12 3 -13 4 -12 4 -13 4 -12 5 -12 5 -12 4 -12 4 -12 4 -13 4 -12 4 -12 5 -12 4 -12 4 -11 4 -12 5 -12 5 -12 4 -12 4 -12 0 0 3 -12 3 -12 4 -11 4 -13 3 -12 3 -12 3 -12 3 -13 2 -13 2 -13 2 -13 2 -13 2 -13 1 -13 1 -14 0 -14 1 -14 1 -14 1 -14 0 -15 1 -15 1 -15 1 -14 0 -15 1 -15 1 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13351483,0,84,0,0,13.5645,384,[84 -64 4 0 0 0 0 0 0 0 0 0 2 -14 3 -14 3 -15 3 -14 4 -15 4 -13 5 -14 5 -14 5 -14 6 -14 6 -13 5 -14 6 -14 6 -13 6 -13 5 -13 6 -13 6 -14 6 -13 6 -13 6 -14 5 -13 6 -13 6 -13 6 -13 6 -13 0 0 5 -14 5 -13 5 -13 4 -14 4 -13 4 -14 4 -14 4 -14 3 -14 3 -15 3 -14 3 -15 2 -14 2 -15 2 -15 2 -16 3 -16 2 -16 1 -16 1 -16 1 -17 1 -16 1 -17 2 -17 1 -18 1 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13361237,0,84,0,0,13.5702,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 -11 -8 -12 -6 -12 -6 -12 -6 -12 -5 -12 -5 -13 -4 -13 -4 -13 -4 -13 -4 -13 -4 -13 -4 -13 -4 -13 -3 -13 -3 -13 -4 -13 -4 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 0 0 -3 -13 -3 -13 -3 -12 -4 -12 -4 -12 -4 -13 -4 -12 -4 -13 -4 -13 -4 -13 -5 -12 -4 -13 -5 -13 -5 -13 -5 -13 -6 -14 -6 -13 -6 -14 -5 -14 -7 -13 -6 -15 -6 -14 -6 -14 -7 -14 -7 -15 -7 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13371043,0,84,0,0,13.5765,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -5 -13 -5 -13 -6 -12 -6 -12 -6 -12 -6 -12 -7 -12 -7 -11 -8 -12 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -9 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -9 -11 -8 -11 -8 -11 -8 0 0 -11 -8 -11 -8 -11 -7 -12 -8 -11 -7 -11 -7 -11 -7 -11 -7 -11 -7 -12 -7 -12 -7 -12 -7 -12 -6 -12 -6 -13 -6 -13 -5 -13 -7 -13 -6 -13 -6 -14 -6 -14 -6 -14 -6 -14 -6 -14 -6 -15 -6 -15 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13381357,0,84,0,0,13.5828,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -2 -13 -2 -13 -2 -14 -2 -14 -3 -13 -4 -13 -4 -13 -4 -13 -4 -13 -5 -13 -5 -13 -5 -13 -6 -13 -6 -12 -5 -12 -5 -12 -4 -12 -6 -12 -5 -12 -6 -11 -6 -13 -6 -12 -6 -12 -5 -12 -6 -12 -5 0 0 -12 -5 -12 -5 -12 -4 -12 -5 -12 -5 -13 -5 -13 -4 -13 -4 -13 -4 -13 -4 -13 -3 -14 -4 -13 -4 -14 -4 -14 -3 -13 -3 -14 -3 -15 -3 -15 -3 -15 -3 -15 -3 -15 -2 -15 -3 -15 -2 -15 -3 -16 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13391024,0,84,0,0,13.5891,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 8 -13 8 -13 8 -13 7 -14 7 -14 6 -14 6 -14 5 -14 5 -15 6 -14 5 -14 5 -14 6 -15 5 -15 4 -15 4 -14 4 -15 5 -14 3 -14 3 -14 3 -14 3 -14 4 -14 4 -14 4 -14 5 0 0 -14 4 -15 5 -14 4 -13 5 -14 5 -14 5 -14 5 -13 6 -13 5 -14 6 -13 6 -14 7 -13 7 -14 7 -14 7 -14 7 -14 8 -14 8 -14 7 -15 8 -15 8 -16 8 -15 9 -14 10 -15 9 -16 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13401172,0,84,0,0,13.5948,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 5 -11 4 -12 4 -12 4 -12 4 -12 3 -12 3 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 -12 1 -12 1 -12 2 -12 1 -12 1 -12 1 -12 1 -12 1 -11 2 -12 1 -12 1 -12 1 0 0 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 -12 3 -11 2 -12 3 -12 4 -12 4 -11 3 -13 4 -12 4 -12 4 -12 4 -13 5 -13 4 -12 4 -12 4 -13 4 -12 5 -13 6 -13 6 -13 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13414350,0,84,0,0,13.6028,384,[84 -64 4 0 0 0 0 0 0 0 0 0 11 -10 11 -9 11 -9 12 -8 12 -8 12 -7 13 -7 12 -6 13 -6 13 -6 13 -6 14 -5 13 -6 13 -5 13 -5 13 -5 13 -5 13 -5 13 -5 13 -5 13 -5 13 -5 12 -5 13 -6 13 -5 13 -6 0 0 12 -5 13 -6 12 -7 11 -6 12 -7 13 -7 12 -7 13 -7 12 -8 13 -7 12 -7 13 -8 13 -8 12 -9 12 -9 12 -9 12 -10 13 -10 12 -10 12 -10 13 -10 13 -10 13 -10 13 -11 14 -11 14 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,0,0,0,1,-98,0,6,1,13421111,0,84,0,0,13.6102,384,[84 -64 4 0 0 0 0 0 0 0 0 0 4 11 3 11 3 12 3 13 2 12 3 12 2 13 1 12 2 11 1 12 1 13 1 13 1 12 1 12 0 12 1 13 0 13 1 12 0 12 0 12 0 12 0 12 0 12 0 12 0 12 1 12 0 0 1 12 1 13 1 11 1 12 1 12 1 12 1 12 2 12 2 12 3 12 2 12 2 12 3 12 3 12 3 13 4 13 3 13 3 13 4 13 4 13 4 14 4 14 4 13 5 14 5 14 4 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,13438185,0,84,0,0,13.6227,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 15 5 14 5 15 5 14 4 15 3 15 3 15 3 15 3 16 2 15 2 15 2 15 2 15 2 15 1 15 2 16 2 15 1 15 1 14 2 15 0 15 1 14 1 15 1 15 1 15 2 15 0 0 2 14 1 15 2 14 2 15 2 14 2 14 3 14 3 14 3 15 4 16 4 16 4 16 4 16 4 15 5 16 5 16 5 16 6 16 6 16 6 16 5 16 6 17 6 17 6 18 7 17 6 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,1,0,0,1,-98,1,6,1,13441683,0,84,0,0,13.6287,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 12 -4 12 -5 12 -5 11 -5 12 -5 11 -5 12 -6 11 -6 11 -5 11 -6 11 -5 12 -6 11 -6 11 -6 10 -6 11 -6 11 -6 10 -6 10 -7 10 -7 11 -6 11 -6 10 -6 11 -6 10 -6 11 0 0 -6 11 -6 11 -6 11 -6 10 -6 11 -5 11 -5 11 -5 12 -5 11 -5 12 -4 12 -4 12 -5 12 -4 12 -4 12 -4 13 -4 13 -4 13 -4 13 -3 14 -4 14 -3 14 -3 14 -3 14 -3 15 -4 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,1,0,0,0,-98,1,6,1,13462266,0,84,0,0,13.6466,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 2 -14 1 -15 1 -15 0 -15 -1 -14 -1 -15 -2 -14 -2 -15 -2 -15 -2 -14 -2 -14 -2 -14 -2 -15 -2 -15 -3 -15 -3 -14 -3 -14 -4 -14 -3 -14 -3 -14 -4 -14 -4 -14 -4 -14 -3 -14 -3 -15 -3 0 0 -14 -3 -14 -3 -14 -2 -14 -2 -14 -2 -15 -3 -15 -3 -15 -2 -15 -2 -15 -2 -15 -1 -15 -1 -15 0 -16 0 -16 -1 -16 0 -16 0 -16 -1 -17 -1 -16 0 -17 -1 -18 -1 -18 0 -18 1 -18 0 -19 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,7,1,1,1,1,0,0,1,-98,2,6,1,13477872,0,84,0,0,13.6622,384,[84 -64 4 0 0 0 0 0 0 0 0 0 0 -14 1 -14 1 -13 2 -15 2 -13 3 -14 3 -13 3 -14 3 -13 3 -13 3 -13 3 -12 4 -13 4 -13 4 -13 4 -13 4 -12 3 -12 4 -12 4 -12 4 -12 4 -12 4 -12 4 -13 3 -12 4 -13 0 0 4 -13 4 -12 4 -13 3 -12 3 -12 3 -13 3 -13 2 -12 3 -13 2 -14 1 -14 2 -14 2 -14 2 -14 1 -15 2 -15 2 -14 2 -15 2 -15 2 -15 2 -16 2 -16 2 -16 1 -16 2 -17 2 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,1,5,1,1,1,1,0,0,0,-98,2,6,1,13492976,0,84,0,0,13.6773,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 1 13 2 13 3 13 3 13 3 12 4 13 5 12 4 12 5 12 5 12 5 13 6 12 5 12 5 12 6 11 6 11 7 11 6 11 6 12 6 11 6 11 5 11 6 11 6 11 5 11 6 0 0 11 6 12 5 11 5 11 4 11 4 12 4 12 4 12 4 12 4 13 3 13 3 13 4 13 3 14 3 13 4 13 3 14 3 14 3 15 3 15 3 15 3 16 3 15 3 16 2 16 3 16 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,1,0,0,1,-98,1,6,1,13501961,0,84,0,0,13.6863,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 3 13 4 13 5 12 4 11 5 13 5 12 6 12 6 11 7 11 6 12 7 11 6 11 7 11 7 10 7 10 7 11 8 11 7 10 8 10 7 10 7 9 7 10 8 10 8 10 7 10 7 0 0 10 8 10 7 10 6 10 7 10 7 10 6 10 6 11 6 10 7 11 7 11 7 11 6 12 6 12 6 12 7 13 6 13 6 13 6 14 7 14 6 14 7 14 6 14 6 15 7 14 7 15 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,1,7,1,1,1,1,0,0,1,-98,1,6,1,13520145,0,84,0,0,13.7045,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -8 -12 -9 -12 -10 -12 -9 -12 -10 -11 -10 -10 -10 -10 -11 -11 -10 -11 -11 -11 -11 -10 -12 -10 -11 -9 -11 -9 -10 -10 -11 -10 -11 -9 -11 -9 -10 -8 -11 -9 -11 -8 -11 -8 -11 -9 -10 -9 -10 -9 -10 0 0 -9 -10 -9 -9 -9 -10 -10 -10 -9 -10 -9 -10 -9 -9 -10 -10 -10 -9 -11 -10 -11 -9 -11 -9 -11 -9 -11 -8 -12 -8 -12 -9 -12 -8 -13 -9 -12 -9 -12 -9 -12 -9 -13 -9 -13 -9 -14 -9 -13 -9 -14 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,1,7,1,1,1,1,0,0,0,-98,1,6,1,13522310,0,84,0,0,13.7114,384,[84 -64 4 0 0 0 0 0 0 0 0 0 1 -16 1 -16 3 -17 3 -16 3 -16 3 -16 4 -16 3 -16 5 -16 5 -15 5 -16 5 -15 5 -15 5 -15 5 -14 6 -16 5 -14 5 -14 6 -14 6 -14 6 -14 5 -14 5 -14 6 -13 5 -14 5 -14 0 0 5 -13 4 -14 4 -13 4 -13 4 -13 4 -14 4 -14 3 -15 3 -14 3 -14 3 -15 2 -15 2 -15 3 -15 2 -16 1 -16 2 -16 2 -17 1 -16 0 -16 0 -18 1 -17 1 -18 1 -18 0 -19 2 -19 0 0 0 0 0 0 0 0 0 0 ]
