type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-63,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,33981,0,30,0,0,0.223924,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -34 -12 -34 -12 -33 -14 -33 -15 -32 -15 -30 -15 -29 -17 -29 -16 -28 -16 -27 -15 -28 -14 -27 -14 -26 -13 -26 -13 -25 -12 -26 -12 -24 -11 -23 -10 -23 -10 -23 -9 -23 -8 -23 -8 -22 -7 -23 -7 -22 -6 -23 -6 0 0 -22 -6 -21 -5 -20 -5 -20 -5 -18 -4 -18 -4 -17 -4 -17 -4 -16 -3 -17 -3 -16 -2 -15 -3 -15 -2 -14 -2 -13 -2 -13 -3 -12 -3 -12 -3 -12 -4 -11 -4 -11 -4 -10 -4 -10 -5 -10 -5 -8 -5 -8 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-64,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,82909,0,28,0,0,0.272646,128,[28 -64 1 0 0 0 0 0 0 0 0 0 32 16 32 18 33 17 32 19 30 19 31 18 30 18 28 19 28 19 27 18 29 18 28 17 27 16 27 16 25 17 27 16 25 15 23 15 23 14 23 13 22 12 22 13 20 11 22 11 22 10 21 10 0 0 20 10 20 9 20 8 19 8 18 8 18 8 16 7 17 7 15 6 15 5 16 6 14 7 15 6 14 5 14 5 13 6 13 5 14 5 11 6 11 5 12 6 10 6 11 6 12 5 11 6 11 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,86681,0,157,0,0,0.278727,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -33 -1 -32 -2 -32 -1 -30 -3 -32 -2 -31 -4 -30 -2 -30 -4 -28 -4 -28 -4 -30 -4 -30 -4 -27 -5 -27 -4 -26 -3 -28 -3 -25 -3 -25 -2 -25 -3 -24 -2 -24 -2 -22 -2 -22 -2 -22 -1 -21 0 -19 -1 0 0 -20 -1 -20 3 -19 0 -18 1 -17 0 -17 -1 -17 0 -16 1 -16 0 -16 1 -15 1 -15 1 -14 1 -13 1 -14 1 -14 1 -14 0 -13 0 -13 -1 -13 2 -14 1 -13 0 -13 0 -13 0 -13 1 -12 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,115432,0,135,0,0,0.305063,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -27 -4 -26 -6 -26 -6 -26 -7 -27 -6 -26 -7 -27 -8 -25 -7 -25 -7 -25 -8 -25 -8 -26 -9 -25 -7 -25 -8 -22 -9 -24 -7 -22 -7 -22 -6 -22 -6 -22 -7 -21 -6 -20 -6 -19 -7 -20 -6 -20 -5 -20 -4 0 0 -18 -4 -18 -3 -18 -3 -19 -3 -18 -4 -18 -4 -19 -4 -18 -4 -16 -3 -16 -3 -18 -3 -16 -3 -16 -2 -15 -2 -17 -3 -16 -1 -15 -2 -15 -1 -15 -2 -15 -1 -15 -2 -16 -1 -15 -1 -17 -1 -14 0 -14 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,125992,0,390,0,0,0.31546,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 20 15 20 16 20 16 20 18 20 17 19 18 18 20 18 17 19 19 17 18 18 19 17 18 17 17 15 17 16 16 18 17 16 16 16 16 16 15 15 16 14 15 15 15 14 15 15 14 14 13 13 13 0 0 14 13 15 12 14 12 15 11 14 12 14 12 14 11 14 11 13 10 14 8 13 9 13 10 14 10 13 8 14 9 14 9 13 8 13 8 13 8 13 8 14 8 12 8 14 7 13 7 13 8 12 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,145094,0,390,0,0,0.334512,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -13 -19 -15 -21 -14 -20 -14 -21 -14 -22 -13 -23 -12 -21 -13 -21 -11 -22 -12 -22 -13 -22 -12 -21 -12 -24 -13 -20 -12 -20 -12 -22 -10 -19 -10 -18 -10 -20 -12 -19 -11 -19 -10 -16 -10 -18 -9 -17 -11 -17 -10 -16 0 0 -12 -15 -10 -15 -12 -15 -11 -14 -10 -15 -11 -15 -11 -13 -11 -16 -10 -14 -10 -12 -11 -13 -10 -13 -11 -12 -10 -13 -10 -13 -11 -14 -9 -14 -11 -13 -10 -12 -10 -13 -10 -12 -9 -13 -10 -11 -11 -12 -10 -13 -10 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,165143,0,82,0,0,0.354515,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -28 1 -27 3 -28 0 -28 0 -29 -1 -27 0 -28 1 -27 0 -26 0 -28 -1 -28 -4 -27 -2 -26 -3 -26 -5 -23 -3 -27 -2 -22 -2 -22 -3 -22 -1 -21 -1 -21 -2 -21 -1 -21 -4 -19 -1 -21 -3 -19 0 0 0 -19 -3 -19 0 -17 -1 -19 -1 -17 0 -18 0 -18 -1 -16 0 -18 -2 -19 -1 -17 -1 -15 0 -18 -1 -17 -1 -17 -1 -16 -2 -18 -2 -16 -2 -16 -2 -15 -1 -16 -3 -16 -2 -15 -4 -16 -1 -15 -2 -17 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,165854,0,82,0,0,0.360906,128,[82 -96 4 0 0 0 0 0 0 0 0 0 2 20 1 26 0 28 3 29 4 26 1 28 1 29 -1 24 -1 28 -1 25 5 25 1 25 1 23 1 23 4 24 3 24 2 23 4 18 3 24 1 21 3 22 3 20 4 20 5 19 4 20 5 18 0 0 6 16 5 17 6 19 5 17 3 12 6 12 10 18 7 15 18 11 10 19 8 19 2 17 9 12 8 13 5 15 10 14 5 16 5 14 4 15 7 14 6 15 5 13 6 13 6 14 9 12 6 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,227170,0,82,0,0,0.416666,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -32 -10 -31 -10 -32 -11 -32 -11 -31 -12 -29 -12 -30 -13 -29 -14 -29 -13 -29 -13 -30 -12 -28 -13 -28 -13 -27 -13 -26 -12 -29 -12 -26 -11 -26 -11 -24 -11 -25 -11 -23 -10 -24 -9 -23 -9 -24 -9 -22 -8 -22 -8 0 0 -22 -7 -22 -6 -21 -6 -21 -5 -21 -6 -20 -5 -20 -4 -19 -5 -19 -4 -18 -4 -18 -4 -16 -4 -16 -2 -14 -3 -15 -3 -15 -3 -14 -3 -14 -3 -13 -3 -13 -3 -13 -2 -12 -2 -11 -2 -11 -2 -11 -3 -10 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,1,4,1,1,1,0,0,0,0,-98,0,6,1,627647,0,82,0,0,0.817026,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -32 -5 -33 -3 -32 -3 -30 -4 -31 -4 -30 -4 -29 -2 -30 -3 -28 -4 -27 -4 -26 -4 -27 -4 -27 -4 -25 -4 -26 -4 -26 -4 -23 -3 -22 -2 -23 -1 -23 -1 -21 -1 -20 -1 -20 -2 -19 0 -19 0 -18 -1 0 0 -18 1 -18 0 -17 -1 -17 -1 -16 -1 -16 0 -16 -1 -14 -1 -15 -2 -13 -2 -15 -3 -12 -3 -11 -3 -12 -3 -11 -5 -10 -4 -10 -3 -12 -4 -10 -6 -11 -5 -10 -6 -12 -6 -9 -7 -9 -7 -9 -7 -9 -8 0 0 0 0 0 0 0 0 0 0 ]
