type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,9347133,0,30,0,0,9.5344,128,[30 -32 1 0 0 0 0 0 0 0 0 0 22 4 21 3 22 5 24 6 23 8 22 8 23 9 21 9 22 9 21 10 22 11 22 11 21 11 21 11 20 10 23 10 22 10 21 9 21 9 22 9 22 9 23 9 22 9 24 10 24 10 23 9 0 0 24 8 25 8 25 7 26 7 24 7 24 6 24 5 24 6 25 4 25 5 27 4 25 3 26 3 26 2 27 2 28 2 30 1 29 2 30 2 29 2 31 3 30 2 31 5 32 6 30 6 30 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11818393,0,28,0,0,12.0054,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -23 -15 -23 -15 -24 -17 -23 -17 -22 -18 -20 -18 -21 -18 -19 -18 -20 -18 -20 -19 -19 -20 -20 -19 -19 -20 -18 -20 -17 -19 -19 -21 -17 -19 -17 -19 -17 -19 -17 -19 -16 -18 -17 -19 -16 -18 -17 -19 -18 -18 -17 -18 0 0 -17 -17 -18 -17 -18 -17 -18 -16 -17 -15 -18 -15 -18 -14 -18 -14 -19 -14 -19 -15 -21 -15 -20 -13 -21 -13 -21 -13 -22 -14 -23 -13 -24 -13 -23 -13 -24 -12 -24 -12 -25 -13 -26 -12 -26 -13 -27 -13 -26 -13 -26 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11821004,0,157,0,0,12.0131,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 23 -14 23 -15 24 -14 25 -13 24 -12 24 -11 25 -11 24 -9 24 -9 24 -8 26 -8 26 -8 26 -8 24 -6 24 -6 26 -7 25 -6 23 -5 24 -5 23 -5 23 -5 23 -6 22 -5 24 -6 23 -6 23 -6 0 0 22 -7 23 -7 23 -7 22 -7 22 -7 22 -8 21 -9 21 -8 20 -10 21 -9 22 -10 20 -10 21 -10 21 -11 22 -11 23 -12 22 -13 23 -13 22 -13 22 -14 23 -14 23 -14 23 -14 25 -15 23 -15 24 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,11851073,0,135,0,0,12.0379,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -6 -15 -5 -15 -4 -15 -3 -15 -4 -16 -4 -15 -3 -15 -2 -15 -3 -16 0 -15 -1 -16 -1 -15 0 -15 0 -15 0 -15 0 -15 -1 -15 0 -15 1 -15 0 -16 1 -14 1 -14 1 -14 1 -13 1 -15 0 -14 0 0 0 -13 0 -13 0 -13 -1 -13 -1 -13 -1 -14 -1 -14 -1 -13 -1 -12 -3 -14 -3 -13 -2 -13 -3 -13 -2 -13 -4 -13 -5 -13 -3 -13 -5 -14 -4 -14 -5 -15 -5 -15 -5 -14 -4 -14 -5 -14 -5 -16 -6 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-60,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11862370,0,390,0,0,12.0497,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -10 -21 -8 -21 -9 -23 -9 -23 -8 -23 -6 -22 -6 -23 -5 -22 -6 -23 -5 -23 -6 -24 -5 -24 -5 -23 -4 -23 -3 -21 -5 -24 -4 -22 -3 -22 -3 -22 -3 -22 -3 -22 -3 -22 -3 -20 -4 -21 -5 -21 -3 -21 0 0 -4 -20 -6 -21 -6 -20 -7 -22 -7 -20 -7 -20 -6 -21 -6 -20 -5 -19 -8 -20 -10 -20 -11 -16 -10 -19 -8 -17 -12 -19 -11 -22 -16 -26 -11 -20 -12 -19 -23 -22 -13 -20 -16 -27 -4 -15 -15 -17 -27 -12 -16 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,11882446,0,390,0,0,12.0691,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 18 -2 17 -1 17 0 15 0 17 1 17 2 17 2 17 3 18 3 17 2 16 4 16 4 16 4 16 4 16 4 16 5 15 5 16 5 14 4 15 4 15 4 15 5 15 6 14 4 14 4 14 4 0 0 14 4 15 3 13 3 14 3 13 2 14 2 14 2 13 2 13 1 14 1 14 1 14 0 15 0 14 0 15 0 15 -1 15 -1 14 -2 15 -1 16 -3 15 -2 15 -3 16 -4 16 -4 17 -3 16 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-61,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,11905119,0,82,0,0,12.0919,128,[82 -96 4 0 0 0 0 0 0 0 0 0 6 -25 7 -24 8 -25 8 -25 9 -24 10 -22 11 -23 11 -22 11 -22 12 -22 13 -23 13 -22 13 -22 13 -21 12 -20 13 -22 13 -21 12 -20 14 -19 13 -19 13 -19 13 -19 12 -18 13 -19 13 -19 13 -18 0 0 11 -19 11 -19 10 -20 10 -20 10 -19 10 -20 10 -19 9 -19 8 -20 9 -19 8 -20 8 -19 7 -20 7 -20 7 -22 6 -22 6 -23 5 -22 5 -23 5 -22 5 -23 4 -23 4 -24 4 -25 4 -24 4 -24 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,12361249,0,82,0,0,12.548,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 16 -7 17 -8 17 -8 17 -9 16 -10 15 -8 15 -10 14 -11 16 -10 13 -10 15 -10 15 -11 16 -11 15 -9 13 -11 13 -11 14 -8 11 -11 11 -10 13 -11 11 -10 11 -9 11 -10 13 -10 13 -10 12 0 0 -10 12 -10 11 -9 13 -8 12 -7 11 -8 11 -7 13 -6 10 -6 10 -6 13 -6 16 -8 6 -10 11 -8 14 -3 16 1 17 -12 16 -2 11 -12 13 2 7 -4 -1 -10 15 3 9 -14 34 -1 4 -2 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,12846725,0,82,0,0,13.0334,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 -4 -12 -5 -12 -5 -13 -5 -13 -5 -13 -7 -13 -8 -13 -8 -13 -8 -13 -8 -13 -8 -13 -9 -13 -8 -12 -9 -12 -9 -13 -9 -13 -10 -12 -10 -12 -9 -12 -10 -12 -9 -11 -10 -12 -10 -12 -9 -12 -9 -12 -9 0 0 -12 -9 -12 -8 -12 -8 -13 -9 -12 -8 -11 -9 -12 -8 -12 -8 -13 -7 -13 -8 -14 -7 -13 -7 -14 -6 -14 -7 -14 -7 -15 -6 -15 -6 -16 -7 -15 -6 -16 -6 -16 -6 -16 -6 -17 -6 -16 -5 -17 -6 -17 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,1,6,1,1,1,0,0,0,0,-98,0,6,1,12861965,0,82,0,0,13.0487,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 12 -5 12 -5 12 -6 12 -7 12 -6 12 -7 12 -8 11 -7 11 -7 12 -9 12 -8 11 -9 12 -10 12 -10 11 -9 11 -9 11 -10 11 -10 11 -10 11 -11 11 -10 10 -9 10 -11 11 -10 11 -8 10 0 0 -9 10 -9 10 -8 11 -8 11 -9 12 -9 11 -8 12 -8 11 -6 11 -7 11 -7 12 -7 12 -7 12 -7 13 -7 13 -6 13 -7 15 -6 14 -7 14 -7 14 -7 14 -6 15 -7 15 -6 16 -7 15 -7 16 0 0 0 0 0 0 0 0 0 0 ]
