type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-63,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,19982031,0,110,0,0,20.1944,128,[110 96 6 0 0 0 0 0 0 0 0 0 -11 20 -13 21 -14 21 -15 22 -16 19 -18 19 -18 19 -18 17 -19 17 -19 14 -19 15 -18 14 -17 13 -16 13 -15 13 -15 14 -13 13 -12 14 -11 14 -12 14 -9 13 -7 14 -7 13 -8 15 -6 17 -7 16 0 0 -5 17 -3 19 -4 18 -3 19 -1 20 -3 20 -3 20 -2 21 -3 20 -3 20 -3 23 -3 21 -2 21 -4 21 -2 21 -3 21 -3 19 -3 20 -2 18 -3 17 -2 16 -2 15 -2 14 -2 14 -2 12 -1 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-65,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,20181323,0,110,0,0,20.3936,128,[110 96 6 0 0 0 0 0 0 0 0 0 16 17 17 19 17 20 17 21 14 22 14 22 12 23 12 23 11 22 9 21 9 22 9 21 9 21 9 18 9 18 10 15 9 16 9 13 8 14 13 13 10 12 12 9 9 10 15 9 17 6 15 9 0 0 22 5 20 4 17 2 21 1 28 3 15 5 20 -2 18 12 24 8 17 4 18 2 28 3 23 -2 16 2 19 0 21 5 22 8 15 0 22 6 11 4 13 10 16 2 12 2 7 -2 14 -4 8 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-70,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,20251939,0,110,0,0,20.4642,128,[110 96 6 0 0 0 0 0 0 0 0 0 -57 -43 -71 -10 -58 -58 -69 -71 -79 -41 -66 -44 -61 -52 -61 -35 -53 -58 -50 -50 -60 -84 -41 -74 -37 -72 -40 -59 -51 -38 -46 -81 -32 -55 -51 -29 -43 -29 -47 -34 -53 -13 -58 -43 -57 -25 -58 -33 -70 -42 -53 -47 0 0 -72 -33 -82 -29 -82 -26 -94 -5 -85 -12 -92 -9 -87 -29 -84 -19 -92 -5 -88 -29 -98 -27 -83 -23 -90 -18 -81 -16 -90 -26 -92 -25 -92 -26 -84 -19 -67 -22 -74 -21 -68 -18 -66 -10 -64 -11 -63 -9 -49 -1 -53 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-73,11,1,2,1,1,1,0,0,0,0,-95,0,6,1,20271740,0,110,0,0,20.4839,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -60 -17 -57 -2 -65 2 -81 -6 -75 6 -64 8 -67 9 -64 8 -58 11 -58 18 -60 20 -51 20 -50 12 -47 11 -42 17 -52 6 -45 1 -35 5 -46 -1 -39 8 -35 3 -39 -1 -39 2 -52 -23 -58 -15 -64 0 0 -16 -59 -24 -57 -29 -59 -31 -55 -15 -59 -20 -52 -27 -63 -25 -51 -28 -57 -26 -48 -32 -60 -22 -54 -30 -58 -24 -52 -32 -55 -33 -59 -29 -65 -29 -49 -26 -47 -26 -34 -27 -47 -18 -42 -10 -33 -18 -33 -18 -23 -19 -30 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-69,11,1,2,1,1,1,0,0,0,0,-95,0,6,1,20366206,0,110,0,0,20.5786,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 7 22 8 22 9 22 12 21 11 21 13 19 14 18 14 18 15 16 15 16 14 17 14 15 13 14 11 13 11 12 11 13 10 10 10 13 6 10 6 10 4 16 0 10 2 12 4 19 -1 16 4 0 0 18 -2 12 -8 14 -2 16 -5 15 -6 18 -4 18 -2 16 -2 18 -5 20 -5 15 -7 15 -6 16 -6 11 -5 20 -10 17 -6 12 -8 12 -2 11 3 11 0 16 -7 10 -2 11 -5 8 -7 8 -5 7 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-65,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,20539775,0,110,0,0,20.7521,128,[110 96 6 0 0 0 0 0 0 0 0 0 3 -22 5 -22 5 -22 9 -24 5 -23 11 -22 10 -22 10 -20 10 -19 11 -18 11 -19 11 -19 9 -15 8 -15 7 -14 7 -15 6 -15 5 -13 5 -12 4 -13 2 -11 1 -12 0 -12 -3 -14 -3 -15 -4 -15 0 0 -5 -13 -6 -16 -6 -16 -7 -15 -6 -16 -8 -16 -8 -15 -7 -16 -15 -19 -14 -19 -11 -19 -7 -16 -7 -13 -10 -15 -8 -14 -9 -16 -8 -13 -7 -14 -8 -13 -7 -12 -7 -12 -8 -10 -7 -9 -7 -9 -7 -8 -6 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-69,11,1,2,1,1,1,0,0,0,0,-95,0,6,1,20570889,0,110,0,0,20.7832,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -17 -16 -26 -12 -21 -11 -24 -12 -23 -9 -25 -8 -25 -7 -25 -6 -25 -5 -23 -5 -22 -5 -21 -4 -20 -6 -19 -4 -17 -6 -19 -4 -17 -5 -13 -8 -13 -7 -12 -10 -14 -11 -13 -9 -10 -11 -10 -13 -16 -14 -5 0 0 -15 -5 -14 -7 -18 -8 -17 -10 -15 -11 -15 -11 -17 -8 -17 -9 -18 -10 -18 -6 -19 -7 -19 -8 -18 -8 -17 -7 -17 -8 -17 -7 -16 -8 -16 -6 -15 -6 -15 -6 -13 -5 -12 -5 -12 -4 -12 -3 -11 -2 -10 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-64,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,20769068,0,110,0,0,20.9816,128,[110 96 6 0 0 0 0 0 0 0 0 0 20 15 19 17 20 19 19 20 18 22 15 22 14 23 12 22 12 22 11 22 11 21 11 19 9 18 11 17 9 17 10 16 9 15 9 14 10 12 8 12 11 11 10 11 11 6 16 7 13 7 15 8 0 0 15 5 19 4 17 5 21 5 19 3 21 4 21 4 21 5 20 3 21 5 22 2 20 5 20 2 21 2 23 3 20 4 21 2 19 3 19 3 17 2 17 1 16 1 15 0 15 -1 14 -1 13 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-66,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,20903876,0,110,0,0,21.1162,128,[110 96 6 0 0 0 0 0 0 0 0 0 -64 -30 -61 -35 -66 -40 -64 -37 -55 -49 -49 -45 -56 -52 -47 -51 -49 -52 -40 -56 -40 -52 -36 -49 -36 -50 -35 -43 -31 -36 -35 -36 -31 -33 -34 -30 -30 -24 -33 -21 -31 -20 -34 -16 -35 -18 -36 -15 -41 -5 -42 -10 0 0 -46 -5 -50 1 -46 1 -51 3 -47 2 -49 3 -51 4 -48 2 -50 5 -49 -2 -53 6 -51 3 -45 6 -45 1 -47 9 -42 4 -42 9 -38 8 -36 8 -31 11 -29 10 -26 10 -25 12 -24 13 -19 16 -16 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-69,11,1,2,1,1,1,0,0,0,0,-95,0,6,1,21191973,0,110,0,0,21.4044,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -28 -6 -26 2 -25 3 -26 3 -25 3 -25 4 -24 6 -24 7 -23 6 -22 7 -22 8 -21 6 -20 5 -20 6 -19 4 -19 2 -19 3 -17 -3 -18 -3 -18 2 -18 -2 -18 -1 -20 -3 -19 -2 -20 -5 -19 0 0 -7 -18 -9 -18 -8 -21 -6 -20 -11 -21 -7 -21 -8 -21 -11 -21 -9 -20 -8 -20 -8 -21 -9 -19 -9 -20 -8 -20 -9 -19 -10 -20 -10 -19 -10 -17 -8 -16 -9 -17 -9 -14 -9 -14 -10 -13 -10 -12 -9 -11 -9 -11 0 0 0 0 0 0 0 0 0 0 ]
