type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,21708057,0,28,0,0,21.8682,128,[28 -64 1 0 0 0 0 0 0 0 0 0 22 8 18 10 23 15 23 14 20 16 19 10 17 13 17 15 17 17 13 14 15 15 15 13 12 16 11 18 11 19 8 21 17 19 16 21 23 19 24 18 8 11 8 8 12 4 6 9 8 15 19 16 0 0 17 13 6 17 6 20 14 19 15 19 16 15 8 11 5 13 8 5 13 17 8 13 10 13 10 14 14 15 12 15 16 13 16 15 14 15 8 16 9 15 16 16 11 12 15 16 14 15 16 14 14 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,21709092,0,157,0,0,21.8745,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 23 -5 20 -4 23 -7 26 -3 19 -4 23 -3 22 0 19 4 20 2 19 0 21 2 20 3 20 -3 19 3 15 -3 21 6 19 5 19 3 12 4 8 8 20 1 20 -3 19 -5 17 1 13 2 21 -3 0 0 21 0 20 -1 26 -4 13 0 17 -3 21 -3 15 -7 18 -3 13 -3 9 -2 19 -2 20 5 20 -2 19 0 14 -1 19 -5 14 -3 14 -2 17 -4 17 -6 17 -2 16 -7 16 -4 17 -4 16 -9 18 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,21737556,0,135,0,0,21.8976,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -15 20 -14 17 -17 17 -16 21 -16 17 -18 21 -17 14 -19 16 -22 12 -17 16 -16 13 -20 18 -20 9 -14 11 -21 11 -17 5 -8 12 -14 11 -10 13 -20 8 -15 11 -24 -1 -18 13 -18 2 -23 20 -14 10 0 0 -16 8 -7 10 -18 11 -21 11 -25 8 -21 18 -25 9 -13 18 -14 8 -12 4 -9 6 -17 9 -15 14 -18 11 -19 12 -17 15 -16 12 -14 10 -15 15 -16 13 -18 11 -16 12 -17 13 -16 14 -15 12 -17 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-73,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,21754912,0,390,0,0,21.9148,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 14 -9 14 -9 15 -8 16 -7 15 -8 15 -4 17 -5 15 -2 16 -9 15 -4 16 -3 15 -4 16 -15 13 -3 13 -5 16 -1 16 -1 14 -4 13 -2 16 -2 15 -2 16 -4 14 -2 15 -4 13 -3 8 -1 0 0 13 0 14 -2 14 -5 12 -3 10 0 10 -2 14 -3 12 -5 9 -2 11 -5 13 -3 12 -2 14 0 12 -3 11 -3 10 -7 13 -4 11 -4 12 -4 12 -3 12 -3 11 -8 14 -4 11 -4 9 -5 13 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,21785959,0,390,0,0,21.9461,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 18 6 19 6 21 4 22 3 20 3 20 4 20 2 21 0 18 0 20 3 21 0 20 0 19 0 22 -1 20 -6 19 1 14 1 9 -2 15 1 13 0 12 -5 15 4 17 -4 15 0 24 0 20 0 0 -2 13 2 19 -1 14 2 18 0 20 0 21 5 21 -1 12 -3 12 -3 14 0 13 -3 11 3 18 0 15 4 15 4 18 3 16 3 16 4 16 2 17 4 16 4 16 2 15 4 17 4 17 4 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,21831901,0,82,0,0,21.9917,128,[82 -96 4 0 0 0 0 0 0 0 0 0 1 23 -2 21 -5 23 -4 22 -6 22 -5 20 -10 17 -11 17 -6 20 -3 17 -10 21 -10 17 -13 19 -5 23 -5 16 -3 18 -7 19 -1 20 -6 18 -3 22 -2 18 -3 10 2 17 -3 18 -2 21 -5 19 0 0 1 15 -3 23 -4 19 -1 20 3 13 1 14 -4 16 3 15 8 14 3 18 4 19 3 18 -1 15 5 19 8 11 3 18 9 14 6 16 6 16 5 14 6 15 8 15 3 10 8 13 12 10 8 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,22253513,0,82,0,0,22.4135,128,[82 -96 4 0 0 0 0 0 0 0 0 0 45 -41 49 -44 49 -46 46 -40 56 -41 47 -39 52 -33 46 -29 59 -33 52 -27 64 -23 71 -28 61 -38 48 -15 51 -26 54 -29 64 -4 59 -29 49 -30 67 -31 36 -51 65 -22 41 -21 30 -39 40 -18 54 -14 0 0 45 -34 57 -20 47 -51 32 -23 29 -17 31 -50 28 -34 49 -36 51 -30 41 -53 39 -33 41 -35 51 -32 36 -38 42 -40 38 -39 38 -34 34 -31 32 -31 37 -36 35 -36 34 -37 37 -44 42 -43 33 -41 30 -39 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,22541671,0,82,0,0,22.7015,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -21 3 -23 4 -23 2 -23 2 -22 0 -23 0 -23 0 -20 -2 -22 -4 -19 -3 -22 -5 -22 -6 -22 -11 -24 -2 -16 -9 -27 -3 -15 -5 -24 -3 -18 -8 -15 -7 -18 -5 -10 -4 -16 -6 -22 -7 -19 1 -17 -6 0 0 -20 -7 -20 -4 -18 -5 -22 -2 -11 -8 -12 -4 -18 -4 -9 -2 -11 -3 -13 -3 -19 -3 -17 -7 -17 -4 -13 -2 -16 -5 -17 0 -17 -2 -15 -1 -14 1 -16 0 -17 2 -16 3 -12 3 -17 0 -17 -1 -13 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,22751884,0,82,0,0,22.9117,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -24 -2 -23 -4 -23 -4 -23 -4 -23 -4 -23 -6 -23 -5 -22 -6 -22 -5 -23 -6 -23 -4 -22 -1 -23 -4 -21 -8 -16 -7 -21 -6 -18 -7 -18 -3 -21 -6 -18 -6 -17 -6 -13 -5 -19 -1 -16 -2 -21 -8 -20 -5 0 0 -17 2 -13 -7 -18 -3 -14 -1 -13 -1 -17 2 -20 -1 -15 -1 -15 2 -14 3 -17 5 -16 2 -15 6 -14 5 -14 6 -16 4 -15 7 -15 6 -15 7 -15 8 -15 9 -13 9 -13 10 -14 11 -15 11 -14 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,23531063,0,82,0,0,23.6909,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -22 -21 -15 -22 -12 -26 -16 -23 -15 -24 -15 -22 -15 -23 -15 -22 -11 -24 -14 -25 -20 -25 -18 -21 -15 -23 -13 -21 -15 -22 -11 -25 -9 -24 -8 -28 -7 -19 -16 -23 -3 -19 -12 -15 -11 -8 -14 -25 -7 -22 -18 -27 0 0 -13 -19 -14 -9 -15 -16 -15 -14 -15 -19 -15 -17 -14 -16 -11 -16 -12 -18 -13 -15 -11 -10 -18 -9 -17 -7 -16 -11 -18 -13 -17 -6 -20 -9 -17 -8 -17 -9 -18 -7 -19 -10 -20 -4 -21 -6 -20 -5 -20 -3 -21 -4 0 0 0 0 0 0 0 0 0 0 ]
