type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,20035812,0,28,0,0,20.1967,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -21 -2 -21 -4 -22 -4 -23 -6 -22 -4 -22 -8 -20 -9 -20 -7 -19 -9 -18 -9 -19 -8 -18 -9 -22 -12 -20 -9 -21 -9 -18 -7 -17 -7 -20 -8 -16 -9 -21 -11 -19 -7 -15 -11 -15 -7 -17 -5 -16 -8 -20 -8 0 0 -18 -8 -23 -11 -16 -8 -19 -7 -20 -5 -16 -4 -17 -9 -16 -4 -17 -2 -19 -10 -19 -5 -17 -6 -20 -9 -17 -6 -19 -5 -21 -5 -21 -4 -20 -5 -21 -7 -19 -4 -21 -5 -19 -5 -21 -4 -22 -2 -21 -3 -21 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,20036163,0,157,0,0,20.2039,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -13 -19 -11 -20 -14 -23 -10 -21 -9 -23 -7 -21 -9 -24 -4 -21 -6 -22 -5 -21 -4 -25 -6 -24 -8 -21 -2 -23 -2 -20 -6 -25 -3 -25 -5 -23 -3 -20 -2 -18 -3 -19 -5 -19 -2 -23 -4 -22 -10 -26 -5 -21 0 0 -3 -19 -4 -16 0 -20 -6 -21 2 -17 -5 -22 -4 -23 -1 -20 -7 -28 -4 -24 -4 -21 -5 -20 -7 -24 -2 -21 -7 -25 -7 -21 -3 -22 -9 -22 -8 -22 -6 -21 -5 -23 -8 -22 -7 -25 -10 -23 -8 -22 -9 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,20067391,0,135,0,0,20.2281,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -26 8 -26 6 -27 6 -29 5 -28 3 -28 2 -25 1 -27 0 -26 -2 -25 2 -24 4 -26 2 -30 2 -32 2 -25 0 -28 4 -32 2 -29 -4 -25 -1 -22 4 -34 -3 -29 4 -27 -8 -34 -1 -26 -7 -25 5 0 0 -19 1 -17 0 -25 9 -26 -3 -32 5 -23 9 -30 -2 -24 -3 -23 -3 -24 -3 -20 6 -23 2 -23 12 -26 9 -24 5 -24 8 -24 6 -26 6 -25 7 -25 7 -28 6 -28 7 -24 10 -25 8 -26 11 -27 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,20123551,0,390,0,0,20.2847,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -18 10 -21 9 -21 10 -20 10 -21 8 -21 8 -23 7 -23 7 -22 4 -21 4 -24 6 -23 6 -22 4 -21 3 -22 4 -22 4 -22 4 -18 3 -21 4 -18 1 -21 3 -19 4 -20 5 -21 -1 -20 5 -20 4 0 0 -23 3 -18 2 -22 2 -18 4 -21 5 -18 3 -19 6 -18 5 -23 8 -18 8 -22 6 -19 7 -20 7 -18 7 -20 9 -21 9 -19 9 -20 9 -20 8 -19 10 -19 10 -20 11 -19 9 -21 11 -19 11 -20 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,20168255,0,82,0,0,20.3287,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -53 -41 -50 -44 -55 -48 -50 -56 -49 -49 -47 -52 -40 -60 -48 -52 -43 -54 -36 -50 -34 -62 -47 -65 -46 -55 -37 -58 -39 -51 -33 -67 -43 -53 -34 -45 -45 -56 -43 -56 -42 -50 -27 -61 -37 -39 -30 -41 -34 -40 -37 -51 0 0 -42 -44 -43 -55 -34 -58 -40 -40 -39 -38 -55 -41 -49 -40 -44 -38 -50 -43 -36 -37 -54 -51 -40 -45 -50 -39 -51 -49 -52 -42 -59 -46 -51 -40 -51 -42 -46 -37 -55 -40 -57 -39 -56 -38 -56 -35 -65 -41 -59 -32 -60 -29 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,20605751,0,82,0,0,20.7663,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 49 -10 47 -9 51 -10 51 -15 50 -15 47 -16 50 -19 49 -19 47 -21 45 -24 47 -20 44 -26 43 -23 49 -17 41 -23 45 -18 43 -15 46 -27 46 -26 45 -11 37 -14 30 -16 44 -17 43 -26 47 -19 42 0 0 -7 40 -19 61 -19 54 -10 45 -14 18 -17 45 -2 46 -6 50 1 44 -13 47 -10 44 -12 40 -5 45 -9 46 -4 45 -7 44 -3 48 -4 45 -2 50 1 49 0 51 3 50 0 50 0 48 -3 49 0 49 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,21083768,0,82,0,0,21.2444,128,[82 -96 4 0 0 0 0 0 0 0 0 0 21 3 22 4 20 5 23 4 21 5 22 7 21 6 20 8 20 9 20 8 21 9 20 8 21 8 16 9 18 9 19 9 21 11 20 5 18 8 19 8 16 8 19 10 19 5 20 7 18 2 20 11 0 0 19 4 25 6 24 7 19 8 21 4 18 6 19 5 17 1 20 3 21 4 19 3 21 2 24 4 23 3 21 0 23 1 23 0 23 2 24 1 25 0 24 2 25 2 25 0 25 1 24 -2 24 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,21862308,0,82,0,0,22.023,128,[82 -96 4 0 0 0 0 0 0 0 0 0 3 -23 4 -21 5 -21 6 -23 7 -22 7 -22 8 -20 11 -23 11 -20 7 -21 6 -18 10 -23 8 -20 7 -16 9 -18 7 -17 13 -18 6 -20 12 -16 9 -14 14 -15 13 -19 11 -18 8 -15 6 -18 6 -18 0 0 9 -22 11 -20 8 -24 5 -18 14 -19 3 -14 9 -19 1 -23 5 -20 4 -18 5 -20 6 -20 4 -18 6 -25 7 -23 8 -24 6 -25 6 -23 4 -24 4 -22 5 -24 6 -25 4 -25 5 -25 4 -24 5 -26 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,22015369,0,82,0,0,22.176,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -9 17 -10 17 -10 18 -11 17 -11 17 -13 16 -12 16 -13 15 -13 15 -14 14 -14 14 -16 15 -15 14 -14 13 -14 13 -16 15 -15 14 -13 13 -14 14 -13 13 -14 13 -14 13 -15 14 -16 12 -14 17 -15 13 0 0 -15 14 -15 16 -12 13 -12 15 -13 14 -16 16 -12 16 -9 15 -13 16 -13 18 -12 16 -11 15 -14 18 -12 16 -12 17 -11 17 -13 19 -11 17 -11 19 -11 19 -11 19 -12 19 -11 21 -11 19 -12 21 -12 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,22037360,0,37,0,0,22.1979,128,[37 80 2 0 0 0 0 0 0 0 0 0 0 15 2 16 1 18 2 17 3 17 1 16 0 18 0 16 -2 18 -2 14 -5 15 1 16 -1 17 -1 16 1 17 2 19 1 16 -2 14 -2 20 -2 12 0 18 -4 15 5 15 2 15 -1 12 0 14 0 0 3 15 -2 21 -7 6 -2 14 -4 12 7 15 6 21 0 13 4 15 5 15 6 15 6 18 7 19 7 18 5 14 5 16 9 17 9 15 8 17 11 17 9 16 10 15 11 16 12 16 12 15 12 16 0 0 0 0 0 0 0 0 0 0 ]
