type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,F4:7B:09:52:83:7A,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,6468608,0,127,0,0,6.62878,128,[127 -16 7 0 0 0 0 0 0 0 0 0 16 4 15 2 15 0 17 -1 15 -3 14 -3 16 -5 14 -4 20 -6 19 -3 21 -5 23 -6 23 -3 24 -8 22 -5 25 -7 23 -8 22 -6 23 -9 25 -10 23 -8 25 -9 24 -7 25 -8 26 -6 25 -1 0 0 25 -4 24 -3 22 -6 22 -2 20 -3 20 -5 21 -6 22 -6 22 -7 20 -6 18 -4 19 -7 19 -3 19 -2 17 -3 16 -3 13 -3 13 -3 11 -1 9 -2 10 -3 8 -2 8 -4 7 -3 5 -3 6 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7020726,0,28,0,0,7.18066,128,[28 -64 1 0 0 0 0 0 0 0 0 0 17 14 15 14 17 16 16 17 16 16 15 16 16 18 14 19 15 19 14 20 15 22 12 23 13 23 12 21 11 22 13 22 13 22 11 24 9 22 10 22 9 20 9 20 9 20 8 20 7 19 8 19 0 0 10 17 9 17 11 18 10 18 9 14 8 14 12 13 10 11 10 13 10 12 13 11 12 10 12 9 13 9 14 9 16 7 14 8 16 7 16 7 16 4 18 5 19 4 20 5 20 4 20 3 20 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7021107,0,157,0,0,7.18673,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 10 16 6 21 10 22 12 22 8 21 6 25 7 23 7 26 7 24 4 18 5 24 4 28 6 25 5 27 6 26 1 26 3 26 2 24 6 26 2 22 4 22 5 21 2 21 2 24 6 21 5 21 0 0 6 19 3 18 3 19 6 14 8 18 8 22 7 15 8 13 4 26 -1 13 7 9 9 12 12 12 14 15 8 13 11 14 13 8 13 9 15 9 15 8 17 7 16 6 16 6 19 7 19 6 22 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7050690,0,135,0,0,7.21055,128,[-121 112 8 0 0 0 0 0 0 0 0 0 7 19 5 19 7 20 4 23 6 20 3 23 3 22 -1 19 0 24 0 23 0 25 0 23 -4 22 0 23 -1 22 -1 23 -1 23 -2 22 -2 22 -3 21 -5 19 -2 20 -3 18 -5 18 -3 19 -4 20 0 0 -1 19 -1 19 1 21 1 20 2 18 3 19 2 19 1 17 3 17 1 17 3 18 4 15 6 16 5 17 7 17 8 18 9 17 10 18 10 17 11 17 11 18 12 17 12 18 14 19 14 19 14 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7063719,0,390,0,0,7.22345,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 11 1 12 5 13 1 9 5 10 5 12 4 12 6 12 5 13 8 10 6 11 7 10 7 11 7 10 7 10 7 9 6 12 7 11 8 10 7 15 10 10 7 9 7 11 6 11 8 9 7 9 8 0 0 9 6 10 4 9 6 8 5 11 4 9 3 11 2 9 3 11 0 8 2 11 1 9 2 9 3 11 0 11 -1 10 -1 12 -2 12 -3 13 -2 12 -4 12 -2 13 -4 13 -2 14 -3 14 -4 14 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7086996,0,390,0,0,7.24708,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 0 19 -1 19 -1 20 -2 23 -2 21 -4 23 -7 23 -3 22 -5 21 -7 20 -7 22 -9 24 -9 22 -9 23 -10 22 -12 22 -12 22 -12 21 -12 19 -13 20 -14 17 -13 21 -14 20 -16 18 -11 19 -10 20 0 0 -14 19 -10 17 -11 19 -12 15 -9 20 -9 18 -11 17 -8 16 -5 16 -6 18 -9 20 -5 20 -5 20 -5 19 -4 21 -5 21 0 19 -2 18 -3 20 -9 22 -3 22 -4 24 -3 16 -2 27 1 19 -1 27 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7117466,0,82,0,0,7.27707,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -11 14 -13 13 -11 8 -19 12 -8 11 -15 12 -22 13 -16 18 -20 11 -21 12 -20 12 -22 16 -21 6 -23 11 -18 8 -23 8 -24 9 -21 3 -25 4 -18 9 -25 3 -24 5 -19 2 -22 2 -21 3 -23 2 0 0 -20 5 -20 2 -22 3 -20 4 -20 3 -19 3 -20 4 -18 2 -18 2 -16 3 -14 5 -13 4 -16 6 -13 9 -13 7 -12 10 -11 13 -10 10 -12 14 -12 15 -12 18 -12 15 -13 17 -10 18 -12 21 -11 22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7562974,0,82,0,0,7.72267,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -2 -15 -1 -16 -6 -16 -3 -15 -3 -17 -5 -15 -2 -18 -4 -15 -1 -19 -6 -17 -4 -18 -6 -19 -5 -18 -6 -20 -5 -19 -3 -16 -4 -18 -4 -17 -2 -19 -4 -17 -3 -17 -4 -19 -4 -15 -4 -16 -2 -17 -1 -17 0 0 -4 -17 -3 -15 -3 -14 -1 -14 -3 -12 -1 -15 -3 -11 -2 -12 -2 -10 -3 -10 -1 -11 -3 -7 -2 -7 -2 -6 -2 -6 -2 -5 -1 -4 -1 -3 0 -2 -3 0 -1 -1 -2 0 -1 1 -3 2 0 3 -1 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-77,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7766200,0,82,0,0,7.92589,128,[82 -96 4 0 0 0 0 0 0 0 0 0 12 -10 16 -4 14 -5 11 -6 14 -12 16 -6 19 -5 18 -9 18 -7 19 -8 20 -9 20 -7 18 -9 19 -15 22 -17 20 -17 18 -17 24 -15 22 -12 22 -14 21 -10 19 -15 21 -17 20 -14 23 -17 27 -16 0 0 21 -13 23 -19 19 -23 19 -18 18 -14 20 -17 17 -12 17 -14 18 -14 18 -14 16 -14 17 -14 17 -12 15 -14 16 -10 14 -12 11 -9 10 -7 11 -8 9 -8 10 -5 7 -6 7 -5 9 -2 5 -3 4 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8064970,0,82,0,0,8.2247,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -2 -5 -1 -7 0 -4 0 -4 -1 -4 0 -3 2 -3 3 -3 3 -2 3 -2 3 -1 5 -2 7 -1 7 0 7 0 8 0 7 1 9 2 11 0 12 1 11 2 12 0 10 1 12 2 12 1 13 1 0 0 15 1 14 1 14 0 14 0 15 1 16 0 17 0 16 0 17 -2 17 0 18 -2 17 -2 18 -2 18 -2 19 -2 19 -1 18 -2 18 -5 19 -1 17 -3 19 -3 18 -1 19 -3 21 -2 18 -6 19 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8768494,0,82,0,0,8.92821,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 24 -4 24 -6 23 -5 25 -9 26 -8 23 -9 26 -10 22 -9 24 -10 25 -11 25 -11 23 -9 23 -12 24 -12 22 -12 22 -11 22 -12 17 -12 17 -11 16 -8 16 -11 15 -9 14 -10 14 -6 14 -6 9 0 0 -1 9 0 7 -2 8 0 8 0 7 2 4 3 4 4 4 5 1 7 1 8 1 9 -1 12 -2 13 -3 15 -6 15 -5 18 -8 16 -8 20 -9 19 -9 21 -10 21 -12 24 -13 26 -14 25 -16 28 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8905227,0,82,0,0,9.06502,128,[82 -96 4 0 0 0 0 0 0 0 0 0 1 6 0 7 1 6 0 8 0 7 0 7 -1 7 1 9 0 6 -2 8 -2 8 -2 8 -3 8 -4 8 -3 8 -4 7 -3 9 -3 8 -4 8 -4 8 -3 6 -4 7 -3 6 -3 7 -4 6 -4 6 0 0 -4 5 -4 5 -3 5 -2 6 -2 5 -3 5 -2 4 -1 5 -1 5 -2 4 -1 4 0 3 0 3 1 2 0 3 1 3 2 3 2 3 3 3 3 3 3 3 4 3 4 3 5 2 5 3 6 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8931212,0,37,0,0,9.09092,128,[37 80 2 0 0 0 0 0 0 0 0 0 4 21 4 20 5 24 4 23 3 25 2 21 3 24 1 24 2 25 0 25 -3 25 -3 25 -7 27 -6 26 -4 25 -5 26 -2 21 -3 27 -5 21 -2 22 -4 24 -4 24 -5 19 -8 17 -3 21 -6 17 0 0 -1 16 -1 15 -1 18 -1 17 0 15 0 14 4 12 2 13 4 12 3 11 5 9 5 9 5 11 6 8 10 8 10 6 13 7 13 6 14 5 16 4 16 5 18 3 19 3 20 3 20 3 21 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8941343,0,37,0,0,9.1007,128,[37 80 2 0 0 0 0 0 0 0 0 0 -21 -9 -21 -15 -23 -13 -23 -15 -21 -16 -22 -14 -22 -18 -20 -16 -21 -17 -20 -18 -20 -19 -20 -18 -19 -19 -19 -20 -17 -22 -19 -21 -16 -22 -17 -19 -14 -21 -15 -22 -13 -18 -13 -18 -14 -19 -14 -18 -13 -19 -11 -16 0 0 -12 -14 -11 -15 -12 -14 -14 -12 -12 -13 -12 -10 -10 -9 -12 -8 -12 -7 -13 -7 -13 -7 -14 -4 -13 -3 -14 -2 -16 -1 -16 0 -16 2 -16 2 -18 3 -17 3 -18 5 -19 6 -20 6 -21 7 -19 9 -20 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8958531,0,84,0,0,9.11811,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 -13 -4 -15 -5 -16 -4 -15 -2 -16 -4 -18 -1 -17 -1 -17 0 -15 0 -17 -1 -16 -1 -16 0 -16 2 -16 2 -16 4 -16 4 -16 3 -16 4 -14 4 -17 2 -14 4 -12 2 -12 2 -11 2 -13 3 -13 0 0 3 -11 4 -11 2 -11 0 -11 1 -8 2 -10 1 -11 0 -8 0 -11 -3 -9 -2 -10 -4 -8 -5 -6 -4 -9 -4 -8 -6 -6 -5 -7 -7 -8 -8 -8 -8 -8 -9 -8 -8 -9 -9 -7 -11 -7 -11 -8 -12 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8969985,0,84,0,0,9.12953,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -6 16 -4 14 -5 16 -5 14 -6 15 -4 15 -1 18 -3 18 -2 16 -1 16 0 17 -1 18 -1 16 0 16 2 16 0 16 2 14 1 16 2 15 3 14 3 13 3 14 1 12 2 12 1 11 2 0 0 11 1 10 0 13 0 9 0 11 0 8 0 9 -1 9 -2 7 -2 8 -3 7 -3 7 -4 8 -3 8 -5 7 -6 5 -7 6 -8 6 -7 6 -9 5 -8 5 -9 7 -9 5 -11 6 -11 3 -13 4 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8973624,0,84,0,0,9.13541,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 -17 0 -16 1 -17 0 -17 2 -17 1 -17 0 -18 2 -19 1 -17 4 -17 3 -18 4 -17 5 -17 5 -19 7 -17 6 -15 5 -17 5 -15 6 -14 6 -14 7 -13 6 -14 6 -14 6 -13 7 -12 6 -13 0 0 5 -12 2 -11 1 -13 3 -11 4 -10 1 -10 4 -11 1 -9 0 -10 -1 -10 -3 -8 -2 -10 -3 -9 -3 -9 -5 -10 -6 -10 -6 -8 -8 -10 -7 -8 -8 -8 -8 -8 -9 -9 -10 -9 -11 -8 -11 -9 -11 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8979112,0,84,0,0,9.14215,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 -13 6 -12 8 -13 8 -14 8 -12 11 -14 10 -10 9 -10 11 -11 10 -11 11 -12 10 -11 13 -11 12 -10 14 -9 13 -9 13 -8 11 -8 10 -10 12 -7 9 -7 11 -6 12 -5 11 -6 12 -6 12 -8 0 0 9 -7 7 -6 15 -6 8 -8 8 -7 7 -6 8 -5 7 -8 5 -8 4 -7 3 -8 4 -8 4 -7 3 -9 1 -8 2 -10 1 -8 2 -10 1 -9 0 -10 1 -10 1 -10 0 -10 -1 -12 -2 -11 -2 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8988110,0,84,0,0,9.14888,128,[84 -64 4 0 0 0 0 0 0 0 0 0 4 14 3 12 4 12 4 12 2 14 2 14 1 14 0 14 1 14 0 14 0 15 -1 15 0 14 -1 14 -1 14 -1 15 -1 14 -2 13 -2 13 -3 13 -3 12 -2 11 -2 11 -2 12 -2 11 -2 10 0 0 -1 10 -1 10 -1 10 0 9 0 8 0 8 0 8 1 7 1 7 1 6 1 7 2 6 2 6 3 6 4 5 4 5 5 5 5 4 5 5 6 3 8 4 7 4 8 4 9 3 8 3 9 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8994117,0,84,0,0,9.15499,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -6 14 -6 15 -6 16 -7 14 -6 16 -6 17 -5 16 -4 16 -4 17 -3 17 -4 19 -2 17 -2 18 -1 17 -1 18 -1 16 -1 16 -1 16 1 16 2 15 0 14 1 13 -1 14 1 14 1 12 0 0 0 11 -1 11 1 12 0 11 -1 11 0 11 0 8 -2 9 -2 9 -4 7 -4 7 -4 6 -5 6 -6 6 -6 5 -7 5 -8 5 -7 5 -9 4 -8 4 -10 3 -10 3 -9 3 -11 2 -10 1 -10 0 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9001150,0,84,0,0,9.16142,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 20 -9 19 -10 21 -6 16 -9 18 -6 17 -7 15 -11 17 -14 16 -12 15 -13 16 -12 17 -13 13 -12 15 -11 16 -13 16 -15 17 -12 13 -14 16 -13 15 -13 13 -12 10 -13 11 -11 11 -11 10 -10 12 0 0 -8 12 -9 10 -10 12 -6 9 -8 11 -6 10 -4 10 -6 9 -3 8 -5 8 -2 11 -5 8 -1 8 0 10 0 8 0 9 3 8 4 9 4 9 5 9 6 8 6 9 6 9 7 9 8 10 9 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9006899,0,84,0,0,9.16799,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 -9 -19 -7 -17 -9 -17 -11 -18 -7 -22 -12 -19 -9 -17 -12 -14 -12 -17 -13 -18 -12 -18 -12 -17 -13 -15 -14 -16 -15 -18 -16 -16 -16 -15 -13 -15 -12 -12 -17 -15 -16 -13 -16 -8 -11 -14 -13 -10 -11 -11 -12 0 0 -11 -9 -11 -8 -12 -10 -10 -11 -8 -9 -10 -7 -11 -8 -9 -7 -11 -5 -10 -5 -10 -4 -11 -1 -11 -2 -10 -2 -10 -3 -10 1 -9 1 -9 3 -11 2 -9 3 -11 5 -11 5 -9 6 -10 8 -10 7 -9 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9057645,0,84,0,0,9.2174,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -45 -16 -42 -29 -61 -46 -59 -52 -53 -41 -60 -49 -63 -69 -43 -48 -58 -63 -46 -61 -64 -69 -52 -80 -53 -77 -57 -74 -58 -55 -60 -85 -46 -84 -54 -51 -45 -57 -43 -67 -43 -55 -38 -66 -46 -51 -47 -66 -56 -66 -52 -73 0 0 -59 -59 -54 -56 -56 -53 -56 -45 -54 -44 -51 -36 -53 -41 -52 -34 -53 -25 -33 -36 -43 -35 -37 -22 -56 -12 -48 -29 -40 -25 -43 -18 -46 -15 -47 -12 -39 -1 -51 0 -43 2 -51 9 -45 7 -54 6 -52 21 -56 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9072161,0,84,0,0,9.23169,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -10 9 -9 11 -10 11 -10 13 -10 13 -8 15 -10 15 -9 14 -9 14 -9 14 -10 14 -8 15 -6 13 -4 14 -4 14 -6 16 -6 15 -6 13 -5 15 -5 14 -3 16 -4 13 -3 14 -4 13 -5 13 -5 0 0 12 -5 10 -4 11 -5 8 -3 9 -5 8 -6 6 -5 6 -5 7 -4 7 -5 5 -6 6 -4 4 -6 4 -8 2 -7 2 -8 1 -7 0 -8 1 -9 1 -10 -1 -9 -1 -9 -1 -10 -3 -11 -4 -11 -4 -10 0 0 0 0 0 0 0 0 0 0 ]
