type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,6663180,0,28,0,0,6.82322,128,[28 -64 1 0 0 0 0 0 0 0 0 0 5 7 4 8 6 9 4 8 3 9 2 8 3 9 2 8 3 9 3 10 2 11 2 11 2 11 2 11 1 10 1 12 0 11 2 11 1 10 0 10 0 9 -1 11 0 10 0 10 0 10 0 9 0 0 0 9 0 10 0 9 1 10 -1 9 0 8 0 8 0 8 0 8 2 8 1 8 2 7 2 8 2 8 1 9 2 8 3 8 3 8 3 8 4 8 4 9 4 8 4 9 5 9 6 9 6 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,6663657,0,157,0,0,6.82872,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -18 1 -15 1 -16 0 -18 0 -17 -3 -18 -3 -19 -3 -18 -4 -18 -4 -18 -3 -18 -4 -18 -5 -19 -3 -18 -4 -18 -7 -19 -8 -19 -9 -16 -7 -17 -8 -17 -8 -16 -9 -14 -9 -18 -6 -16 -8 -17 -9 -16 -8 0 0 -16 -8 -15 -9 -19 -8 -15 -6 -18 -9 -12 -5 -16 -9 -18 -6 -12 2 -18 -10 -18 -10 -14 -5 -13 -2 -15 -4 -15 -3 -18 -1 -14 -3 -16 -1 -18 -3 -17 1 -17 0 -19 -1 -18 2 -19 -1 -17 0 -20 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,6693340,0,135,0,0,6.85324,128,[-121 112 8 0 0 0 0 0 0 0 0 0 19 -13 17 -15 18 -16 17 -13 19 -14 20 -15 21 -11 20 -14 17 -13 20 -11 22 -11 20 -14 25 -10 23 -11 22 -11 23 -13 24 -11 21 -10 24 -7 23 -9 24 -7 23 -8 22 -8 22 -8 25 -6 22 -5 0 0 21 -6 23 -7 22 -8 22 -5 19 -6 20 -6 19 -7 19 -8 18 -10 18 -7 20 -9 17 -9 17 -7 16 -9 19 -10 19 -10 16 -12 16 -12 16 -16 16 -13 16 -14 16 -16 17 -16 16 -16 17 -22 16 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,6713104,0,390,0,0,6.87285,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -13 -9 -12 -10 -12 -9 -11 -7 -14 -13 -9 -9 -12 -7 -12 -9 -12 -11 -13 -12 -12 -11 -15 -13 -15 -12 -15 -13 -12 -13 -15 -17 -13 -15 -12 -18 -13 -15 -13 -17 -12 -14 -11 -18 -11 -14 -8 -16 -11 -14 -11 -15 0 0 -6 -12 -11 -18 -5 -11 -8 -11 -7 -14 -10 -12 -5 -13 -12 -14 -8 -12 -10 -13 -9 -12 -10 -14 -8 -8 -10 -8 -8 -5 -11 -10 -8 -11 -10 -4 -10 -7 -14 -9 -14 -5 -15 -4 -13 -4 -13 -2 -12 -6 -16 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,6748044,0,390,0,0,6.90762,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -16 -1 -17 -6 -12 1 -14 -3 -14 -5 -17 -2 -15 -2 -14 -4 -16 -7 -20 -4 -16 -6 -15 -5 -15 -8 -14 -4 -14 -6 -16 -9 -12 -7 -12 -9 -16 -6 -12 -11 -16 -8 -15 -7 -15 -9 -15 -8 -12 -7 -11 -7 0 0 -13 -8 -12 -11 -12 -9 -10 -7 -9 -4 -11 -10 -11 -5 -10 -4 -9 -5 -13 -4 -9 -4 -12 0 -10 0 -13 -2 -8 0 -9 -1 -9 0 -10 -1 -13 2 -11 1 -11 1 -8 3 -11 5 -12 5 -11 5 -13 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,6787355,0,82,0,0,6.94705,128,[82 -96 4 0 0 0 0 0 0 0 0 0 21 7 21 6 22 9 20 9 20 9 19 9 20 13 19 8 19 13 18 12 19 13 19 14 18 15 18 14 16 14 19 14 16 14 16 15 16 14 17 14 14 13 17 12 17 15 17 15 17 15 15 14 0 0 15 12 15 13 16 12 15 10 15 11 14 10 15 9 16 11 15 10 15 9 15 9 15 5 15 7 16 5 16 7 17 5 18 5 18 4 19 3 18 4 20 3 19 3 21 1 21 1 21 1 21 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-80,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7216978,0,82,0,0,7.37664,384,[82 -96 4 0 0 0 0 0 0 0 0 0 12 -13 14 -8 15 -12 15 -12 15 -10 18 -9 16 -11 18 -7 19 -7 17 -9 16 -5 18 -7 19 -12 16 -5 18 -7 19 -8 20 -9 17 -6 18 -10 18 -7 12 -10 16 -8 17 -10 15 -4 11 -7 12 -5 0 0 8 -7 9 -8 5 -7 10 -9 6 -6 6 -7 5 -6 3 -7 2 -7 4 -5 0 -7 2 -4 -2 -2 -1 -7 -1 -3 -3 -6 -4 -3 -6 -3 -7 -6 -5 -4 -6 -4 -9 -3 -10 0 -11 -2 -10 -2 -12 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7704942,0,82,0,0,7.86466,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 -2 -8 -1 -7 1 -5 0 -6 3 -4 4 -4 3 -2 5 -4 8 0 9 -3 8 -2 10 0 9 0 11 0 14 0 16 -2 16 0 16 -1 20 0 20 0 19 -1 20 0 21 -2 22 -2 25 -2 24 0 0 -1 26 -3 26 -2 29 -2 27 -3 28 -2 28 -1 28 -3 28 -1 27 -2 28 -3 30 -3 29 -1 30 -4 31 -5 29 -3 30 -4 29 -4 29 -4 27 -3 27 -5 27 -4 27 -4 25 -5 26 -4 25 -4 22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8486554,0,82,0,0,8.6463,128,[82 -96 4 0 0 0 0 0 0 0 0 0 25 73 30 64 22 71 20 77 21 70 12 61 13 53 15 45 13 52 23 38 17 50 17 54 24 46 9 45 14 36 16 47 23 26 22 36 26 25 24 23 30 24 34 28 31 18 30 19 40 37 30 25 0 0 49 23 57 22 63 17 68 27 60 12 63 20 71 28 60 33 73 26 69 18 85 34 66 22 79 38 80 23 91 26 86 32 100 35 81 29 86 40 84 32 91 32 81 35 81 41 86 47 80 40 83 41 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-79,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8614167,0,82,0,0,8.77386,128,[82 -96 4 0 0 0 0 0 0 0 0 0 4 8 1 7 3 7 2 4 3 4 1 6 1 2 -3 3 1 3 -3 5 -4 4 -4 6 -4 3 -3 4 -3 4 -8 4 -5 5 -5 7 -10 4 -7 3 -6 5 -5 6 -8 7 -5 5 -5 8 -6 6 0 0 -5 7 -5 8 -8 8 -6 9 -4 9 -5 9 -6 8 -6 8 -2 7 -5 7 -2 11 -4 7 -3 11 -3 9 -3 9 -4 9 -3 9 -4 8 -3 10 -4 8 -1 10 -5 10 -4 7 -7 10 -2 6 -1 9 0 0 0 0 0 0 0 0 0 0 ]
