type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7681765,0,28,0,0,7.8426,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -6 4 -6 4 -8 2 -8 3 -7 3 -8 3 -5 5 -7 3 -8 3 -8 3 -7 3 -8 3 -8 3 -8 3 -7 1 -9 3 -8 2 -8 0 -7 1 -8 1 -6 1 -6 1 -6 1 -6 1 -6 2 -5 1 0 0 -5 0 -4 2 -4 2 -6 1 -5 1 -5 2 -3 2 -4 0 -1 2 -3 3 -2 3 0 2 0 3 1 3 0 3 1 5 2 3 2 3 3 5 2 4 4 4 2 6 3 4 4 5 3 5 3 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7682202,0,28,0,0,7.84828,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -7 0 -7 0 -6 1 -9 1 -7 -1 -7 0 -8 1 -8 1 -9 -2 -9 0 -9 0 -7 0 -7 -3 -10 0 -8 -1 -7 -2 -8 -2 -7 -1 -7 -2 -7 -2 -6 -3 -9 0 -5 -3 -6 -3 -8 -1 -6 0 0 0 -6 -2 -5 -2 -5 -2 -4 0 -4 -1 -6 1 -4 -1 1 1 -11 0 -4 -3 -2 -4 -4 1 -4 4 -3 4 -2 3 -2 5 -1 5 -1 5 0 5 -1 4 -1 5 -1 6 0 6 0 7 1 6 0 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7682722,0,28,0,0,7.85351,128,[28 -64 1 0 0 0 0 0 0 0 0 0 6 1 5 0 4 1 5 -1 8 -1 6 -1 6 0 6 0 6 0 8 1 7 1 7 2 6 3 6 2 5 2 4 3 4 3 5 4 6 2 5 2 5 2 5 1 5 2 5 2 4 3 4 2 0 0 4 0 4 1 3 0 3 0 4 1 2 0 1 -2 1 -1 0 -5 3 -5 2 -6 -2 -1 3 -1 2 -1 0 -4 2 -3 2 -4 3 -5 2 -4 2 -6 2 -6 0 -5 2 -6 4 -6 3 -6 2 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7683328,0,28,0,0,7.85825,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -9 9 -9 8 -13 9 -13 14 -7 8 -13 10 -11 10 -11 7 -12 6 -13 7 -14 10 -13 7 -15 7 -13 6 -11 5 -17 1 -15 6 -13 2 -12 0 -13 4 -12 2 -10 2 -10 2 -11 -1 -12 2 -10 1 0 0 -8 2 -8 0 -10 1 -9 -1 -7 1 -6 1 -6 -2 0 4 -19 4 -8 7 -2 4 -2 4 -3 4 -3 5 -1 5 -2 7 -1 7 -1 9 -1 9 -2 8 -1 9 -3 10 -2 11 -3 12 -2 12 -1 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7687716,0,157,0,0,7.86369,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -20 -2 -21 -1 -25 -3 -23 -2 -24 -4 -23 -4 -24 -5 -24 -7 -26 -4 -23 -6 -25 -11 -26 -9 -23 -8 -24 -11 -24 -11 -24 -7 -20 -12 -23 -14 -21 -9 -21 -10 -19 -12 -18 -9 -17 -9 -20 -10 -16 -11 -15 -9 0 0 -15 -9 -11 -6 -14 -6 -12 -3 -12 -4 -7 -3 -11 -2 -10 -1 -9 1 -10 4 -8 3 -7 5 -5 7 -6 6 -5 8 -7 10 -8 13 -4 13 -3 16 -4 15 -4 19 -4 20 -4 20 -4 23 -6 22 -5 23 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7735047,0,135,0,0,7.89573,128,[-121 112 8 0 0 0 0 0 0 0 0 0 23 -2 25 -1 25 1 26 2 23 1 28 3 26 6 28 3 25 6 25 4 26 6 26 6 24 7 24 9 25 11 20 11 22 13 17 9 20 13 18 11 17 13 17 11 16 7 18 10 16 8 15 8 0 0 13 6 8 7 15 14 14 3 16 8 13 6 14 4 15 1 13 1 13 -2 14 -5 13 -4 11 -5 14 -3 14 -5 20 -7 14 -9 24 -12 16 -5 17 -9 21 -5 18 -12 16 -8 28 -12 18 -13 28 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-77,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,7745559,0,390,0,0,7.90614,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 26 0 34 6 36 9 33 22 33 21 33 13 37 10 34 7 26 14 28 17 30 22 19 30 25 30 26 21 23 29 30 35 28 22 26 10 8 23 24 28 9 19 15 22 21 25 16 26 11 26 10 19 0 0 20 12 32 24 13 17 20 16 23 15 29 23 22 19 22 13 16 8 26 -6 24 -3 21 1 24 2 24 -3 15 -17 26 -14 28 -13 27 -24 25 -22 23 -23 26 -24 29 -22 32 -21 36 -27 27 -24 35 -34 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,7769751,0,390,0,0,7.93015,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -6 -15 -4 -14 -4 -13 -3 -13 -2 -13 -2 -14 -1 -14 -1 -14 -1 -15 -1 -13 0 -14 1 -14 -1 -14 0 -15 0 -14 0 -14 1 -15 0 -12 1 -13 1 -12 1 -12 1 -12 0 -12 1 -12 -1 -11 0 -12 0 0 -1 -11 0 -10 -1 -10 -2 -10 -2 -11 -3 -11 -3 -11 -4 -10 -3 -11 -5 -11 -4 -11 -4 -11 -7 -11 -6 -11 -5 -11 -7 -11 -7 -10 -8 -12 -8 -12 -9 -12 -8 -13 -8 -13 -9 -13 -10 -13 -9 -14 -10 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-73,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,7793240,0,82,0,0,7.95365,384,[82 -96 4 0 0 0 0 0 0 0 0 0 9 10 5 9 5 11 6 11 6 12 6 13 1 12 3 12 3 13 2 12 3 12 2 11 1 12 1 12 2 10 -1 9 -3 13 -3 10 -4 10 -5 10 -3 9 -3 10 -3 11 -3 10 -4 8 -4 10 0 0 -4 8 -4 9 -4 9 -3 7 -5 5 1 7 -4 10 -5 9 -9 7 -3 27 0 12 -2 9 1 10 0 7 0 12 1 11 -4 11 -2 12 -2 11 -2 11 -3 10 -3 10 -3 12 -3 10 -3 12 -5 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,7795614,0,82,0,0,7.9593,384,[82 -96 4 0 0 0 0 0 0 0 0 0 4 -16 3 -15 6 -16 6 -15 6 -16 6 -15 7 -16 8 -15 7 -14 8 -13 9 -14 9 -14 9 -13 9 -13 7 -10 9 -12 9 -13 9 -12 11 -12 7 -11 9 -9 10 -11 8 -11 8 -9 8 -10 7 -11 0 0 6 -10 6 -10 6 -9 5 -10 4 -11 5 -10 4 -11 4 -10 3 -11 3 -11 2 -13 2 -11 1 -11 2 -12 1 -13 -1 -14 0 -13 0 -14 0 -15 -1 -15 -1 -15 -1 -15 -1 -16 -2 -17 -2 -17 -2 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-77,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8245468,0,82,0,0,8.40587,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 -3 6 0 8 -2 7 -1 8 -2 8 -1 8 -1 8 0 9 0 8 2 9 0 10 2 10 2 10 2 8 1 8 1 10 2 8 1 10 2 8 3 8 2 6 1 7 1 8 3 7 3 7 2 0 0 6 1 5 1 7 0 6 0 7 1 6 0 5 0 5 -1 5 -1 6 -1 6 -2 5 -1 6 -2 6 -2 7 -4 6 -1 7 -5 6 -4 5 -5 7 -5 7 -6 7 -5 7 -6 7 -6 6 -6 7 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,8513049,0,82,0,0,8.67346,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 -8 7 -8 8 -7 11 -9 10 -9 10 -11 11 -9 12 -9 12 -9 14 -9 13 -8 13 -9 14 -7 15 -8 13 -7 14 -7 14 -7 14 -6 14 -5 14 -5 13 -5 11 -6 13 -5 15 -6 12 -6 13 -4 0 0 12 -5 12 -6 11 -6 12 -6 12 -6 12 -6 12 -5 10 -7 9 -6 12 -7 10 -8 10 -7 11 -8 10 -9 9 -9 10 -10 9 -10 10 -9 11 -10 9 -10 9 -12 9 -10 8 -12 9 -11 8 -10 9 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-77,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,8750697,0,82,0,0,8.91106,384,[82 -96 4 0 0 0 0 0 0 0 0 0 27 -27 26 -32 34 -25 33 -22 40 -31 29 -30 38 -30 28 -29 34 -28 38 -27 42 -26 75 -20 55 -30 63 -30 50 -35 78 -29 69 -27 39 -37 50 -30 50 -15 54 -23 52 -24 48 -19 55 -26 66 -18 71 -17 0 0 58 -23 63 -18 62 -18 52 -27 46 -17 57 -23 48 -24 39 -28 47 -28 28 -23 43 -19 36 -20 29 -24 32 -17 30 -25 32 -23 30 -14 23 -19 28 -28 15 -21 11 -27 11 -25 1 -20 2 -18 -2 -25 1 -27 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9505982,0,82,0,0,9.6665,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -3 12 -5 15 -3 15 -4 13 -3 14 -6 15 -5 14 -6 13 -6 13 -7 16 -9 14 -7 13 -9 14 -8 18 -7 13 -6 15 -9 13 -7 14 -7 14 -9 14 -8 11 -9 12 -9 13 -7 10 -7 10 -7 11 0 0 -6 8 -5 11 -6 8 -5 8 -4 7 -4 8 -2 8 -2 7 -3 5 -3 7 -1 5 0 4 1 3 1 3 2 2 3 3 2 0 4 2 6 1 4 1 5 0 6 -1 8 -1 9 -2 8 -2 9 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9642403,0,82,0,0,9.80289,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -11 9 -14 7 -14 8 -13 10 -15 8 -16 8 -17 9 -15 8 -17 9 -17 6 -17 7 -17 6 -16 5 -18 5 -18 4 -20 4 -17 4 -16 1 -17 3 -17 2 -18 3 -16 2 -17 5 -15 3 -15 2 -15 2 0 0 -13 3 -11 3 -14 3 -11 4 -10 3 -12 2 -11 2 -10 4 -8 4 -8 3 -8 5 -5 3 -5 6 -5 6 -2 4 -2 6 -3 7 -2 5 0 7 0 7 1 7 1 7 1 9 4 8 3 10 5 7 0 0 0 0 0 0 0 0 0 0 ]
