type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,4E:D4:4D:74:F4:DA,-81,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,3578374,0,114,0,0,3.73831,128,[114 32 7 0 0 0 0 0 0 0 0 0 5 2 9 5 9 4 6 5 5 9 10 4 7 4 10 10 12 6 13 9 10 12 13 9 15 14 17 9 15 8 13 13 16 8 13 11 16 12 18 12 14 12 13 14 12 15 15 11 18 15 17 15 0 0 16 21 13 16 19 19 13 19 14 16 16 17 13 19 15 17 16 16 11 17 15 18 12 17 11 22 17 17 14 19 14 16 11 11 12 17 10 16 9 8 8 11 10 9 5 15 9 17 5 11 7 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,4E:D4:4D:74:F4:DA,-82,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,5168142,0,114,0,0,5.32783,128,[114 32 7 0 0 0 0 0 0 0 0 0 -25 2 -22 -4 -26 -1 -26 0 -23 -3 -25 0 -25 -3 -20 -3 -22 0 -23 -2 -31 -3 -28 -7 -24 -5 -25 -2 -26 -6 -30 -5 -27 -6 -26 -5 -17 -6 -18 -4 -19 -6 -20 -3 -19 -1 -13 -2 -13 2 -19 1 0 0 -14 0 -16 4 -16 5 -16 5 -15 9 -15 10 -12 9 -9 10 -10 16 -13 14 -13 11 -8 10 -11 15 -12 10 -10 15 -14 11 -10 14 -12 9 -11 10 -7 10 -5 5 -4 9 -4 8 -6 6 -9 4 -9 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,4E:D4:4D:74:F4:DA,-82,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9420339,0,114,0,0,9.57999,128,[114 32 7 0 0 0 0 0 0 0 0 0 6 1 3 -2 9 -1 12 1 6 1 11 4 6 1 9 1 8 5 12 -1 12 0 16 -1 15 1 15 -2 16 -2 15 -2 21 1 18 0 22 -1 18 -3 24 -3 20 -2 19 0 22 1 25 -3 25 -2 0 0 29 -4 25 -1 28 -1 23 -4 30 -1 26 -1 27 -4 23 -1 22 -3 29 -3 27 -1 28 3 26 0 26 -4 27 -3 23 4 24 -5 19 -3 20 1 16 3 17 3 14 1 15 1 16 -1 15 0 11 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9840800,0,28,0,0,10.0005,128,[28 -64 1 0 0 0 0 0 0 0 0 0 16 26 17 28 16 28 16 28 15 25 12 28 12 28 12 26 12 26 12 26 14 26 14 25 12 25 13 23 10 24 12 24 11 24 12 21 11 22 10 22 8 21 10 20 10 18 12 18 11 17 10 17 0 0 10 16 11 16 12 16 11 14 10 14 11 14 10 14 9 13 9 11 9 11 11 11 9 11 10 10 9 10 9 7 8 9 8 7 9 7 7 7 7 7 7 7 6 5 6 4 7 4 6 4 6 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-69,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9844272,0,157,0,0,10.0065,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 24 22 23 24 23 24 23 23 22 23 21 23 20 23 19 23 19 21 19 22 19 23 20 22 18 21 19 21 17 21 18 22 18 19 16 20 16 19 16 20 15 19 14 17 14 17 15 16 14 16 15 14 0 0 15 14 15 14 14 13 14 12 13 11 14 12 13 11 12 11 12 9 10 10 11 9 11 9 10 8 10 7 11 7 10 7 8 6 9 6 8 6 8 5 7 5 8 4 6 4 6 3 6 3 6 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9872131,0,135,0,0,10.0318,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -21 25 -24 24 -15 23 -16 24 -19 27 -19 24 -22 18 -18 23 -16 22 -17 24 -19 23 -15 22 -15 25 -16 22 -17 22 -14 20 -17 20 -8 18 -17 17 -16 14 -11 20 -13 17 -18 21 -12 20 -9 21 -13 14 0 0 -10 13 -12 14 -9 15 -6 13 -9 11 -9 9 -9 13 -10 7 -9 8 -6 7 -10 7 -3 7 -5 3 -7 3 -3 5 -5 -2 -4 0 -2 0 -3 -2 -2 -3 -2 -3 -1 -4 -2 -5 0 -4 -4 -9 -3 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-81,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9895345,0,390,0,0,10.0549,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -10 -18 -7 -18 -8 -20 -8 -20 -8 -18 -8 -16 -9 -17 -7 -17 -7 -18 -9 -15 -6 -17 -8 -20 -6 -17 -6 -17 -6 -17 -7 -16 -4 -14 -3 -13 -5 -14 -4 -14 -3 -14 -5 -15 -4 -14 -5 -12 -2 -15 -5 -11 0 0 -2 -7 -5 -9 -2 -7 -5 -8 -2 -7 -4 -5 -1 -5 -3 -2 -2 -4 -3 -3 -2 -5 -2 -3 -3 -2 -3 0 0 -2 -2 1 -2 2 -3 2 -3 3 -3 3 -2 3 -1 4 0 6 0 5 0 5 0 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9920811,0,390,0,0,10.0806,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -25 28 -24 24 -24 21 -26 21 -23 26 -23 21 -26 21 -27 17 -25 20 -24 17 -24 21 -24 17 -23 16 -22 18 -22 15 -22 15 -19 16 -18 14 -18 13 -19 11 -14 11 -16 11 -14 11 -14 9 -12 11 -9 9 0 0 -7 8 -8 8 -6 8 -6 8 -5 6 -6 5 -2 4 -1 3 0 4 1 2 3 2 4 1 3 -1 6 1 8 -3 6 -3 7 -5 9 -4 9 -4 10 -5 9 -7 10 -9 12 -9 12 -9 12 -10 12 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-80,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9931405,0,390,0,0,10.0904,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -13 1 -15 -2 -14 -1 -16 -1 -16 -1 -16 -1 -16 -3 -16 -3 -14 -3 -14 -4 -13 -2 -14 -3 -13 -2 -12 -3 -10 -2 -12 -2 -11 -2 -10 -2 -10 -3 -8 -2 -8 -3 -8 -2 -7 -1 -6 -2 -6 -1 -7 0 0 0 -5 0 -3 -1 -3 -1 -3 0 -3 2 -1 0 -1 1 1 3 0 3 2 4 2 4 2 4 1 3 3 3 3 4 4 4 6 3 7 4 5 4 7 7 7 5 7 5 8 4 9 4 8 5 10 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-80,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9933179,0,390,0,0,10.096,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 14 5 14 7 14 5 12 6 13 8 13 7 11 6 10 7 10 7 10 9 10 5 11 6 10 8 10 5 7 8 8 7 7 7 5 6 7 5 5 4 4 5 5 4 4 5 4 2 4 3 4 3 0 0 4 2 4 0 3 1 1 0 2 -2 1 -2 2 -2 2 -3 0 -3 0 -5 1 -3 1 -5 1 -6 1 -7 1 -6 0 -7 2 -8 0 -10 0 -10 0 -11 -2 -11 -1 -10 -1 -10 -2 -11 -1 -13 -2 -12 0 0 0 0 0 0 0 0 0 0 ]
