type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-64,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,31354,0,30,0,0,0.221565,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -27 2 -26 1 -26 1 -28 0 -27 -2 -27 -2 -26 -3 -25 -4 -26 -4 -25 -6 -26 -5 -25 -6 -25 -6 -25 -5 -24 -6 -25 -4 -25 -4 -23 -4 -25 -3 -24 -3 -24 -3 -25 -2 -23 -3 -25 -3 -26 -3 -25 -2 0 0 -25 -1 -25 -1 -26 -1 -24 -1 -24 -1 -24 -1 -24 0 -24 0 -23 1 -23 0 -24 1 -23 1 -23 2 -24 3 -23 3 -24 5 -24 5 -24 4 -25 4 -24 4 -24 3 -24 3 -22 3 -24 2 -24 2 -24 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-64,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,32985,0,30,0,0,0.228288,128,[30 -32 1 0 0 0 0 0 0 0 0 0 3 14 3 14 4 15 1 13 2 15 2 13 3 16 -1 13 1 13 0 14 -1 14 -1 14 -1 14 -1 14 -1 13 0 14 -1 14 -1 13 0 14 0 13 1 13 0 14 1 13 1 14 0 13 1 13 0 0 2 12 2 15 2 15 1 13 2 14 1 12 3 12 0 15 -1 12 -1 18 3 16 5 13 5 11 4 11 3 13 4 13 3 12 4 12 3 13 3 12 3 12 3 13 2 11 3 12 2 11 1 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-64,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,86572,0,28,0,0,0.276582,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -9 -21 -8 -22 -8 -23 -8 -24 -7 -22 -6 -23 -6 -23 -5 -23 -5 -23 -4 -22 -4 -24 -3 -24 -2 -23 -3 -23 -3 -23 -4 -23 -3 -23 -3 -21 -2 -22 -3 -22 -2 -21 -3 -22 -2 -20 -3 -21 -3 -22 -3 -22 0 0 -4 -21 -4 -21 -4 -21 -6 -20 -5 -21 -5 -20 -6 -20 -5 -20 -6 -20 -5 -20 -6 -20 -5 -19 -7 -19 -7 -20 -7 -19 -8 -19 -8 -18 -8 -19 -9 -18 -9 -18 -8 -18 -10 -18 -9 -17 -10 -18 -10 -18 -11 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-64,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,89132,0,157,0,0,0.283628,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -11 22 -12 22 -13 23 -13 23 -13 22 -14 21 -15 21 -15 20 -15 21 -15 18 -17 20 -17 19 -18 19 -17 18 -16 18 -17 19 -17 18 -16 17 -17 16 -16 18 -16 17 -16 18 -15 15 -16 17 -16 17 -16 17 0 0 -14 16 -15 17 -14 18 -14 18 -14 17 -14 17 -13 17 -13 18 -12 17 -13 17 -13 18 -13 18 -12 18 -11 18 -12 19 -11 19 -10 19 -11 19 -10 19 -10 19 -9 19 -8 19 -10 19 -9 20 -8 20 -8 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,118947,0,135,0,0,0.30885,384,[-121 112 8 0 0 0 0 0 0 0 0 0 15 -12 16 -12 15 -13 15 -11 15 -11 14 -9 17 -10 18 -8 17 -10 16 -8 17 -7 17 -9 18 -8 16 -7 16 -6 17 -7 16 -6 17 -6 15 -6 17 -6 17 -6 15 -5 17 -6 16 -7 17 -6 16 -7 0 0 15 -5 15 -6 15 -7 15 -7 15 -4 16 -6 15 -6 12 -6 15 -6 15 -8 14 -8 13 -8 15 -7 13 -7 14 -6 12 -8 15 -8 13 -8 13 -7 11 -8 13 -8 12 -9 13 -8 13 -10 13 -10 12 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-71,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,130050,0,390,0,0,0.319816,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -20 0 -19 -1 -19 -2 -21 -2 -18 -3 -19 -1 -20 -4 -18 -3 -19 -4 -18 -4 -17 -6 -18 -6 -18 -5 -18 -5 -17 -6 -17 -6 -18 -7 -17 -8 -17 -6 -17 -6 -17 -6 -18 -6 -17 -6 -16 -5 -16 -7 -17 -5 0 0 -16 -6 -16 -5 -15 -6 -15 -6 -16 -5 -16 -5 -16 -5 -16 -5 -15 -4 -15 -4 -15 -4 -14 -4 -16 -4 -16 -4 -15 -4 -15 -3 -17 -3 -16 -4 -15 -2 -14 -2 -15 -1 -16 -1 -15 0 -16 -1 -15 -1 -16 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,149970,0,390,0,0,0.339639,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -19 7 -18 7 -19 7 -20 7 -19 5 -20 4 -20 6 -20 4 -19 5 -19 4 -21 3 -19 2 -20 2 -20 1 -19 0 -20 2 -19 1 -18 1 -19 -1 -18 1 -18 1 -18 2 -17 1 -18 0 -19 -1 -18 1 0 0 -17 1 -17 2 -16 2 -17 2 -17 1 -17 3 -16 3 -17 2 -16 3 -17 3 -17 3 -15 3 -16 4 -15 5 -16 4 -16 4 -15 5 -16 4 -16 6 -14 5 -15 5 -14 6 -16 5 -14 6 -14 5 -13 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-72,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,168268,0,82,0,0,0.357907,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -11 14 -12 15 -13 15 -14 16 -14 12 -15 13 -15 12 -15 11 -15 12 -13 12 -14 10 -16 9 -18 12 -14 11 -14 9 -15 11 -15 9 -15 10 -15 10 -16 10 -14 9 -14 10 -15 9 -16 10 -15 10 -15 9 0 0 -12 9 -13 11 -14 10 -12 9 -13 11 -13 9 -12 10 -10 9 -12 11 -10 9 -12 10 -10 11 -12 12 -11 9 -11 11 -11 12 -12 11 -10 12 -10 11 -9 11 -9 11 -8 12 -9 12 -9 12 -8 13 -8 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-75,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,631431,0,82,0,0,0.821099,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -5 15 -7 15 -8 15 -8 14 -10 15 -10 13 -9 14 -9 13 -9 13 -9 14 -10 14 -11 13 -11 13 -10 14 -11 11 -10 12 -11 11 -12 11 -10 13 -12 12 -11 13 -12 12 -11 11 -12 13 -11 13 -10 10 0 0 -12 12 -10 13 -11 13 -11 12 -10 13 -9 12 -10 13 -11 13 -10 14 -9 14 -10 14 -10 14 -9 13 -9 13 -10 13 -10 14 -10 14 -8 13 -9 15 -8 15 -9 17 -8 17 -8 16 -7 16 -8 16 -6 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,1,6,1,1,1,0,0,0,0,-97,0,6,1,893884,0,82,0,0,1.08367,384,[82 -96 4 0 0 0 0 0 0 0 0 0 2 -16 3 -15 5 -17 0 -16 4 -15 5 -16 3 -16 5 -14 4 -16 6 -17 6 -16 7 -14 7 -17 5 -15 5 -15 6 -15 7 -15 5 -14 7 -14 7 -15 7 -14 7 -15 7 -12 8 -15 7 -14 7 -14 0 0 8 -14 5 -14 8 -13 7 -15 7 -13 7 -15 6 -14 7 -14 7 -16 7 -14 8 -14 6 -15 9 -13 6 -12 8 -14 6 -13 8 -15 5 -14 7 -15 6 -16 6 -15 7 -15 7 -14 7 -16 6 -17 6 -16 0 0 0 0 0 0 0 0 0 0 ]
