type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7604643,0,28,0,0,7.76551,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -8 -33 -6 -34 -5 -34 -5 -35 -4 -32 -2 -34 -1 -33 1 -31 -1 -32 -1 -30 0 -31 -3 -34 -3 -32 1 -29 2 -27 0 -32 0 -31 1 -27 3 -25 4 -29 4 -26 2 -24 0 -21 1 -22 -1 -22 -1 -21 0 0 0 -20 -3 -19 -2 -19 -2 -17 -3 -17 -1 -16 -3 -14 -2 -15 -5 -15 -4 -13 -5 -13 -5 -13 -5 -11 -8 -11 -7 -10 -8 -10 -8 -9 -9 -9 -9 -9 -9 -9 -8 -7 -10 -5 -8 -5 -9 -5 -10 -5 -11 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7609849,0,157,0,0,7.77228,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 14 30 13 30 13 30 12 30 12 30 11 30 11 30 10 29 11 29 9 31 8 31 6 32 10 27 8 29 8 27 6 27 7 27 6 26 5 24 6 25 4 23 6 21 6 20 4 20 5 20 7 20 0 0 7 18 8 17 9 17 7 14 7 15 7 14 7 13 7 12 10 11 10 11 9 9 10 9 8 7 10 6 10 6 10 6 10 5 10 5 11 3 10 2 10 2 10 2 10 1 10 0 9 0 9 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,7637687,0,135,0,0,7.79841,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -7 -9 -7 -10 -7 -10 -7 -10 -7 -10 -6 -11 -6 -10 -6 -10 -5 -10 -6 -10 -6 -10 -5 -11 -5 -11 -5 -10 -5 -10 -4 -9 -4 -9 -4 -9 -4 -9 -3 -8 -4 -8 -4 -8 -4 -7 -4 -7 -4 -7 -4 -7 0 0 -4 -6 -3 -6 -5 -6 -4 -6 -4 -5 -4 -5 -4 -4 -4 -5 -4 -4 -5 -4 -5 -3 -5 -3 -5 -3 -4 -3 -5 -3 -5 -2 -5 -2 -5 -2 -5 -2 -5 -1 -4 -1 -5 -1 -4 -1 -5 -1 -4 -1 -5 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7649285,0,390,0,0,7.80986,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -31 -10 -25 -10 -28 -14 -27 -14 -26 -11 -28 -13 -27 -14 -25 -12 -25 -13 -24 -14 -25 -15 -23 -14 -23 -16 -23 -16 -20 -16 -21 -16 -20 -16 -20 -14 -17 -15 -17 -13 -18 -14 -17 -12 -17 -11 -18 -10 -16 -11 -16 -10 0 0 -15 -9 -16 -10 -14 -8 -15 -6 -13 -7 -15 -5 -14 -5 -13 -5 -10 -1 -11 -2 -11 0 -13 -1 -12 -1 -11 0 -12 0 -11 0 -13 0 -11 4 -12 4 -11 3 -12 6 -10 4 -11 4 -10 5 -8 5 -9 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7671090,0,390,0,0,7.83147,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -22 -6 -22 -5 -22 -9 -25 -10 -20 -10 -21 -10 -19 -7 -20 -12 -21 -11 -20 -13 -22 -12 -21 -12 -19 -13 -19 -14 -17 -11 -17 -12 -15 -9 -14 -16 -15 -12 -16 -5 -9 -11 -14 -11 -8 -10 -15 -7 -15 -7 -11 -6 0 0 -10 -7 -10 -6 -9 -6 -10 -5 -11 -7 -12 -5 -11 -5 -11 -3 -12 -2 -11 0 -12 1 -9 0 -9 0 -9 1 -9 3 -11 0 -10 2 -12 3 -9 3 -11 2 -9 4 -11 5 -8 3 -10 3 -9 4 -9 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-76,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7706133,0,82,0,0,7.86658,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 11 15 11 14 13 14 13 12 12 13 14 12 12 13 14 10 14 10 14 10 14 9 14 9 14 8 14 8 14 7 14 6 13 6 12 7 11 6 13 7 13 5 11 6 9 5 10 6 9 7 9 0 0 5 10 7 8 7 8 7 7 6 7 7 7 7 6 8 6 7 6 9 5 8 5 8 5 10 4 10 2 9 3 9 2 9 3 10 3 9 4 10 2 11 4 9 2 10 2 10 1 10 3 9 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8153564,0,82,0,0,8.31404,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -19 -11 -23 -14 -21 -8 -23 -12 -20 -12 -20 -14 -16 -12 -16 -14 -16 -15 -16 -14 -16 -13 -15 -15 -14 -13 -13 -14 -14 -14 -12 -13 -12 -12 -13 -12 -12 -11 -11 -11 -10 -11 -11 -11 -10 -9 -10 -10 -11 -9 -9 -8 0 0 -8 -7 -9 -5 -10 -5 -8 -5 -10 -5 -10 -5 -8 -5 -8 -2 -10 -2 -9 -2 -8 -1 -10 0 -9 1 -10 1 -9 0 -11 2 -11 2 -11 4 -11 4 -10 4 -9 4 -14 4 -10 4 -13 5 -12 4 -12 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-78,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8429962,0,82,0,0,8.5904,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 -19 16 -15 15 -23 17 -19 18 -18 13 -16 18 -18 13 -18 14 -17 16 -13 15 -16 16 -13 14 -13 15 -11 13 -13 16 -11 12 -12 12 -10 10 -9 10 -9 10 -11 9 -9 9 -8 8 -8 7 -8 4 -7 0 0 5 -6 5 -7 5 -6 2 -4 2 -5 3 -3 2 -4 -2 -5 -1 -2 -1 -4 -1 -2 -3 -2 -4 -3 -3 -2 -3 -1 -5 0 -4 1 -5 1 -6 1 -5 2 -7 2 -8 2 -6 3 -8 4 -6 4 -8 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,C8:F0:9E:F2:C2:EC,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8650820,0,82,0,0,8.81135,128,[82 -96 4 0 0 0 0 0 0 0 0 0 3 29 0 31 4 33 2 33 3 32 1 34 2 30 2 35 0 33 1 31 4 32 2 32 2 31 2 33 0 32 1 30 1 32 -1 27 -1 30 -1 27 -1 26 0 25 1 23 1 25 2 25 2 23 0 0 0 22 1 21 2 22 2 18 2 19 1 18 1 17 0 15 0 15 1 12 1 14 2 14 1 13 -1 13 0 11 0 12 0 11 -1 9 -1 9 -1 9 -3 8 -3 8 -1 7 -4 7 -3 7 -4 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,20:1E:88:EC:E6:E0,-78,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8870682,0,135,0,0,9.03137,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -5 13 -7 15 -8 14 -8 14 -6 13 -9 12 -7 13 -7 9 -3 11 0 16 1 16 0 22 0 23 1 24 -1 20 -3 24 -3 24 -3 19 0 20 -5 22 -5 21 -5 22 -6 20 -3 19 0 18 3 20 0 0 4 22 6 20 4 24 3 23 5 23 3 26 2 25 4 27 2 29 3 26 7 30 4 29 -2 30 0 29 1 28 0 28 1 24 4 22 1 16 5 16 7 18 0 23 5 22 7 18 7 21 8 30 0 0 0 0 0 0 0 0 0 0 ]
