Sub 0 RXTX 0/0,Sub 1 RXTX 0/0,Sub 2 RXTX 0/0,Sub 3 RXTX 0/0,Sub 4 RXTX 0/0,Sub 5 RXTX 0/0,Sub 6 RXTX 0/0,Sub 7 RXTX 0/0,Sub 8 RXTX 0/0,Sub 9 RXTX 0/0,Sub 10 RXTX 0/0,Sub 11 RXTX 0/0,Sub 12 RXTX 0/0,Sub 13 RXTX 0/0,Sub 14 RXTX 0/0,Sub 15 RXTX 0/0,Sub 16 RXTX 0/0,Sub 17 RXTX 0/0,Sub 18 RXTX 0/0,Sub 19 RXTX 0/0,Sub 20 RXTX 0/0,Sub 21 RXTX 0/0,Sub 22 RXTX 0/0,Sub 23 RXTX 0/0,Sub 24 RXTX 0/0,Sub 25 RXTX 0/0,Sub 26 RXTX 0/0,Sub 27 RXTX 0/0,Sub 28 RXTX 0/0,Sub 29 RXTX 0/0,Sub 30 RXTX 0/0,Sub 31 RXTX 0/0,Sub 32 RXTX 0/0,Sub 33 RXTX 0/0,Sub 34 RXTX 0/0,Sub 35 RXTX 0/0,Sub 36 RXTX 0/0,Sub 37 RXTX 0/0,Sub 38 RXTX 0/0,Sub 39 RXTX 0/0,Sub 40 RXTX 0/0,Sub 41 RXTX 0/0,Sub 42 RXTX 0/0,Sub 43 RXTX 0/0,Sub 44 RXTX 0/0,Sub 45 RXTX 0/0,Sub 46 RXTX 0/0,Sub 47 RXTX 0/0,Sub 48 RXTX 0/0,Sub 49 RXTX 0/0,Sub 50 RXTX 0/0,Sub 51 RXTX 0/0,Sub 52 RXTX 0/0,Sub 53 RXTX 0/0,Sub 54 RXTX 0/0,Sub 55 RXTX 0/0,Sub 56 RXTX 0/0,Sub 57 RXTX 0/0,Sub 58 RXTX 0/0,Sub 59 RXTX 0/0,Sub 60 RXTX 0/0,Sub 61 RXTX 0/0,Sub 62 RXTX 0/0,Sub 63 RXTX 0/0
32.84205068,0,#NAME?,#NAME?,#NAME?,#NAME?,30.66325925,30.66325925,30.8849047,30.62957834,30.63333359,30.4060234,30.4060234,30.14100322,30.17033339,29.89894564,30.14100322,29.86771734,29.58563883,29.29418926,28.65103975,29.5616843,28.96526217,28.65103975,28.94316063,28.62727528,28.6332286,28.6332286,28.30588669,28.65103975,28.65103975,28.65103975,#NAME?,28.32508913,28.32508913,28.02089258,28.02089258,27.67155866,27.67155866,27.36396502,26.92846919,26.98970004,26.98970004,26.78518379,26.2838893,26.2838893,25.98790507,26.2838893,26.39486489,26.39486489,25.42825427,25.98790507,25.31478917,24.84299839,24.84299839,24.84299839,24.74216264,24.34568904,23.69215857,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
36.88419822,0,#NAME?,#NAME?,#NAME?,#NAME?,29.44975908,29.44975908,29.77266212,29.77266212,29.49390007,29.26856709,29.26856709,29.04174368,29.24795996,29.24795996,29.04174368,29.04174368,28.83661435,29.04174368,28.11575006,29.03089987,28.35690571,28.11575006,27.61927838,28.11575006,27.61927838,27.61927838,27.10963119,27.36396502,27.39572344,27.10963119,#NAME?,26.55138435,27.16003344,26.85741739,26.60865478,26.02059991,26.2838893,26.02059991,26.02059991,25.7634135,25.67026366,25.7634135,25.11883361,25.11883361,24.71291711,24.71291711,25.11883361,24.85721426,24.42479769,24.71291711,23.97940009,24.42479769,23.67355921,23.67355921,23.38456494,22.85557309,22.85557309,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
40.82964794,19.08485019,#NAME?,#NAME?,#NAME?,#NAME?,30.27757205,30.15778756,30.15778756,30.73351702,30.22428371,30.30599722,29.9343623,30.03891166,30.03891166,29.54724791,29.84527313,29.69415912,29.54724791,29.54724791,29.26856709,29.66141733,29.40516485,28.57332496,28.57332496,28.57332496,28.28015064,28.28015064,27.67155866,27.85329835,28.23474229,27.85329835,#NAME?,27.55112266,27.67155866,27.55112266,26.70245853,26.70245853,26.70245853,26.70245853,26.36487896,26.02059991,25.95496222,26.2838893,25.95496222,25.95496222,25.95496222,25.01059262,25.67026366,24.95544338,24.59392488,24.23245874,24.23245874,24.23245874,24.23245874,23.83815366,23.83815366,23.83815366,23.44392274,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
44.34329337,18.06179974,#NAME?,#NAME?,#NAME?,#NAME?,28.7909588,27.98650645,28.72738827,28.12913357,28.72738827,28.43232778,28.12913357,28.28015064,27.67155866,28.72156273,28.57332496,27.81755375,27.67155866,27.85329835,26.70245853,27.97959644,27.03291378,26.98970004,26.12783857,25.88831726,26.66517981,26.27365857,25.51449998,25.68201724,26.45422269,26.45422269,#NAME?,26.07455023,25.71708832,24.85721426,25.05149978,24.65382851,23.97940009,23.97940009,23.44392274,24.34568904,24.65382851,24.23245874,23.26335861,23.65487985,24.4870632,23.44392274,23.44392274,23.11753861,23.69215857,21.36720567,21.84691431,22.50420002,22.67171728,21.70261715,21.84691431,21.70261715,20.04321374,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
41.99892244,27.23455672,#NAME?,#NAME?,#NAME?,#NAME?,30.66325925,30.96910013,30.96910013,31.24504225,30.80987047,30.68185862,30.61829307,30.50766311,30.25715384,30.17867719,30.61829307,30.56142262,30.36628895,30.04321374,29.91669007,29.91669007,29.84077034,28.90979597,29.64730921,28.7909588,28.60338007,28.60338007,28.20201459,28.77371346,28.72156273,28.40106094,#NAME?,27.72321707,27.78874472,28.02089258,26.92846919,27.30782276,27.36396502,27.36396502,26.53212514,26.92846919,26.03144373,26.84845362,26.03144373,26.03144373,26.45422269,25.58708571,26.03144373,25.1054501,25.57507202,25.58708571,24.62397998,25.11883361,24.62397998,24.60897843,25.11883361,24.08239965,24.09933123,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
41.99892244,27.23455672,#NAME?,#NAME?,#NAME?,#NAME?,29.54242509,29.26856709,29.26856709,29.32980822,29.37517892,29.07948522,29.03089987,28.90979597,28.83661435,28.12913357,29.13813852,28.99273187,28.90979597,28.40106094,27.61927838,28.68056362,27.61927838,27.06717782,27.43509765,26.68385917,27.43509765,27.2427587,26.98970004,27.96574333,26.11723308,26.48360011,#NAME?,25.7634135,26.68385917,25.7634135,26.48360011,25.58708571,25.62292864,25.31478917,24.14973348,24.62397998,24.60897843,26.03144373,23.54108439,24.60897843,23.52182518,22.94466226,23.54108439,24.62397998,22.94466226,22.92256071,22.94466226,22.94466226,22.30448921,23.54108439,23.54108439,22.27886705,21.61368002,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
41.99892244,27.23455672,#NAME?,#NAME?,#NAME?,#NAME?,29.79092901,29.79548375,29.91226076,30.03891166,29.79548375,29.69415912,29.69415912,29.44975908,29.44975908,29.20123326,29.84527313,29.44975908,29.20123326,28.94869657,28.43232778,29.20123326,28.50646235,27.95880017,27.95880017,27.55112266,27.03291378,27.03291378,26.48360011,27.03291378,26.83047038,26.27365857,#NAME?,25.68201724,25.68201724,25.47774705,25.47774705,25.05149978,24.84299839,24.16640507,23.65487985,23.44392274,22.8780173,22.8780173,22.04119983,21.84691431,21.13943352,21.13943352,21.13943352,19.29418926,19.29418926,19.29418926,19.13813852,18.06179974,16.9019608,16.9019608,16.98970004,15.68201724,15.68201724,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
41.99892244,27.23455672,#NAME?,#NAME?,#NAME?,#NAME?,30.25305865,29.89894564,30.43362278,30.17033339,30.38620162,29.54724791,29.82723388,29.25312091,29.54242509,29.25312091,29.54242509,29.24795996,29.25312091,28.94869657,28.32508913,28.94316063,28.30588669,27.98650645,27.63427994,27.67155866,27.2427587,26.85741739,26.45422269,27.23455672,26.45422269,26.45422269,#NAME?,25.57507202,25.58708571,25.11883361,25.15873844,24.09933123,24.09933123,23.54108439,23.01029996,23.01029996,22.38046103,22.50420002,21.84691431,21.13943352,20.37426498,20.64457989,19.86771734,19.49390007,18.12913357,18.12913357,18.12913357,17.16003344,16.98970004,16.12783857,16.12783857,15.31478917,15.31478917,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
42.02488317,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,31.5136985,31.14277297,31.64352856,31.64352856,31.47676324,31.15610512,30.97604329,30.80987047,30.80987047,30.64457989,30.99680641,30.64457989,30.27757205,30.27757205,29.71739591,30.44931546,29.71739591,29.71739591,29.30949031,28.88179494,28.6332286,28.6332286,28.12913357,28.38219222,28.12913357,27.61927838,#NAME?,27.09269961,27.09269961,26.82145076,26.82145076,26.24282096,25.95496222,25.31478917,25.01059262,24.71291711,24.42479769,24.42479769,22.85557309,23.38456494,22.85557309,21.95899652,21.64352856,21.64352856,21.36720567,20.37426498,20.37426498,20.17033339,19.13813852,19.08485019,19.08485019,18.06179974,18.12913357,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
42.02488317,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,30.27757205,30.63333359,30.39810554,30.63333359,30.18700499,30.58805487,30.34227261,29.91669007,29.91669007,29.64730921,30,29.73589623,29.37016107,29.46452265,28.99273187,29.37016107,28.99273187,28.06179974,28.38219222,28.28659897,27.61927838,27.61927838,26.9019608,27.17670503,27.17670503,26.82145076,#NAME?,26.07455023,26.07455023,26.07455023,25.05149978,24.60897843,25.27629901,24.14973348,23.67355921,23.97940009,23.18063335,23.05351369,22.14843848,21.61368002,22.09515015,21.0720997,21.61368002,20,20,20.25305865,19.49390007,19.03089987,18.6332286,17.63427994,18.32508913,17.2427587,16.98970004,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
